"country","year","gender","age","nobs_log_inc","nobs_res_log_inc","p1_log_inc","p2_5_log_inc","p5_log_inc","p10_log_inc","p12_5_log_inc","p25_log_inc","p37_5_log_inc","p50_log_inc","p62_5_log_inc","p75_log_inc","p87_5_log_inc","p90_log_inc","p95_log_inc","p97_5_log_inc","p99_log_inc","p99_9_log_inc","p99_99_log_inc","p9010_log_inc","p9050_log_inc","p5010_log_inc","p1_res_log_inc","p2_5_res_log_inc","p5_res_log_inc","p10_res_log_inc","p12_5_res_log_inc","p25_res_log_inc","p37_5_res_log_inc","p50_res_log_inc","p62_5_res_log_inc","p75_res_log_inc","p87_5_res_log_inc","p90_res_log_inc","p95_res_log_inc","p97_5_res_log_inc","p99_res_log_inc","p99_9_res_log_inc","p99_99_res_log_inc","p9010_res_log_inc","p9050_res_log_inc","p5010_res_log_inc"
"AUS",2012,"Female","25-55",3511029,3511029,8.5990191,8.8141842,9.1292334,9.5507669,9.7107897,10.22317,10.53264,10.74709,10.94159,11.14933,11.40075,11.46105,11.64161,11.83883,12.10829,12.7979,13.44386,1.9102831,0.71395969,1.1963234,-2.0244009,-1.806592,-1.489758,-1.073856,-0.91799152,-0.41137531,-0.1031491,0.1175172,0.31709611,0.52483767,0.76181161,0.81937492,0.99710792,1.1909291,1.45689,2.132988,2.7772009,1.8932309,0.70185769,1.1913732
"AUS",2013,"Female","25-55",3555029,3555029,8.6066504,8.8252459,9.1481199,9.5692711,9.7257299,10.22759,10.53707,10.75132,10.9463,11.15577,11.40594,11.4689,11.65454,11.85499,12.12522,12.80316,13.45803,1.8996286,0.71757984,1.1820488,-2.029752,-1.79684,-1.477603,-1.0613739,-0.90869802,-0.41416389,-0.1073569,0.1142126,0.31487101,0.52424067,0.76004368,0.81819552,0.99886823,1.195894,1.460428,2.1238489,2.779753,1.8795695,0.70398295,1.1755866
"AUS",2014,"Female","25-55",3595165,3595165,8.5989008,8.8260965,9.1505156,9.5676079,9.7237768,10.22612,10.53525,10.7506,10.94373,11.1548,11.4064,11.47115,11.65741,11.85848,12.12995,12.82268,13.49345,1.9035425,0.72055054,1.182992,-2.031965,-1.7925889,-1.47296,-1.060575,-0.90743053,-0.41500691,-0.109044,0.1140617,0.3149201,0.52431917,0.76108742,0.81870592,0.99986023,1.196366,1.460583,2.1377201,2.8004639,1.8792809,0.7046442,1.1746367
"AUS",2015,"Female","25-55",3643951,3643951,8.6104689,8.8483686,9.1734724,9.5857506,9.7411289,10.23877,10.54703,10.76047,10.95109,11.1602,11.41399,11.47968,11.6644,11.86703,12.14071,12.83916,13.516,1.8939295,0.71920967,1.1747198,-2.02795,-1.781098,-1.460902,-1.053367,-0.90035558,-0.41244969,-0.108052,0.1135802,0.31254739,0.51940727,0.75707757,0.81481278,0.99501628,1.190717,1.45337,2.1374381,2.8096361,1.8681798,0.70123255,1.1669472
"AUS",2016,"Female","25-55",3706456,3706456,8.6226149,8.8685646,9.196578,9.6086798,9.7640924,10.25999,10.5658,10.78068,10.97035,11.18217,11.43945,11.5055,11.69068,11.88993,12.15753,12.86883,13.55172,1.8968201,0.72482014,1.1719999,-2.0352299,-1.779665,-1.458873,-1.0510809,-0.90019733,-0.4117614,-0.1096747,0.1134667,0.31182489,0.51901412,0.76031518,0.81878883,0.99723601,1.1878231,1.446059,2.137846,2.8094571,1.8698697,0.70532215,1.1645477
"AUS",2017,"Female","25-55",3785686,3785686,8.6282845,8.8795176,9.2090149,9.6159077,9.7709599,10.26642,10.57041,10.78428,10.97375,11.18233,11.43747,11.50311,11.68967,11.88888,12.15958,12.86773,13.54189,1.8872023,0.71883011,1.1683722,-2.0262411,-1.77122,-1.450353,-1.046139,-0.89735758,-0.4093366,-0.108884,0.1124,0.31130391,0.51772052,0.7535904,0.8120476,0.98991752,1.1799051,1.438844,2.124728,2.7903659,1.8581866,0.69964761,1.1585391
"AUS",2018,"Female","25-55",3871870,3871870,8.648572,8.9069357,9.2359104,9.6481438,9.7992926,10.29065,10.58943,10.80133,10.99033,11.19664,11.45197,11.51648,11.70554,11.90489,12.17945,12.88584,13.5556,1.8683367,0.71515083,1.1531858,-2.024229,-1.762774,-1.439396,-1.031906,-0.88668847,-0.4042426,-0.1090321,0.111171,0.3077763,0.51234889,0.74658197,0.80535918,0.9857161,1.17338,1.433123,2.1189749,2.776907,1.8372653,0.69418818,1.143077
"AUS",2019,"Female","25-55",3970785,3970785,8.678936,8.944438,9.2760191,9.6847963,9.8319149,10.31908,10.61395,10.82225,11.01034,11.21682,11.47064,11.53354,11.7257,11.92628,12.20107,12.91891,13.59999,1.8487434,0.71128941,1.137454,-2.0179341,-1.750339,-1.423177,-1.020313,-0.87886161,-0.39905789,-0.1086733,0.1084452,0.30395439,0.50711232,0.7386502,0.79759789,0.97958988,1.1687,1.4279931,2.121686,2.793895,1.8179109,0.68915272,1.1287582
"AUS",2020,"Female","25-55",4045644,4045644,8.7114697,8.9758234,9.294199,9.6911192,9.8378782,10.32161,10.61664,10.82829,11.02441,11.23557,11.49058,11.55356,11.74546,11.94525,12.21976,12.92187,13.59037,1.8624411,0.72527027,1.1371708,-1.996866,-1.73093,-1.417761,-1.023808,-0.88197809,-0.40604481,-0.1156471,0.1033602,0.30375579,0.51277918,0.74699891,0.8059954,0.9865582,1.173777,1.430824,2.1077499,2.7751601,1.8298035,0.70263523,1.1271682
"AUS",2021,"Female","25-55",4070279,4070279,8.7205057,8.99405,9.324811,9.7459497,9.8930588,10.37836,10.66463,10.87124,11.06434,11.27006,11.52431,11.58559,11.77852,11.97795,12.24962,12.94813,13.65594,1.8396406,0.7143507,1.1252899,-2.0373609,-1.763276,-1.434651,-1.0179631,-0.87005281,-0.3924478,-0.1077356,0.1063752,0.30235541,0.50715488,0.73761457,0.79698229,0.98044223,1.169203,1.426345,2.1027701,2.8001461,1.8149453,0.69060707,1.1243383
"AUS",2022,"Female","25-55",4097849,4097849,8.7442551,9.0267277,9.3638124,9.797965,9.9467316,10.43181,10.70933,10.91427,11.10623,11.3095,11.56011,11.62626,11.82823,12.0315,12.30827,13.01911,13.7517,1.8282948,0.7119894,1.1163054,-2.062037,-1.779344,-1.443664,-1.013569,-0.86374712,-0.38362071,-0.1055315,0.1050171,0.29946691,0.50153297,0.73105741,0.79297858,0.98583329,1.1799999,1.443012,2.1371369,2.8325241,1.8065476,0.68796146,1.1185861
"AUS",2002,"Male","25-55",3063178,3063178,8.7170324,9.0806561,9.5082254,10.03749,10.20987,10.65121,10.85738,11.01969,11.17543,11.33497,11.56369,11.63614,11.85619,12.08721,12.41577,13.3288,14.26249,1.59865,0.61645031,0.98219967,-2.1821179,-1.832641,-1.389991,-0.86881369,-0.70240939,-0.27292529,-0.0612128,0.10225,0.2489537,0.40051451,0.62048042,0.68823618,0.89868557,1.115603,1.430204,2.33376,3.2628579,1.5570499,0.5859862,0.97106367
"AUS",2003,"Male","25-55",3101042,3101042,8.727107,9.0737648,9.5204544,10.04387,10.21929,10.65841,10.86252,11.02595,11.18208,11.34292,11.57146,11.64302,11.86349,12.0903,12.42525,13.32025,14.21344,1.5991497,0.61706924,0.98208046,-2.1789851,-1.830696,-1.391589,-0.86659062,-0.7058655,-0.27241471,-0.061255701,0.1026055,0.24852151,0.40097031,0.62024468,0.68770301,0.89560169,1.110909,1.42989,2.315778,3.2057331,1.5542936,0.58509749,0.96919614
"AUS",2004,"Male","25-55",3160474,3160474,8.739933,9.088068,9.5355234,10.0578,10.23404,10.67687,10.88316,11.04826,11.19938,11.36166,11.59297,11.66502,11.88238,12.11252,12.45235,13.35579,14.29007,1.6072197,0.61676025,0.99045944,-2.191473,-1.8336951,-1.394698,-0.87195778,-0.71069193,-0.27219871,-0.0603485,0.1040544,0.2492379,0.40205669,0.6223073,0.68950272,0.89608932,1.112201,1.4329081,2.3330719,3.2574229,1.5614605,0.58544832,0.97601217
"AUS",2005,"Male","25-55",3333448,3333448,8.6929874,9.0164118,9.4467859,9.9917259,10.17878,10.66507,10.88377,11.0549,11.21362,11.38116,11.61316,11.68443,11.90431,12.13614,12.47398,13.40976,14.36454,1.6927042,0.62952995,1.0631742,-2.2280309,-1.900311,-1.4710799,-0.92973357,-0.75538629,-0.28172079,-0.057588499,0.1133896,0.26571509,0.42450771,0.64583528,0.71326339,0.91974193,1.136482,1.4550591,2.3832309,3.3290999,1.642997,0.59987378,1.0431231
"AUS",2006,"Male","25-55",3422183,3422183,8.6932077,9.0032883,9.4440222,9.9896059,10.17925,10.66967,10.89009,11.06388,11.22384,11.39346,11.6334,11.70706,11.92686,12.15806,12.50081,13.43375,14.41945,1.717454,0.64317989,1.0742741,-2.2393739,-1.9066319,-1.478134,-0.93725419,-0.76309258,-0.2870917,-0.0602534,0.1120796,0.26633751,0.42726761,0.6556797,0.72439712,0.93427449,1.150319,1.469023,2.396951,3.3711569,1.6616514,0.6123175,1.0493338
"AUS",2007,"Male","25-55",3519479,3519479,8.6962957,8.9937077,9.4234314,9.9661369,10.1584,10.66883,10.89745,11.07619,11.24279,11.41885,11.66398,11.73967,11.96438,12.19874,12.547,13.54914,14.07193,1.7735329,0.6634798,1.1100531,-2.24944,-1.915329,-1.5043221,-0.96816278,-0.78828549,-0.3001315,-0.065056197,0.1128767,0.27299121,0.4384298,0.67479599,0.74523711,0.96064532,1.178757,1.500911,2.4954121,3.012486,1.7133999,0.6323604,1.0810394
"AUS",2008,"Male","25-55",3635421,3635421,8.6907511,9.0000648,9.4339294,9.9786921,10.1663,10.68624,10.91839,11.09789,11.26713,11.44679,11.69852,11.77573,12.00495,12.24225,12.59518,13.59821,14.0391,1.7970381,0.67784023,1.1191978,-2.2802191,-1.9307801,-1.5126131,-0.97797722,-0.79353791,-0.30718711,-0.069482997,0.1119849,0.27452859,0.44346049,0.68712401,0.75975102,0.97890729,1.1994441,1.522971,2.514765,2.962378,1.7377282,0.64776611,1.0899621
"AUS",2009,"Male","25-55",3682647,3682647,8.6849651,9.0052814,9.439846,9.9849939,10.16925,10.68546,10.9202,11.10386,11.27615,11.45935,11.71552,11.79498,12.0226,12.25265,12.5849,13.47622,14.0084,1.8099861,0.69112015,1.118866,-2.2838991,-1.926296,-1.50185,-0.97660488,-0.79471469,-0.31572479,-0.076510899,0.1094126,0.2769334,0.44984379,0.69775492,0.77045298,0.98711681,1.198084,1.499505,2.3731589,2.895766,1.7470579,0.66104037,1.0860175
"AUS",2010,"Male","25-55",3684501,3684501,8.6700621,8.9815025,9.4058027,9.949254,10.13751,10.6762,10.91958,11.10675,11.28351,11.46741,11.7277,11.80633,12.03249,12.26521,12.60113,13.50954,13.98491,1.8570757,0.69958019,1.1574955,-2.301101,-1.944504,-1.530184,-1.0037251,-0.81774151,-0.32183921,-0.076065697,0.1145341,0.28490251,0.46066019,0.70819461,0.78029889,0.99498588,1.2075,1.511287,2.4034929,2.868645,1.784024,0.66576481,1.1182592
"AUS",2011,"Male","25-55",3784171,3784171,8.6829128,9.0120401,9.441371,9.9856071,10.17256,10.69498,10.93672,11.12785,11.30522,11.49265,11.76086,11.83934,12.06629,12.29767,12.63165,13.53219,13.95478,1.8537331,0.71149063,1.1422424,-2.3074,-1.939329,-1.518382,-0.99254572,-0.81095833,-0.32648149,-0.081805803,0.1098461,0.28073689,0.46064821,0.71306682,0.78711361,1.006049,1.2175111,1.515469,2.398298,2.814913,1.7796593,0.67726749,1.1023918
