year,model,model_label,value,path_type
2037,hybrid,Hybrid demographics/macro,0.344569210386359,Official forecast then model projection
2038,hybrid,Hybrid demographics/macro,0.345382927729605,Official forecast then model projection
2039,hybrid,Hybrid demographics/macro,0.346196645072853,Official forecast then model projection
2040,hybrid,Hybrid demographics/macro,0.347010362416099,Official forecast then model projection
2041,hybrid,Hybrid demographics/macro,0.347824079759345,Official forecast then model projection
2042,hybrid,Hybrid demographics/macro,0.348637797102593,Official forecast then model projection
2043,hybrid,Hybrid demographics/macro,0.34945151444584,Official forecast then model projection
2044,hybrid,Hybrid demographics/macro,0.350265231789086,Official forecast then model projection
2045,hybrid,Hybrid demographics/macro,0.351078949132332,Official forecast then model projection
2046,hybrid,Hybrid demographics/macro,0.35189266647558,Official forecast then model projection
2047,hybrid,Hybrid demographics/macro,0.352706383818826,Official forecast then model projection
2048,hybrid,Hybrid demographics/macro,0.353520101162073,Official forecast then model projection
2049,hybrid,Hybrid demographics/macro,0.354333818505319,Official forecast then model projection
2050,hybrid,Hybrid demographics/macro,0.355147535848566,Official forecast then model projection
2051,hybrid,Hybrid demographics/macro,0.355961253191813,Official forecast then model projection
2052,hybrid,Hybrid demographics/macro,0.356774970535059,Official forecast then model projection
2053,hybrid,Hybrid demographics/macro,0.357588687878307,Official forecast then model projection
2054,hybrid,Hybrid demographics/macro,0.358402405221554,Official forecast then model projection
2055,hybrid,Hybrid demographics/macro,0.359216122564799,Official forecast then model projection
2056,hybrid,Hybrid demographics/macro,0.360029839908047,Official forecast then model projection
2057,hybrid,Hybrid demographics/macro,0.360843557251293,Official forecast then model projection
2058,hybrid,Hybrid demographics/macro,0.36165727459454,Official forecast then model projection
2059,hybrid,Hybrid demographics/macro,0.362470991937787,Official forecast then model projection
2060,hybrid,Hybrid demographics/macro,0.363284709281033,Official forecast then model projection
2061,hybrid,Hybrid demographics/macro,0.36409842662428,Official forecast then model projection
2062,hybrid,Hybrid demographics/macro,0.364912143967528,Official forecast then model projection
2063,hybrid,Hybrid demographics/macro,0.365725861310773,Official forecast then model projection
2064,hybrid,Hybrid demographics/macro,0.366539578654021,Official forecast then model projection
2065,hybrid,Hybrid demographics/macro,0.367353295997267,Official forecast then model projection
2066,hybrid,Hybrid demographics/macro,0.368167013340513,Official forecast then model projection
2026,univariate_arima,Univariate ARIMA,0.36205,Official forecast then model projection
2027,univariate_arima,Univariate ARIMA,0.35425,Official forecast then model projection
2028,univariate_arima,Univariate ARIMA,0.34808,Official forecast then model projection
2029,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2030,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2031,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2032,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2033,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2034,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2035,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2036,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2037,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2038,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2039,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2040,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2041,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2042,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2043,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2044,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2045,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2046,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2047,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2048,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2049,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2050,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2051,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2052,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2053,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2054,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2055,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2056,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2057,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2058,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2059,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2060,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2061,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2062,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2063,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2064,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2065,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
2066,univariate_arima,Univariate ARIMA,0.34529,Official forecast then model projection
