year,scenario,primary_expense_value,primary_expense_ratio,raw_primary_expense_value,raw_primary_expense_ratio,nominal_gdp,revenue_ratio,official_nci,official_net_debt,official_interest,nominal_gdp_growth,net_capital_investment_ratio,effective_interest_rate,net_debt_ratio,interest_ratio,spending_approach,spending_model,revenue_scenario,total_expense_ratio,fiscal_deficit_ratio
2064,pressure,5260009.77126765,0.444300485206612,6114592.16166274,0.516485022348651,11838856.6891202,0.34461,,,,0.0363319292473889,0.018,0.052,3.32021603132806,0.158176167679007,Bottom-up primary spending with endogenous interest,pressure,pressure,0.602476652885619,0.275866652885619
2065,pressure,5500262.6841455,0.448017431032152,6393878.44472708,0.520805852308763,12276894.3866177,0.34461,,,,0.0363319292473925,0.018,0.052,3.49432106625973,0.166598392615812,Bottom-up primary spending with endogenous interest,pressure,pressure,0.614615823647964,0.288005823647964
2066,pressure,5751600.487057,0.451774210515819,6686050.55589064,0.525172987615128,12731139.4789225,0.34461,,,,0.0363319292473889,0.018,0.052,3.67481513577474,0.17533445638162,Bottom-up primary spending with endogenous interest,pressure,pressure,0.627108666897439,0.300498666897439
2025,restraint,967646.896960997,0.34717,983082,0.352707768724191,2787242.26448425,0.3406,0.02067,0.31732,0.01512,,0.02067,0.0526912895499811,0.31732,0.01512,Bottom-up primary spending with endogenous interest,restraint,restraint,0.36229,0.04236
2026,restraint,994310.99154813,0.34533,1032929.52596249,0.358742441985124,2879306.72559039,0.34602,0.01185,0.34811,0.01672,0.0324968735490927,0.01185,0.0526912895499811,0.333686403379581,0.0161937536358119,Bottom-up primary spending with endogenous interest,restraint,restraint,0.361523753635812,0.0273537536358119
2027,restraint,1005798.81386027,0.33617,1079534.34259767,0.360814762306408,2991935.07410021,0.34536,0.0193,0.36859,0.01808,0.0383708151550053,0.0193,0.0513557177727101,0.346969176140042,0.0165034537820618,Bottom-up primary spending with endogenous interest,restraint,restraint,0.352673453782062,0.0266134537820618
2028,restraint,1031388.90235003,0.32761,1139495.54694314,0.361948955707638,3148221.67317858,0.33991,0.01758,0.37294,0.02047,0.0509173851789608,0.01758,0.0500201459954391,0.350952945109232,0.016514570118646,Bottom-up primary spending with endogenous interest,restraint,restraint,0.344124570118646,0.0217945701186461
2029,restraint,1077262.44912972,0.32454,1204968.20915504,0.363013101324658,3319351.84917026,0.33861,0.01522,0.37877,0.02075,0.0529317924928261,0.01522,0.0486845742181681,0.349687303780287,0.0162270669620525,Bottom-up primary spending with endogenous interest,restraint,restraint,0.340767066962053,0.0173770669620525
2030,restraint,1133976.97276743,0.325358117601264,1268406.04460175,0.363928203955099,3485319.44162877,0.34011,,,,0.0487901641694304,0.012,0.0473490024408971,0.345454909667789,0.0157870902740166,Bottom-up primary spending with endogenous interest,restraint,restraint,0.341145207875281,0.0130352078752806
2031,restraint,1193342.61882187,0.326086833320285,1334809.2839139,0.364743306417494,3659585.41371021,0.34161,,,,0.0487901641694322,0.012,0.0460134306636261,0.340017130842393,0.0151560970692323,Bottom-up primary spending with endogenous interest,restraint,restraint,0.341242930389517,0.0116329303895173
2032,restraint,1255805.8066061,0.326814487132983,1404677.26787945,0.365557221088223,3842564.68439572,0.34311,,,,0.0487901641694322,0.012,0.044677858886355,0.333388411113537,0.014484534571079,Bottom-up primary spending with endogenous interest,restraint,restraint,0.341299021704062,0.010189021704062
2033,restraint,1321663.48567711,0.327574740466404,1478342.14840453,0.366407599840788,4034692.91861551,0.34461,,,,0.0487901641694322,0.012,0.043342287109084,0.32562138564702,0.013777604641027,Bottom-up primary spending with endogenous interest,restraint,restraint,0.341352345107431,0.00874234510743099
2034,restraint,1391319.28679317,0.328418051670897,1556255.40528626,0.367350882689512,4236427.56454628,0.34611,,,,0.0487901641694322,0.012,0.042006715331813,0.316823357297877,0.0130419652282467,Bottom-up primary spending with endogenous interest,restraint,restraint,0.341460016899144,0.00735001689914366
2035,restraint,1464694.7940327,0.329274465722556,1638329.3266651,0.36830882168289,4448248.9427736,0.34761,,,,0.0487901641694322,0.012,0.040671143554542,0.307035191925044,0.0122861261349627,Bottom-up primary spending with endogenous interest,restraint,restraint,0.341560591857519,0.00595059185751873
2036,restraint,1540998.42344463,0.329931522497624,1723678.48903384,0.36904377027987,4670661.38991228,0.34911,,,,0.0487901641694322,0.012,0.039335571777271,0.29608886562996,0.0115155588245626,Bottom-up primary spending with endogenous interest,restraint,restraint,0.341447081322187,0.00433708132218658
2037,restraint,1620467.42652183,0.330424790438975,1812568.26923424,0.369595513439954,4904194.45940789,0.35061,,,,0.0487901641694322,0.012,0.038,0.283857434262099,0.0107279580590354,Bottom-up primary spending with endogenous interest,restraint,restraint,0.34115274849801,0.00254274849801034
2038,restraint,1704036.47503271,0.33091915388271,1906044.14115968,0.370148481970464,5149404.18237829,0.35061,,,,0.0487901641694322,0.012,0.038,0.272246205764195,0.0102847860997075,Bottom-up primary spending with endogenous interest,restraint,restraint,0.341203939982417,0.00259393998241747
2039,restraint,1791917.25044655,0.331414625289706,2004342.88038996,0.370702689809471,5406874.3914972,0.35061,,,,0.0487901641694322,0.012,0.038,0.261249907327631,0.00986408546959648,Bottom-up primary spending with endogenous interest,restraint,restraint,0.341278710759303,0.00266871075930247
2040,restraint,1884332.37253023,0.331911217019351,2107713.4975,0.371258150781525,5677218.11107206,0.35061,,,,0.0487901641694304,0.012,0.038,0.250863332750895,0.00946566512312009,Bottom-up primary spending with endogenous interest,restraint,restraint,0.341376882142471,0.00276688214247106
2041,restraint,1981515.96509267,0.332408941328601,2216417.87087143,0.371814878596603,5961079.01662567,0.35061,,,,0.0487901641694339,0.012,0.038,0.241081341651876,0.00908933642801969,Bottom-up primary spending with endogenous interest,restraint,restraint,0.341498277756621,0.00288827775662065
