variant,model,horizon,n,mean_error_pp,mae_pp,rmse_pp
real_gdp_per_capita_only,arimax_level,2,11,-1.11044320764451,1.96331064747129,2.82189488825401
real_gdp_per_capita_only,arimax_diff,2,11,-1.08168038309733,1.50694635598564,2.46766521081166
real_gdp_per_capita_only,dynamic_diff,2,11,-1.07000157164575,1.56257379326926,2.48150087290931
real_gdp_per_capita_only,hybrid,2,11,-1.35455255941498,2.13069956878709,3.05350270236995
real_gdp_per_capita_only,ardl_ecm,2,11,-3.13076781915336,3.13076781915336,3.99958401115456
real_gdp_per_capita_only,univariate_arima,2,11,-2.26399333052042,2.26399333052042,3.23276382846262
real_gdp_per_capita_only,structural_ols,3,11,-2.4620538712076,2.91887599820102,3.96373409821328
real_gdp_per_capita_only,arimax_level,3,11,-1.34283696103863,2.26938821236585,2.99207932268478
real_gdp_per_capita_only,arimax_diff,3,11,-1.38410077691028,2.24423431118381,3.00711209587603
real_gdp_per_capita_only,dynamic_diff,3,11,-1.4120547185517,2.29366918969718,2.99805728599128
real_gdp_per_capita_only,hybrid,3,11,-1.74199300738507,2.51572122083568,3.34362763031361
real_gdp_per_capita_only,ardl_ecm,3,11,-4.62066714414017,4.62066714414017,5.43954277633356
real_gdp_per_capita_only,univariate_arima,3,11,-2.75962732364791,2.75962732364791,3.4933720075489
real_gdp_per_capita_only,structural_ols,4,11,-3.0287957378429,3.48806855645763,4.4885040547619
real_gdp_per_capita_only,arimax_level,4,11,-1.68170540428325,2.49583496824467,3.1670489385753
real_gdp_per_capita_only,arimax_diff,4,11,-1.75648507426107,2.57622517461489,3.30421608917019
real_gdp_per_capita_only,dynamic_diff,4,11,-1.75904183305482,2.64068484429926,3.32952027801808
real_gdp_per_capita_only,hybrid,4,11,-2.01795864010164,3.0394379543319,3.80044953587301
real_gdp_per_capita_only,ardl_ecm,4,11,-6.39991477236009,6.39991477236009,7.1318984500613
real_gdp_per_capita_only,univariate_arima,4,11,-3.17450065222129,3.17450065222129,3.74108645495026
real_gdp_per_capita_only,structural_ols,5,11,-3.61433697940073,3.97141769974501,5.01038776618002
real_gdp_per_capita_only,arimax_level,5,11,-2.05791013192187,2.75619233411412,3.60268684197551
real_gdp_per_capita_only,arimax_diff,5,11,-2.16226281868024,2.87015143119588,3.72341184740971
real_gdp_per_capita_only,dynamic_diff,5,11,-2.14928260922812,2.94432641507659,3.75096570344402
real_gdp_per_capita_only,hybrid,5,11,-2.46447097129652,3.37364944580233,4.16213071425318
real_gdp_per_capita_only,ardl_ecm,5,11,-8.29359401408136,8.29359401408136,8.99368838181786
real_gdp_per_capita_only,univariate_arima,5,11,-3.48154485414094,3.48154485414094,3.97252845688507
population_and_real_gdp_per_capita,structural_ols,1,11,-1.4063047410802,1.63716661774235,2.87636029772013
population_and_real_gdp_per_capita,arimax_level,1,11,-1.20738836010281,1.48009248779304,2.68946575223427
population_and_real_gdp_per_capita,arimax_diff,1,11,-0.615928403338797,1.08004434348106,1.66844520912544
population_and_real_gdp_per_capita,dynamic_diff,1,11,-0.635785737790416,1.26519571133679,1.82001245113629
population_and_real_gdp_per_capita,hybrid,1,11,-0.969840401135803,1.66575379459042,2.88453193914338
population_and_real_gdp_per_capita,ardl_ecm,1,11,-1.65224345545138,1.85758373946811,2.68838495694801
population_and_real_gdp_per_capita,univariate_arima,1,11,-0.310878577268927,1.59921335612972,2.33749975625174
population_and_real_gdp_per_capita,structural_ols,2,11,-2.0259859634236,2.36225075878852,3.51734244324987
population_and_real_gdp_per_capita,arimax_level,2,11,-1.82156935240393,2.17269955495076,3.28637508438557
population_and_real_gdp_per_capita,arimax_diff,2,11,-1.11270848101313,1.67109033124586,2.65797772389942
population_and_real_gdp_per_capita,dynamic_diff,2,11,-1.20959041214389,1.71148438530884,2.76166499051787
population_and_real_gdp_per_capita,hybrid,2,11,-1.56270585107812,2.2103299293117,3.27417122586186
population_and_real_gdp_per_capita,ardl_ecm,2,11,-3.34778756527337,3.34778756527337,4.29576556729498
population_and_real_gdp_per_capita,univariate_arima,2,11,0.13165614399971,1.99171529823236,2.42232213284415
population_and_real_gdp_per_capita,structural_ols,3,11,-2.4899950607625,2.9303161388746,4.01761446145075
population_and_real_gdp_per_capita,arimax_level,3,11,-2.25718136306054,2.73474936495875,3.66527988109329
population_and_real_gdp_per_capita,arimax_diff,3,11,-1.43242165015216,2.42949818029381,3.2629683914395
population_and_real_gdp_per_capita,dynamic_diff,3,11,-1.5166236800144,2.53243568811217,3.40615611039734
population_and_real_gdp_per_capita,hybrid,3,11,-1.92373051871393,2.73894107497708,3.65086729833014
population_and_real_gdp_per_capita,ardl_ecm,3,11,-4.78444013919945,4.78444013919945,5.61019753649212
population_and_real_gdp_per_capita,univariate_arima,3,11,0.793353723795946,2.43185630928679,2.6229533555772
population_and_real_gdp_per_capita,structural_ols,4,11,-3.06337324147724,3.53584817926579,4.57702425377283
population_and_real_gdp_per_capita,arimax_level,4,11,-2.77689267417376,3.19015121171956,4.09597110843617
population_and_real_gdp_per_capita,arimax_diff,4,11,-1.8109142788395,2.85029616816189,3.61467743631309
population_and_real_gdp_per_capita,dynamic_diff,4,11,-1.83791105230531,3.07923798484855,3.84518988418281
population_and_real_gdp_per_capita,hybrid,4,11,-2.27296959336273,3.31159913518544,4.15332416887507
population_and_real_gdp_per_capita,ardl_ecm,4,11,-6.52221351163032,6.52221351163032,7.20069201565728
population_and_real_gdp_per_capita,univariate_arima,4,11,1.05235004795975,2.26114061376133,2.56748124948901
population_and_real_gdp_per_capita,structural_ols,5,11,-3.64092723739538,4.03390115231857,5.08201401986052
population_and_real_gdp_per_capita,arimax_level,5,11,-3.30888152372464,3.64570182425795,4.57585653455209
population_and_real_gdp_per_capita,arimax_diff,5,11,-2.23204872833845,3.20046383503994,4.03409766088768
population_and_real_gdp_per_capita,dynamic_diff,5,11,-2.19459356700966,3.50553904926393,4.28749628574225
population_and_real_gdp_per_capita,hybrid,5,11,-2.70265585825365,3.76969226841642,4.59613965938299
population_and_real_gdp_per_capita,ardl_ecm,5,11,-8.49660192803436,8.49660192803436,9.05025887874889
population_and_real_gdp_per_capita,univariate_arima,5,11,1.09432867753225,2.09472628750286,2.49443217431736
