year,revenue_ratio,scenario,revenue_assumption
2039,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2040,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2041,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2042,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2043,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2044,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2045,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2046,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2047,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2048,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2049,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2050,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2051,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2052,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2053,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2054,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2055,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2056,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2057,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2058,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2059,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2060,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2061,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2062,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2063,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2064,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2065,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2066,0.35061,restraint,PBO forecast then +1.2 percentage points by 2037
2025,0.3406,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2026,0.34602,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2027,0.34536,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2028,0.33991,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2029,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2030,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2031,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2032,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2033,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2034,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2035,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2036,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2037,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2038,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2039,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2040,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2041,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2042,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2043,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2044,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2045,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2046,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
2047,0.33861,indexed_thresholds,PBO forecast then revenue/GDP held constant (indexed-threshold proxy)
