year,model,actual,fitted,model_label
2014,hybrid,0.346132712717135,0.340338666050872,Hybrid spending-share model
2015,hybrid,0.348893646518989,0.349570382409183,Hybrid spending-share model
2016,hybrid,0.354659808866871,0.347401409292867,Hybrid spending-share model
2017,hybrid,0.350056716497443,0.353739973691934,Hybrid spending-share model
2018,hybrid,0.349966601492251,0.34940258349076,Hybrid spending-share model
2019,hybrid,0.3489459716794,0.347914834566503,Hybrid spending-share model
2020,hybrid,0.397665294079763,0.394114957215145,Hybrid spending-share model
2021,hybrid,0.420022274506502,0.417934783190582,Hybrid spending-share model
2022,hybrid,0.378859989972692,0.36767461784745,Hybrid spending-share model
2023,hybrid,0.357918223925394,0.366020185178534,Hybrid spending-share model
2024,hybrid,0.373326881738081,0.359053017722042,Hybrid spending-share model
2025,hybrid,0.383410740130003,0.379908473967575,Hybrid spending-share model
1980,per_capita_income,0.333103269138001,,Real spending per capita (differences)
1981,per_capita_income,0.341854541406654,0.339664297209154,Real spending per capita (differences)
1982,per_capita_income,0.34194351027086,0.347833986145445,Real spending per capita (differences)
1983,per_capita_income,0.369170289130503,0.360273126992056,Real spending per capita (differences)
1984,per_capita_income,0.374219801166094,0.361301142212821,Real spending per capita (differences)
1985,per_capita_income,0.384885205434133,0.374254879658945,Real spending per capita (differences)
1986,per_capita_income,0.386757421004678,0.390185741960075,Real spending per capita (differences)
1987,per_capita_income,0.387112871425331,0.389743471612591,Real spending per capita (differences)
1988,per_capita_income,0.361389001685801,0.370472481615256,Real spending per capita (differences)
1989,per_capita_income,0.345975970765878,0.351071596665083,Real spending per capita (differences)
1990,per_capita_income,0.342681221503343,0.345022435684314,Real spending per capita (differences)
1991,per_capita_income,0.357308222125526,0.35613210012852,Real spending per capita (differences)
1992,per_capita_income,0.373256260951802,0.370835118453539,Real spending per capita (differences)
1993,per_capita_income,0.372161555856265,0.36849643343686,Real spending per capita (differences)
1994,per_capita_income,0.370458861335371,0.36464844426615,Real spending per capita (differences)
1995,per_capita_income,0.370609406969422,0.359795673162808,Real spending per capita (differences)
1996,per_capita_income,0.365259991470121,0.36429878380783,Real spending per capita (differences)
1997,per_capita_income,0.356153778449965,0.36063977426235,Real spending per capita (differences)
1998,per_capita_income,0.342296359017782,0.349167445855366,Real spending per capita (differences)
1999,per_capita_income,0.345408985029229,0.342075672038318,Real spending per capita (differences)
2000,per_capita_income,0.344757730483635,0.339643854619536,Real spending per capita (differences)
2001,per_capita_income,0.350668155529801,0.346543805845099,Real spending per capita (differences)
2002,per_capita_income,0.345335135363433,0.345670629156244,Real spending per capita (differences)
2003,per_capita_income,0.338893297616431,0.345150943175732,Real spending per capita (differences)
2004,per_capita_income,0.337763913273131,0.330988317349754,Real spending per capita (differences)
2005,per_capita_income,0.336883717718547,0.338039904000867,Real spending per capita (differences)
2006,per_capita_income,0.333935210831799,0.333717763789624,Real spending per capita (differences)
2007,per_capita_income,0.329632421017543,0.331280231594128,Real spending per capita (differences)
2008,per_capita_income,0.32922316457056,0.32767316843095,Real spending per capita (differences)
2009,per_capita_income,0.350492899653279,0.331641759381945,Real spending per capita (differences)
2010,per_capita_income,0.356366529110526,0.361261348432467,Real spending per capita (differences)
2011,per_capita_income,0.347158149042668,0.352596519879715,Real spending per capita (differences)
2012,per_capita_income,0.349874026949591,0.348397710650273,Real spending per capita (differences)
2013,per_capita_income,0.344430952357823,0.354511508270305,Real spending per capita (differences)
2014,per_capita_income,0.346132712717135,0.345272379538913,Real spending per capita (differences)
2015,per_capita_income,0.348893646518989,0.353905574127686,Real spending per capita (differences)
2016,per_capita_income,0.354659808866871,0.35411928634724,Real spending per capita (differences)
2017,per_capita_income,0.350056716497443,0.346896272730644,Real spending per capita (differences)
2018,per_capita_income,0.349966601492251,0.348336199214114,Real spending per capita (differences)
2019,per_capita_income,0.3489459716794,0.3487612269131,Real spending per capita (differences)
2020,per_capita_income,0.397665294079763,0.397665294079763,Real spending per capita (differences)
2021,per_capita_income,0.420022274506502,0.420022274506502,Real spending per capita (differences)
2022,per_capita_income,0.378859989972692,0.378859989972692,Real spending per capita (differences)
2023,per_capita_income,0.357918223925394,0.377427502232959,Real spending per capita (differences)
2024,per_capita_income,0.373326881738081,0.373517864061426,Real spending per capita (differences)
2025,per_capita_income,0.383410740130003,0.384465306754319,Real spending per capita (differences)
1980,univariate_arima,0.333103269138001,0.343654171861854,COVID-adjusted ARIMA benchmark
1981,univariate_arima,0.341854541406654,0.337317720907365,COVID-adjusted ARIMA benchmark
1982,univariate_arima,0.34194351027086,0.348168507551094,COVID-adjusted ARIMA benchmark
1983,univariate_arima,0.369170289130503,0.346395897037146,COVID-adjusted ARIMA benchmark
1984,univariate_arima,0.374219801166094,0.37400265718995,COVID-adjusted ARIMA benchmark
1985,univariate_arima,0.384885205434133,0.375556329351343,COVID-adjusted ARIMA benchmark
1986,univariate_arima,0.386757421004678,0.377044460956761,COVID-adjusted ARIMA benchmark
1987,univariate_arima,0.387112871425331,0.382474339221015,COVID-adjusted ARIMA benchmark
1988,univariate_arima,0.361389001685801,0.379637036611393,COVID-adjusted ARIMA benchmark
1989,univariate_arima,0.345975970765878,0.348866339067663,COVID-adjusted ARIMA benchmark
