model,model_label,model_only_join_value,model_only_endpoint,pbo_anchored_endpoint,pbo_join_year,pbo_join_concept_aligned_value,additive_splice_adjustment_pp,endpoint_difference_pp
ardl_ecm,ARDL error-correction model,0.341163021416679,0.309304440403049,0.31714141898637,2030,0.349,0.783697858332078,0.783697858332083
arimax_diff,Differenced ARIMAX,0.359153419828577,0.339572530505038,0.329419110676461,2030,0.349,-1.01534198285768,-1.01534198285768
arimax_level,ARIMAX (levels),0.361177807844677,0.374904247077735,0.362726439233058,2030,0.349,-1.21778078446773,-1.21778078446774
hybrid,Hybrid structural/macro,0.367589659544634,0.380227615821868,0.361637956277235,2030,0.349,-1.8589659544634,-1.85896595446339
structural_ols,Structural OLS (levels),0.34676958881215,0.362972954925584,0.365203366113434,2030,0.349,0.223041118784995,0.223041118785
