year,model,value,interest_treatment,interest_treatment_label,demographic_specification,demographic_label,model_label,path_type
2051,ardl_ecm,0.319195831397347,exclude_other_interest,Exclude conventional other interest,expenditure_profile,Age-expenditure profile index,ARDL error-correction model,Model only
2052,ardl_ecm,0.318520418479565,exclude_other_interest,Exclude conventional other interest,expenditure_profile,Age-expenditure profile index,ARDL error-correction model,Model only
2053,ardl_ecm,0.317849941552486,exclude_other_interest,Exclude conventional other interest,expenditure_profile,Age-expenditure profile index,ARDL error-correction model,Model only
2054,ardl_ecm,0.317183454840676,exclude_other_interest,Exclude conventional other interest,expenditure_profile,Age-expenditure profile index,ARDL error-correction model,Model only
2055,ardl_ecm,0.316520164480459,exclude_other_interest,Exclude conventional other interest,expenditure_profile,Age-expenditure profile index,ARDL error-correction model,Model only
2056,ardl_ecm,0.315859405025376,exclude_other_interest,Exclude conventional other interest,expenditure_profile,Age-expenditure profile index,ARDL error-correction model,Model only
2057,ardl_ecm,0.315200619582094,exclude_other_interest,Exclude conventional other interest,expenditure_profile,Age-expenditure profile index,ARDL error-correction model,Model only
2058,ardl_ecm,0.314543343012677,exclude_other_interest,Exclude conventional other interest,expenditure_profile,Age-expenditure profile index,ARDL error-correction model,Model only
2059,ardl_ecm,0.31388718772773,exclude_other_interest,Exclude conventional other interest,expenditure_profile,Age-expenditure profile index,ARDL error-correction model,Model only
2060,ardl_ecm,0.313231831669325,exclude_other_interest,Exclude conventional other interest,expenditure_profile,Age-expenditure profile index,ARDL error-correction model,Model only
2061,ardl_ecm,0.312577008145192,exclude_other_interest,Exclude conventional other interest,expenditure_profile,Age-expenditure profile index,ARDL error-correction model,Model only
2062,ardl_ecm,0.311922497228336,exclude_other_interest,Exclude conventional other interest,expenditure_profile,Age-expenditure profile index,ARDL error-correction model,Model only
2063,ardl_ecm,0.311268118480609,exclude_other_interest,Exclude conventional other interest,expenditure_profile,Age-expenditure profile index,ARDL error-correction model,Model only
2064,ardl_ecm,0.310613724796206,exclude_other_interest,Exclude conventional other interest,expenditure_profile,Age-expenditure profile index,ARDL error-correction model,Model only
2065,ardl_ecm,0.30995919719259,exclude_other_interest,Exclude conventional other interest,expenditure_profile,Age-expenditure profile index,ARDL error-correction model,Model only
2066,ardl_ecm,0.309304440403049,exclude_other_interest,Exclude conventional other interest,expenditure_profile,Age-expenditure profile index,ARDL error-correction model,Model only
2026,structural_ols,0.371,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2027,structural_ols,0.371,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2028,structural_ols,0.364,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2029,structural_ols,0.357,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2030,structural_ols,0.349,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2031,structural_ols,0.347857676334138,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2032,structural_ols,0.346702036394129,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2033,structural_ols,0.347266514285395,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2034,structural_ols,0.34793573485839,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2035,structural_ols,0.348615739605065,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2036,structural_ols,0.349506047052922,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2037,structural_ols,0.350029291021606,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2038,structural_ols,0.350552534990289,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2039,structural_ols,0.351075778958973,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2040,structural_ols,0.351599022927657,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2041,structural_ols,0.352122266896341,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2042,structural_ols,0.352645510865025,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2043,structural_ols,0.353168754833709,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2044,structural_ols,0.353691998802392,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2045,structural_ols,0.354215242771076,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2046,structural_ols,0.35473848673976,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2047,structural_ols,0.355261730708443,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2048,structural_ols,0.355784974677127,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2049,structural_ols,0.35630821864581,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2050,structural_ols,0.356831462614494,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2051,structural_ols,0.357354706583178,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2052,structural_ols,0.357877950551862,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2053,structural_ols,0.358401194520546,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2054,structural_ols,0.358924438489229,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2055,structural_ols,0.359447682457913,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2056,structural_ols,0.359970926426597,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2057,structural_ols,0.36049417039528,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2058,structural_ols,0.361017414363964,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2059,structural_ols,0.361540658332648,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2060,structural_ols,0.362063902301331,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2061,structural_ols,0.362587146270015,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2062,structural_ols,0.363110390238699,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2063,structural_ols,0.363633634207383,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2064,structural_ols,0.364156878176067,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2065,structural_ols,0.364680122144751,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2066,structural_ols,0.365203366113434,,,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Common PBO anchor
2026,arimax_level,0.371,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2027,arimax_level,0.371,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2028,arimax_level,0.364,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2029,arimax_level,0.357,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2030,arimax_level,0.349,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2031,arimax_level,0.347800163718117,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2032,arimax_level,0.346655750723334,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2033,arimax_level,0.346590710097574,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2034,arimax_level,0.346724456853148,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2035,arimax_level,0.346916726081896,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2036,arimax_level,0.347403871811282,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2037,arimax_level,0.347663350502423,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2038,arimax_level,0.347978264410449,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2039,arimax_level,0.348338644604367,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2040,arimax_level,0.348736314868909,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2041,arimax_level,0.34916456931995,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2042,arimax_level,0.349617907994436,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2043,arimax_level,0.350091819989251,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2044,arimax_level,0.350582605598284,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2045,arimax_level,0.351087230434638,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2046,arimax_level,0.351603205786083,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2047,arimax_level,0.352128490486225,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2048,arimax_level,0.352661410432213,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2049,arimax_level,0.353200592575589,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2050,arimax_level,0.353744910783596,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2051,arimax_level,0.354293441436255,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2052,arimax_level,0.354845427008432,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2053,arimax_level,0.355400246200957,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2054,arimax_level,0.355957389443067,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2055,arimax_level,0.356516438800258,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2056,arimax_level,0.357077051495306,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2057,arimax_level,0.357638946392715,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2058,arimax_level,0.358201892913666,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2059,arimax_level,0.358765701944394,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2060,arimax_level,0.359330218379518,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2061,arimax_level,0.359895315006303,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2062,arimax_level,0.360460887488715,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2063,arimax_level,0.361026850253499,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2064,arimax_level,0.361593133116065,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2065,arimax_level,0.362159678513137,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2066,arimax_level,0.362726439233058,,,age_shares,Separate 0-14 and 65+ shares,ARIMAX (levels),Common PBO anchor
2026,arimax_diff,0.371,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2027,arimax_diff,0.371,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2028,arimax_diff,0.364,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2029,arimax_diff,0.357,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2030,arimax_diff,0.349,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2031,arimax_diff,0.347469735452068,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2032,arimax_diff,0.345904140991245,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2033,arimax_diff,0.347219813972914,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2034,arimax_diff,0.346544752797177,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2035,arimax_diff,0.345835876357541,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2036,arimax_diff,0.344912638695486,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2037,arimax_diff,0.344396187761518,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2038,arimax_diff,0.343879736827551,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2039,arimax_diff,0.343363285893583,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2040,arimax_diff,0.342846834959616,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2041,arimax_diff,0.342330384025648,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2042,arimax_diff,0.341813933091681,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2043,arimax_diff,0.341297482157713,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2044,arimax_diff,0.340781031223746,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2045,arimax_diff,0.340264580289778,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2046,arimax_diff,0.339748129355811,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2047,arimax_diff,0.339231678421843,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2048,arimax_diff,0.338715227487876,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2049,arimax_diff,0.338198776553909,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2050,arimax_diff,0.337682325619941,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2051,arimax_diff,0.337165874685973,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2052,arimax_diff,0.336649423752006,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2053,arimax_diff,0.336132972818039,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2054,arimax_diff,0.335616521884071,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2055,arimax_diff,0.335100070950104,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2056,arimax_diff,0.334583620016136,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2057,arimax_diff,0.334067169082169,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2058,arimax_diff,0.333550718148201,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2059,arimax_diff,0.333034267214234,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2060,arimax_diff,0.332517816280266,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2061,arimax_diff,0.332001365346299,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2062,arimax_diff,0.331484914412331,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2063,arimax_diff,0.330968463478364,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2064,arimax_diff,0.330452012544396,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2065,arimax_diff,0.329935561610428,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2066,arimax_diff,0.329419110676461,,,age_shares,Separate 0-14 and 65+ shares,Differenced ARIMAX,Common PBO anchor
2026,hybrid,0.371,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2027,hybrid,0.371,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2028,hybrid,0.364,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2029,hybrid,0.357,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2030,hybrid,0.349,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2031,hybrid,0.348642352963988,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2032,hybrid,0.348334916610907,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2033,hybrid,0.34779409742259,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2034,hybrid,0.348324216116189,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2035,hybrid,0.348891457418848,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2036,hybrid,0.349628058675999,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2037,hybrid,0.35002838859604,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2038,hybrid,0.350428718516081,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2039,hybrid,0.350829048436122,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2040,hybrid,0.351229378356164,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2041,hybrid,0.351629708276205,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2042,hybrid,0.352030038196246,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2043,hybrid,0.352430368116287,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2044,hybrid,0.352830698036328,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2045,hybrid,0.35323102795637,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2046,hybrid,0.353631357876411,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2047,hybrid,0.354031687796452,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2048,hybrid,0.354432017716493,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2049,hybrid,0.354832347636534,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2050,hybrid,0.355232677556576,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2051,hybrid,0.355633007476617,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2052,hybrid,0.356033337396658,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2053,hybrid,0.356433667316699,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2054,hybrid,0.35683399723674,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2055,hybrid,0.357234327156781,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2056,hybrid,0.357634657076823,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2057,hybrid,0.358034986996864,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2058,hybrid,0.358435316916905,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2059,hybrid,0.358835646836946,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2060,hybrid,0.359235976756987,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2061,hybrid,0.359636306677029,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2062,hybrid,0.36003663659707,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2063,hybrid,0.360436966517111,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2064,hybrid,0.360837296437152,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2065,hybrid,0.361237626357194,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2066,hybrid,0.361637956277235,,,age_shares,Separate 0-14 and 65+ shares,Hybrid structural/macro,Common PBO anchor
2026,ardl_ecm,0.371,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2027,ardl_ecm,0.371,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2028,ardl_ecm,0.364,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2029,ardl_ecm,0.357,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2030,ardl_ecm,0.349,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2031,ardl_ecm,0.345999931714284,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2032,ardl_ecm,0.343476098489561,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2033,ardl_ecm,0.342357142333444,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2034,ardl_ecm,0.341309843354795,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2035,ardl_ecm,0.340324641594313,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2036,ardl_ecm,0.339391443723882,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2037,ardl_ecm,0.338271048803864,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2038,ardl_ecm,0.337228103168161,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2039,ardl_ecm,0.336250259596766,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2040,ardl_ecm,0.33532712116553,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2041,ardl_ecm,0.334449928214179,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2042,ardl_ecm,0.333611297267412,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2043,ardl_ecm,0.332805002811377,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2044,ardl_ecm,0.332025794548068,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2045,ardl_ecm,0.331269244112552,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2046,ardl_ecm,0.330531616324844,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2047,ardl_ecm,0.329809760921234,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2048,ardl_ecm,0.329101021415402,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2049,ardl_ecm,0.328403158312891,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2050,ardl_ecm,0.32771428437103,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2051,ardl_ecm,0.327032809980668,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2052,ardl_ecm,0.326357397062885,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2053,ardl_ecm,0.325686920135807,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2054,ardl_ecm,0.325020433423997,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2055,ardl_ecm,0.324357143063779,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2056,ardl_ecm,0.323696383608697,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2057,ardl_ecm,0.323037598165414,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2058,ardl_ecm,0.322380321595998,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2059,ardl_ecm,0.32172416631105,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2060,ardl_ecm,0.321068810252646,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2061,ardl_ecm,0.320413986728513,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2062,ardl_ecm,0.319759475811656,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2063,ardl_ecm,0.31910509706393,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2064,ardl_ecm,0.318450703379527,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2065,ardl_ecm,0.317796175775911,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2066,ardl_ecm,0.31714141898637,,,age_shares,Separate 0-14 and 65+ shares,ARDL error-correction model,Common PBO anchor
2026,structural_ols,0.371,,,expenditure_profile,Age-expenditure profile index,Structural OLS (levels),Common PBO anchor
2027,structural_ols,0.371,,,expenditure_profile,Age-expenditure profile index,Structural OLS (levels),Common PBO anchor
2028,structural_ols,0.364,,,expenditure_profile,Age-expenditure profile index,Structural OLS (levels),Common PBO anchor
2029,structural_ols,0.357,,,expenditure_profile,Age-expenditure profile index,Structural OLS (levels),Common PBO anchor
2030,structural_ols,0.349,,,expenditure_profile,Age-expenditure profile index,Structural OLS (levels),Common PBO anchor
2031,structural_ols,0.347446361553829,,,expenditure_profile,Age-expenditure profile index,Structural OLS (levels),Common PBO anchor
2032,structural_ols,0.345888314673585,,,expenditure_profile,Age-expenditure profile index,Structural OLS (levels),Common PBO anchor
2033,structural_ols,0.346273521776089,,,expenditure_profile,Age-expenditure profile index,Structural OLS (levels),Common PBO anchor
2034,structural_ols,0.346780880518859,,,expenditure_profile,Age-expenditure profile index,Structural OLS (levels),Common PBO anchor
2035,structural_ols,0.347306922892218,,,expenditure_profile,Age-expenditure profile index,Structural OLS (levels),Common PBO anchor
2036,structural_ols,0.348064474159434,,,expenditure_profile,Age-expenditure profile index,Structural OLS (levels),Common PBO anchor
