age_group,effective_relative_weight,base_population_share,base_index_contribution
0_14,1.19617356090099,0.173979771704246,0.208110003044209
15_34,0.828741054362635,0.275554519415541,0.228363342954824
35_54,0.656269451222959,0.263270549960729,0.172776419345894
55_64,0.852677677144244,0.11192506935454,0.0954360081514376
65p,1.68490942885158,0.175270089564944,0.295314226503635
