year,scenario,category,value,nominal_gdp,raw_value,raw_share_gdp,share_gdp
2025,central,Defence,49387.2159748811,2787242.26448425,50175,0.0180016644549857,0.0177190252186491
2025,central,Economic affairs,45637.0357483879,2787242.26448425,46365,0.0166347219223799,0.0163735446788772
2025,central,Education,146110.3682417,2787242.26448425,148441,0.0532573009140515,0.052421122520807
2025,central,Environmental Protection,20450.7859752886,2787242.26448425,20777,0.00745432152229672,0.00733728324798949
2025,central,General public services excl interest,63025.666688343,2787242.26448425,64031,0.0229728864318324,0.0226121953916357
2025,central,Health,204481.28367254,2787242.26448425,207743,0.0745335282286417,0.0733632975784319
2025,central,Housing and community amenities,13684.7127792481,2787242.26448425,13903,0.00498808452252449,0.00490976796442209
2025,central,Public order and safety,51945.4097829272,2787242.26448425,52774,0.0189341273532121,0.0186368477705827
2025,central,"Recreation, culture and religion",19657.4407620199,2787242.26448425,19971,0.00716514680280059,0.00705264878209549
2025,central,Social Protection,306851.360863085,2787242.26448425,311746,0.111847471593104,0.110091384869217
2025,central,Transport,46415.6164725758,2787242.26448425,47156,0.0169185149783619,0.0166528819772918
2026,central,Defence,51646.1390323743,2879306.72559039,53847.3489973316,0.0187014980094871,0.0179370049648964
2026,central,Economic affairs,46628.3781823833,2879306.72559039,48615.7261744669,0.0168845249248318,0.0161943073893325
2026,central,Education,148259.380735361,2879306.72559039,154578.343437848,0.0536859592151138,0.0514913466556643
2026,central,Environmental Protection,20895.0245550604,2879306.72559039,21785.5913453445,0.00756626279226207,0.00725696375775179
2026,central,General public services excl interest,64394.7305811751,2879306.72559039,67139.2982352483,0.0233178694157642,0.0223646650802621
2026,central,Health,211639.687442782,2879306.72559039,220659.982041909,0.0766364972792762,0.0735036964147633
2026,central,Housing and community amenities,13981.9765312126,2879306.72559039,14577.9023186372,0.00506299040288875,0.00485602190518473
2026,central,Public order and safety,53201.9823033988,2879306.72559039,55469.5038605924,0.0192648818438121,0.018477358396921
2026,central,"Recreation, culture and religion",20084.4460407716,2879306.72559039,20940.4651661874,0.0072727455467231,0.00697544511748861
2026,central,Social Protection,316155.374655021,2879306.72559039,329630.232102336,0.114482499961773,0.10980260346879
2026,central,Transport,47423.8714885898,2879306.72559039,49445.124198925,0.0171725796906151,0.0164705868489456
2027,central,Defence,53691.0178382393,2991935.07410021,58047.5243905449,0.0194013315639886,0.0179452483120431
2027,central,Economic affairs,46867.3174446734,2991935.07410021,50670.1467401034,0.0169355769711486,0.0156645502940161
2027,central,Education,148052.61870804,2991935.07410021,160065.656073634,0.0534990406239923,0.0494839009006788
2027,central,Environmental Protection,21002.0975854196,2991935.07410021,22706.2145760623,0.00758914014298619,0.0070195699656804
2027,central,General public services excl interest,64724.7105208646,2991935.07410021,69976.4944659885,0.023388373321247,0.0216330598485095
2027,central,Health,215493.207400939,2991935.07410021,232978.395944914,0.0778688006841123,0.0720246937396347
2027,central,Housing and community amenities,14053.6248125374,2991935.07410021,15193.9404750924,0.0050782988596976,0.00469716904427274
2027,central,Public order and safety,53604.3996268488,2991935.07410021,57953.8779494679,0.0193700319405817,0.0179162977468586
2027,central,"Recreation, culture and religion",20187.3653982006,2991935.07410021,21825.3747556692,0.00729473541876004,0.00674726051810191
2027,central,Social Protection,320455.567402301,2991935.07410021,346457.435784029,0.115797110299334,0.107106457682299
2027,central,Transport,47666.8871222047,2991935.07410021,51534.5937598688,0.0172245026992664,0.0159317919479051
2028,central,Defence,56659.9356473663,3148221.67317858,63282.9236821715,0.02010116511849,0.0179974415810943
2028,central,Economic affairs,47758.7214750294,3148221.67317858,53341.2453037767,0.0169432939739345,0.0151700631127446
2028,central,Education,149991.862207249,3148221.67317858,167524.432574065,0.0532124005121042,0.0476433611664361
2028,central,Environmental Protection,21401.551948381,3148221.67317858,23903.1824366779,0.00759259827232692,0.00679798126374408
2028,central,General public services excl interest,65955.7574629054,3148221.67317858,73665.3354479915,0.023399030657716,0.0209501630793087
2028,central,Health,222311.934284933,3148221.67317858,248298.008288389,0.0788692900515156,0.0706150828510362
2028,central,Housing and community amenities,14320.9210539703,3148221.67317858,15994.8955776644,0.00508061287867167,0.00454889221301602
2028,central,Public order and safety,54755.2039935653,3148221.67317858,61155.5476711451,0.0194254261674655,0.017392423303624
2028,central,"Recreation, culture and religion",20571.3237696066,3148221.67317858,22975.9087665637,0.00729805939724893,0.00653426788363252
2028,central,Social Protection,329088.191749852,3148221.67317858,367555.357860307,0.116750151678235,0.104531454869755
2028,central,Transport,48573.4987571765,3148221.67317858,54251.2620197325,0.0172323513563002,0.0154288686756084
2029,central,Defence,60842.3120347773,3319351.84917026,69045.8334097822,0.0208009986729914,0.0183295760134576
2029,central,Economic affairs,49582.4859257017,3319351.84917026,56267.8167343809,0.0169514469363789,0.0149373998836839
2029,central,Education,154968.000512065,3319351.84917026,175862.724300928,0.0529810433759495,0.0466862229597028
2029,central,Environmental Protection,22218.8139777484,3319351.84917026,25214.6323366814,0.00759625176312185,0.0066937206380524
2029,central,General public services excl interest,68474.4129474518,3319351.84917026,77706.9896111106,0.0234102900632649,0.0206288504680721
2029,central,Health,233496.66730746,3319351.84917026,264979.60799772,0.07982871959294,0.0703440544773304
2029,central,Housing and community amenities,14867.7947120679,3319351.84917026,16872.4567250749,0.00508305762442524,0.00447912586181078
2029,central,Public order and safety,56982.4796632006,3319351.84917026,64665.5701685491,0.0194813846518601,0.0171667488872698
2029,central,"Recreation, culture and religion",21356.8818380715,3319351.84917026,24236.4837269993,0.00730157115855545,0.00643405182954924
2029,central,Social Protection,344044.223066507,3319351.84917026,390432.567682007,0.117623134100594,0.103648012834948
2029,central,Transport,50428.3771446649,3319351.84917026,57227.7615858183,0.0172406434105874,0.0151922361461231
2030,central,Defence,65656.4340958819,3465403.33053375,74509.0556104012,0.0215008322274929,0.0189462604590298
2030,central,Economic affairs,51783.1889860301,3465403.33053375,58765.2461023014,0.0169576930871277,0.0149429039124442
2030,central,Education,161231.808596458,3465403.33053375,182971.097323614,0.0527993655778684,0.0465261307899837
2030,central,Environmental Protection,23204.9890555968,3465403.33053375,26333.7758711855,0.0075990507769061,0.00669618709347253
2030,central,General public services excl interest,71513.6282533051,3465403.33053375,81155.9899315531,0.0234189161234093,0.0206364516427848
2030,central,Health,246506.96898447,3465403.33053375,279744.121247781,0.0807248376496175,0.0711337023348743
2030,central,Housing and community amenities,15527.6971093018,3465403.33053375,17621.3354159451,0.00508493059398977,0.00448077629881834
2030,central,Public order and safety,59655.7996876559,3465403.33053375,67699.3406300343,0.0195357752540761,0.0172146771955885
2030,central,"Recreation, culture and religion",22304.8003286963,3465403.33053375,25312.2124427706,0.00730426159048908,0.00643642260402079
2030,central,Social Protection,361447.193764053,3465403.33053375,410182.024522688,0.118364872829827,0.104301623588612
