model,model_label,component,term,estimate,conventional_se,robust_hc1_se,conventional_p_value,robust_hc1_p_value,standard_error_scope
arimax_diff,ARIMAX (differences),Difference ARIMAX,covid_fy2021,0.0264782286693138,0.0073712328758587,,0.000328019982254624,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
arimax_diff,ARIMAX (differences),Difference ARIMAX,covid_fy2022,-0.021034907873542,0.00716668190756997,,0.00333443237533458,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
dynamic_diff,Dynamic differences,Dynamic difference ARIMAX,d_age_0_14,-1.85381432612152,0.740417047488966,,0.012288710809109,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
dynamic_diff,Dynamic differences,Dynamic difference ARIMAX,d_age_65p,0.348248777779823,0.849631845393065,,0.681892529342417,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
dynamic_diff,Dynamic differences,Dynamic difference ARIMAX,d_log_real_gdp_per_capita,-0.274532357269956,0.0882350888673896,,0.00186218954466601,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
dynamic_diff,Dynamic differences,Dynamic difference ARIMAX,d_rp_z,0.0114533872700296,0.00290445972396633,,8.03413294315306e-05,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
dynamic_diff,Dynamic differences,Dynamic difference ARIMAX,d_unemployment,0.00181674363851295,0.0019026565782365,,0.339655683330811,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
dynamic_diff,Dynamic differences,Dynamic difference ARIMAX,d_unemployment_l1,0.00137153175458351,0.0013628353088743,,0.314232261461125,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
dynamic_diff,Dynamic differences,Dynamic difference ARIMAX,d_tot_z,0.00657629765357921,0.00436711851820124,,0.132101437541787,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
dynamic_diff,Dynamic differences,Dynamic difference ARIMAX,d_tot_z_l1,-0.00274851806382785,0.00330091661476023,,0.405040468693646,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
dynamic_diff,Dynamic differences,Dynamic difference ARIMAX,covid_fy2020,0.0413342126494223,0.00705894072460116,,4.75339815868148e-09,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
