year,category,exposure,price_driver,spending_growth,exposure_growth,price_growth,all_wpi_growth,relative_price_premium,residual_intensity_growth,observed_excess_over_common_cost
2016,Defence,gdp_target,,,,,0.024671052631579,,,
2017,Defence,gdp_target,,0.0735529588117059,,,0.0240770465489566,,,
2018,Defence,gdp_target,,0.0209444021325209,,,0.0235109717868338,,,
2019,Defence,gdp_target,,0.0788573915205768,,,0.0252679938744258,,,
2020,Defence,gdp_target,,0.136362326774035,,,0.0231516056758774,,,
2021,Defence,gdp_target,,0.0308554332944577,,,0.0153284671532847,,,
2022,Defence,gdp_target,,0.0931651048968247,,,0.0208483105679367,,,
2023,Defence,gdp_target,,0.0204513240488673,,,0.0274647887323944,,,
2024,Defence,gdp_target,,0.067069406473234,,,0.0383824537354351,,,
2025,Defence,gdp_target,,0.0367163932393901,,,0.0349834983498352,,,
2016,Economic affairs,total_population,public_all_wpi,,,0.024671052631579,0.024671052631579,0,,
2017,Economic affairs,total_population,public_all_wpi,0.0162048404068749,0.0166046275156198,0.0240770465489566,0.0240770465489566,0,-0.0244768336577015,-0.0244768336577015
2018,Economic affairs,total_population,public_all_wpi,0.0502554190252658,0.0150724275135257,0.0235109717868338,0.0235109717868338,0,0.0116720197249063,0.0116720197249063
2019,Economic affairs,total_population,public_all_wpi,0.0208360720389116,0.0148845955924504,0.0252679938744258,0.0252679938744258,0,-0.0193165174279646,-0.0193165174279646
2020,Economic affairs,total_population,public_all_wpi,1.72516257806967,0.0124106634874857,0.0231516056758774,0.0231516056758774,0,1.6896003089063,1.6896003089063
2021,Economic affairs,total_population,public_all_wpi,0.391050101005328,0.0014099438704791,0.0153284671532847,0.0153284671532847,0,0.374311689981564,0.374311689981564
2022,Economic affairs,total_population,public_all_wpi,-0.504802506985079,0.0129765876443797,0.0208483105679367,0.0208483105679367,0,-0.538627405197395,-0.538627405197395
2023,Economic affairs,total_population,public_all_wpi,-0.232841708111816,0.0246438324158977,0.0274647887323944,0.0274647887323944,0,-0.284950329260108,-0.284950329260108
2024,Economic affairs,total_population,public_all_wpi,0.0405964276932018,0.0200437195577692,0.0383824537354351,0.0383824537354351,0,-0.0178297456000025,-0.0178297456000025
2025,Economic affairs,total_population,public_all_wpi,-0.0039528239059915,0.0153015232685279,0.0349834983498352,0.0349834983498352,0,-0.0542378455243545,-0.0542378455243545
2016,Education,education_age_weight,public_education_wpi,,,0.0285714285714285,0.024671052631579,0.0039003759398495,,
2017,Education,education_age_weight,public_education_wpi,0.0449957809606258,0.0137746887628123,0.0246031746031745,0.0240770465489566,0.000526128054217898,0.00661791759463905,0.00714404564885695
2018,Education,education_age_weight,public_education_wpi,0.0446103671389171,0.0108220051736363,0.0247869868319133,0.0235109717868338,0.0012760150450795,0.00900137513336749,0.010277390178447
2019,Education,education_age_weight,public_education_wpi,0.0553742985353318,0.00974472504604362,0.0234315948601662,0.0252679938744258,-0.0018363990142596,0.022197978629122,0.0203615796148624
2020,Education,education_age_weight,public_education_wpi,0.0845817995034672,0.00281350028058758,0.0214180206794683,0.0231516056758774,-0.0017335849964091,0.0603502785434114,0.0586166935470023
2021,Education,education_age_weight,public_education_wpi,0.0191368256724638,-0.00816512810697401,0.0187997107736804,0.0153284671532847,0.0034712436203957,0.00850224300575738,0.0119734866261531
2022,Education,education_age_weight,public_education_wpi,0.0656093216182025,0.00708688022001147,0.0212916962384671,0.0208483105679367,0.0004433856705304,0.037230745159724,0.0376741308302544
2023,Education,education_age_weight,public_education_wpi,0.0546084456540172,0.0188429657621649,0.0277970813064627,0.0274647887323944,0.000332292574068301,0.0079683985853896,0.0083006911594579
2024,Education,education_age_weight,public_education_wpi,0.0679842865785021,0.0130468743858672,0.0432724814063556,0.0383824537354351,0.0048900276709205,0.0116649307862793,0.0165549584571998
2025,Education,education_age_weight,public_education_wpi,0.0643449704948125,0.00652916387725155,0.0382372002592351,0.0349834983498352,0.0032537019093999,0.0195786063583258,0.0228323082677257
2016,Environmental Protection,total_population,public_all_wpi,,,0.024671052631579,0.024671052631579,0,,
2017,Environmental Protection,total_population,public_all_wpi,0.101667077276833,0.0166046275156198,0.0240770465489566,0.0240770465489566,0,0.060985403212257,0.060985403212257
2018,Environmental Protection,total_population,public_all_wpi,0.109951546775997,0.0150724275135257,0.0235109717868338,0.0235109717868338,0,0.0713681474756376,0.0713681474756376
2019,Environmental Protection,total_population,public_all_wpi,0.0410342511752855,0.0148845955924504,0.0252679938744258,0.0252679938744258,0,0.000881661708409306,0.000881661708409306
2020,Environmental Protection,total_population,public_all_wpi,0.104896458293013,0.0124106634874857,0.0231516056758774,0.0231516056758774,0,0.0693341891296504,0.0693341891296504
2021,Environmental Protection,total_population,public_all_wpi,0.0760203187948854,0.0014099438704791,0.0153284671532847,0.0153284671532847,0,0.0592819077711216,0.0592819077711216
2022,Environmental Protection,total_population,public_all_wpi,0.0472624667643389,0.0129765876443797,0.0208483105679367,0.0208483105679367,0,0.0134375685520225,0.0134375685520225
2023,Environmental Protection,total_population,public_all_wpi,0.117305699481865,0.0246438324158977,0.0274647887323944,0.0274647887323944,0,0.0651970783335732,0.0651970783335732
2024,Environmental Protection,total_population,public_all_wpi,-0.0134019662400297,0.0200437195577692,0.0383824537354351,0.0383824537354351,0,-0.0718281395332339,-0.0718281395332339
2025,Environmental Protection,total_population,public_all_wpi,-0.0234077555816686,0.0153015232685279,0.0349834983498352,0.0349834983498352,0,-0.0736927772000317,-0.0736927772000317
2016,General public services excl interest,total_population,public_admin_wpi,,,0.0223140495867769,0.024671052631579,-0.0023570030448021,,
2017,General public services excl interest,total_population,public_admin_wpi,0.030058844194625,0.0166046275156198,0.0218270008084074,0.0240770465489566,-0.0022500457405492,-0.00837278412940214,-0.0106228298699513
2018,General public services excl interest,total_population,public_admin_wpi,-0.0499861445654722,0.0150724275135257,0.0221518987341771,0.0235109717868338,-0.0013590730526567,-0.087210470813175,-0.0885695438658317
2019,General public services excl interest,total_population,public_admin_wpi,0.0370445162448394,0.0148845955924504,0.0255417956656348,0.0252679938744258,0.000273801791208998,-0.00338187501324577,-0.00310807322203677
