interest_treatment,interest_treatment_label,component,term,estimate
exclude_other_interest,Exclude conventional other interest,hybrid_structural_ols,covid_fy2020,0.044262036397711
exclude_other_interest,Exclude conventional other interest,hybrid_structural_ols,covid_fy2021,0.0666195778848771
exclude_other_interest,Exclude conventional other interest,hybrid_structural_ols,covid_fy2022,0.0247047038721656
exclude_other_interest,Exclude conventional other interest,hybrid_macro,d_unemployment,0.00630120668594588
exclude_other_interest,Exclude conventional other interest,hybrid_macro,d_unemployment_l1,-0.000769456683870289
exclude_other_interest,Exclude conventional other interest,hybrid_macro,d_tot_z,-0.00152497872317798
exclude_other_interest,Exclude conventional other interest,hybrid_macro,d_tot_z_l1,0.00286605206940132
exclude_other_interest,Exclude conventional other interest,ardl_ecm,(Intercept),-0.229625249455755
exclude_other_interest,Exclude conventional other interest,ardl_ecm,w_lag,-0.151897930299035
exclude_other_interest,Exclude conventional other interest,ardl_ecm,log_real_gdp_per_capita_l1,-0.0272226861502942
exclude_other_interest,Exclude conventional other interest,ardl_ecm,log_relative_gov_price_l1,0.15470102488355
exclude_other_interest,Exclude conventional other interest,ardl_ecm,d_log_real_gdp_per_capita,-0.640373036458585
exclude_other_interest,Exclude conventional other interest,ardl_ecm,d_log_relative_gov_price,1.00384844096968
exclude_other_interest,Exclude conventional other interest,ardl_ecm,d_unemployment,0.00813197440337381
exclude_other_interest,Exclude conventional other interest,ardl_ecm,d_tot_z,0.0104599384911437
exclude_other_interest,Exclude conventional other interest,ardl_ecm,covid_fy2020,0.12295984651772
exclude_other_interest,Exclude conventional other interest,ardl_ecm,covid_fy2021,0.0899525820360498
exclude_other_interest,Exclude conventional other interest,ardl_ecm,covid_fy2022,-0.0196602792118499
exclude_total_interest,Exclude total interest payable,structural_ols,(Intercept),0.201194893820517
exclude_total_interest,Exclude total interest payable,structural_ols,age_0_14,0.0866822615851679
exclude_total_interest,Exclude total interest payable,structural_ols,age_65p,0.560602896909195
exclude_total_interest,Exclude total interest payable,structural_ols,tot_z,0.00405762823358934
exclude_total_interest,Exclude total interest payable,structural_ols,rp_z,0.00241095535543788
exclude_total_interest,Exclude total interest payable,structural_ols,unemployment,0.00499725453682086
exclude_total_interest,Exclude total interest payable,structural_ols,covid_fy2020,0.0402720231130011
exclude_total_interest,Exclude total interest payable,structural_ols,covid_fy2021,0.0568777927466547
exclude_total_interest,Exclude total interest payable,structural_ols,covid_fy2022,0.0218379388134456
exclude_total_interest,Exclude total interest payable,arimax_level,ar1,1.08879953677955
exclude_total_interest,Exclude total interest payable,arimax_level,ar2,-0.31082617156302
exclude_total_interest,Exclude total interest payable,arimax_level,age_0_14,0.607448845765485
exclude_total_interest,Exclude total interest payable,arimax_level,age_65p,1.20155682863518
exclude_total_interest,Exclude total interest payable,arimax_level,tot_z,0.00311791638359494
exclude_total_interest,Exclude total interest payable,arimax_level,rp_z,0.00574911822528926
exclude_total_interest,Exclude total interest payable,arimax_level,unemployment,0.00668077862957423
exclude_total_interest,Exclude total interest payable,arimax_level,covid_fy2020,0.0407416366103195
exclude_total_interest,Exclude total interest payable,arimax_level,covid_fy2021,0.0521745201765983
exclude_total_interest,Exclude total interest payable,arimax_level,covid_fy2022,0.021379662383267
exclude_total_interest,Exclude total interest payable,arimax_diff,d_age_0_14,-0.235261944687185
exclude_total_interest,Exclude total interest payable,arimax_diff,d_age_65p,-0.298613065844753
exclude_total_interest,Exclude total interest payable,arimax_diff,d_rp_z,0.0119362970005991
exclude_total_interest,Exclude total interest payable,arimax_diff,d_unemployment,0.0069154975864973
exclude_total_interest,Exclude total interest payable,arimax_diff,d_unemployment_l1,-0.000791986609602895
exclude_total_interest,Exclude total interest payable,arimax_diff,d_tot_z,0.00917398339825047
exclude_total_interest,Exclude total interest payable,arimax_diff,d_tot_z_l1,-0.00531982438153279
exclude_total_interest,Exclude total interest payable,arimax_diff,covid_fy2020,0.0507962738296003
exclude_total_interest,Exclude total interest payable,arimax_diff,covid_fy2021,0.0233422650347695
exclude_total_interest,Exclude total interest payable,arimax_diff,covid_fy2022,-0.0169113973224437
exclude_total_interest,Exclude total interest payable,hybrid_structural_ols,(Intercept),0.225263248820362
exclude_total_interest,Exclude total interest payable,hybrid_structural_ols,age_0_14,0.161314475816622
exclude_total_interest,Exclude total interest payable,hybrid_structural_ols,age_65p,0.515993183318613
exclude_total_interest,Exclude total interest payable,hybrid_structural_ols,rp_z,0.00301018719877379
exclude_total_interest,Exclude total interest payable,hybrid_structural_ols,covid_fy2020,0.042969978235081
exclude_total_interest,Exclude total interest payable,hybrid_structural_ols,covid_fy2021,0.0654449259842982
exclude_total_interest,Exclude total interest payable,hybrid_structural_ols,covid_fy2022,0.024770579549009
exclude_total_interest,Exclude total interest payable,hybrid_macro,d_unemployment,0.00652877759604368
exclude_total_interest,Exclude total interest payable,hybrid_macro,d_unemployment_l1,-0.000751553139781969
exclude_total_interest,Exclude total interest payable,hybrid_macro,d_tot_z,-0.000368046029219897
exclude_total_interest,Exclude total interest payable,hybrid_macro,d_tot_z_l1,0.00249365556003327
exclude_total_interest,Exclude total interest payable,ardl_ecm,(Intercept),-0.167927097732986
exclude_total_interest,Exclude total interest payable,ardl_ecm,w_lag,-0.125780621371715
exclude_total_interest,Exclude total interest payable,ardl_ecm,log_real_gdp_per_capita_l1,-0.0123483041876273
exclude_total_interest,Exclude total interest payable,ardl_ecm,log_relative_gov_price_l1,0.133064352197295
exclude_total_interest,Exclude total interest payable,ardl_ecm,d_log_real_gdp_per_capita,-0.524714480102516
exclude_total_interest,Exclude total interest payable,ardl_ecm,d_log_relative_gov_price,1.04855350799328
exclude_total_interest,Exclude total interest payable,ardl_ecm,d_unemployment,0.0121655784055808
exclude_total_interest,Exclude total interest payable,ardl_ecm,d_tot_z,0.013865181110478
exclude_total_interest,Exclude total interest payable,ardl_ecm,covid_fy2020,0.125494136621496
exclude_total_interest,Exclude total interest payable,ardl_ecm,covid_fy2021,0.083359541961024
exclude_total_interest,Exclude total interest payable,ardl_ecm,covid_fy2022,-0.0200437605120011
