year,model,value,interest_treatment,interest_treatment_label,estimation_sample,model_label,path_type
2043,hybrid,0.352430368116287,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2044,hybrid,0.352830698036328,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2045,hybrid,0.35323102795637,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2046,hybrid,0.353631357876411,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2047,hybrid,0.354031687796452,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2048,hybrid,0.354432017716493,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2049,hybrid,0.354832347636534,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2050,hybrid,0.355232677556576,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2051,hybrid,0.355633007476617,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2052,hybrid,0.356033337396658,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2053,hybrid,0.356433667316699,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2054,hybrid,0.35683399723674,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2055,hybrid,0.357234327156781,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2056,hybrid,0.357634657076823,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2057,hybrid,0.358034986996864,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2058,hybrid,0.358435316916905,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2059,hybrid,0.358835646836946,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2060,hybrid,0.359235976756987,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2061,hybrid,0.359636306677029,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2062,hybrid,0.36003663659707,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2063,hybrid,0.360436966517111,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2064,hybrid,0.360837296437152,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2065,hybrid,0.361237626357194,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2066,hybrid,0.361637956277235,,,Current fit: through FY2024-25,Hybrid structural/macro,Common PBO anchor
2026,ardl_ecm,0.371,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2027,ardl_ecm,0.371,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2028,ardl_ecm,0.364,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2029,ardl_ecm,0.357,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2030,ardl_ecm,0.349,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2031,ardl_ecm,0.345999931714284,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2032,ardl_ecm,0.343476098489561,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2033,ardl_ecm,0.342357142333444,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2034,ardl_ecm,0.341309843354795,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2035,ardl_ecm,0.340324641594313,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2036,ardl_ecm,0.339391443723882,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2037,ardl_ecm,0.338271048803864,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2038,ardl_ecm,0.337228103168161,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2039,ardl_ecm,0.336250259596766,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2040,ardl_ecm,0.33532712116553,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2041,ardl_ecm,0.334449928214179,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2042,ardl_ecm,0.333611297267412,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2043,ardl_ecm,0.332805002811377,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2044,ardl_ecm,0.332025794548068,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2045,ardl_ecm,0.331269244112552,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2046,ardl_ecm,0.330531616324844,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2047,ardl_ecm,0.329809760921234,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2048,ardl_ecm,0.329101021415402,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2049,ardl_ecm,0.328403158312891,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2050,ardl_ecm,0.32771428437103,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2051,ardl_ecm,0.327032809980668,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2052,ardl_ecm,0.326357397062885,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2053,ardl_ecm,0.325686920135807,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2054,ardl_ecm,0.325020433423997,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2055,ardl_ecm,0.324357143063779,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2056,ardl_ecm,0.323696383608697,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2057,ardl_ecm,0.323037598165414,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2058,ardl_ecm,0.322380321595998,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2059,ardl_ecm,0.32172416631105,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2060,ardl_ecm,0.321068810252646,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2061,ardl_ecm,0.320413986728513,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2062,ardl_ecm,0.319759475811656,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2063,ardl_ecm,0.31910509706393,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2064,ardl_ecm,0.318450703379527,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2065,ardl_ecm,0.317796175775911,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2066,ardl_ecm,0.31714141898637,,,Current fit: through FY2024-25,ARDL error-correction model,Common PBO anchor
2026,structural_ols,0.371,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2027,structural_ols,0.371,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2028,structural_ols,0.364,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2029,structural_ols,0.357,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2030,structural_ols,0.349,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2031,structural_ols,0.346664972753119,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2032,structural_ols,0.344184593477443,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2033,structural_ols,0.3431371625673,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2034,structural_ols,0.34183765990528,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2035,structural_ols,0.34043668232587,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2036,structural_ols,0.338619530202573,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2037,structural_ols,0.337643371947684,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2038,structural_ols,0.336667213692796,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2039,structural_ols,0.335691055437906,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2040,structural_ols,0.334714897183017,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2041,structural_ols,0.333738738928128,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2042,structural_ols,0.332762580673238,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2043,structural_ols,0.331786422418349,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2044,structural_ols,0.33081026416346,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2045,structural_ols,0.329834105908571,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2046,structural_ols,0.328857947653681,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2047,structural_ols,0.327881789398793,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2048,structural_ols,0.326905631143904,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2049,structural_ols,0.325929472889014,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2050,structural_ols,0.324953314634125,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2051,structural_ols,0.323977156379236,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2052,structural_ols,0.323000998124347,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2053,structural_ols,0.322024839869458,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2054,structural_ols,0.321048681614568,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2055,structural_ols,0.32007252335968,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2056,structural_ols,0.31909636510479,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2057,structural_ols,0.318120206849901,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2058,structural_ols,0.317144048595012,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2059,structural_ols,0.316167890340122,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2060,structural_ols,0.315191732085234,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2061,structural_ols,0.314215573830344,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2062,structural_ols,0.313239415575455,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2063,structural_ols,0.312263257320566,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2064,structural_ols,0.311287099065677,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2065,structural_ols,0.310310940810787,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2066,structural_ols,0.309334782555899,,,Pre-COVID fit: through FY2018-19,Structural OLS (levels),Common PBO anchor
2026,arimax_level,0.371,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2027,arimax_level,0.371,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2028,arimax_level,0.364,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2029,arimax_level,0.357,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2030,arimax_level,0.349,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2031,arimax_level,0.346431491365384,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2032,arimax_level,0.343725500397054,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2033,arimax_level,0.342763167713465,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2034,arimax_level,0.341567905861819,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2035,arimax_level,0.340277526317756,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2036,arimax_level,0.338604183274625,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2037,arimax_level,0.337707211338323,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2038,arimax_level,0.336810239402022,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2039,arimax_level,0.33591326746572,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2040,arimax_level,0.335016295529418,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2041,arimax_level,0.334119323593117,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2042,arimax_level,0.333222351656814,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2043,arimax_level,0.332325379720512,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2044,arimax_level,0.331428407784211,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2045,arimax_level,0.330531435847909,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2046,arimax_level,0.329634463911607,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2047,arimax_level,0.328737491975306,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2048,arimax_level,0.327840520039004,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2049,arimax_level,0.326943548102702,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2050,arimax_level,0.3260465761664,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2051,arimax_level,0.325149604230098,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2052,arimax_level,0.324252632293797,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2053,arimax_level,0.323355660357495,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2054,arimax_level,0.322458688421193,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2055,arimax_level,0.321561716484892,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2056,arimax_level,0.320664744548589,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2057,arimax_level,0.319767772612288,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2058,arimax_level,0.318870800675986,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2059,arimax_level,0.317973828739684,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2060,arimax_level,0.317076856803383,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2061,arimax_level,0.316179884867081,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2062,arimax_level,0.315282912930779,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2063,arimax_level,0.314385940994477,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2064,arimax_level,0.313488969058175,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2065,arimax_level,0.312591997121873,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2066,arimax_level,0.311695025185572,,,Pre-COVID fit: through FY2018-19,ARIMAX (levels),Common PBO anchor
2026,hybrid,0.371,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2027,hybrid,0.371,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2028,hybrid,0.364,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2029,hybrid,0.357,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2030,hybrid,0.349,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2031,hybrid,0.346351029141296,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2032,hybrid,0.343623384926561,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2033,hybrid,0.343081902762691,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2034,hybrid,0.341744454647769,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2035,hybrid,0.340335929449376,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2036,hybrid,0.338502310843062,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2037,hybrid,0.337481126661008,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2038,hybrid,0.336459942478954,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2039,hybrid,0.3354387582969,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2040,hybrid,0.334417574114846,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2041,hybrid,0.333396389932793,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2042,hybrid,0.332375205750738,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2043,hybrid,0.331354021568683,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2044,hybrid,0.33033283738663,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2045,hybrid,0.329311653204576,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2046,hybrid,0.328290469022522,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2047,hybrid,0.327269284840468,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2048,hybrid,0.326248100658414,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2049,hybrid,0.32522691647636,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2050,hybrid,0.324205732294306,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2051,hybrid,0.323184548112251,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2052,hybrid,0.322163363930198,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2053,hybrid,0.321142179748144,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2054,hybrid,0.32012099556609,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2055,hybrid,0.319099811384036,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2056,hybrid,0.318078627201981,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2057,hybrid,0.317057443019928,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2058,hybrid,0.316036258837874,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2059,hybrid,0.31501507465582,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2060,hybrid,0.313993890473766,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2061,hybrid,0.312972706291712,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2062,hybrid,0.311951522109658,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2063,hybrid,0.310930337927604,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2064,hybrid,0.30990915374555,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2065,hybrid,0.308887969563495,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2066,hybrid,0.307866785381442,,,Pre-COVID fit: through FY2018-19,Hybrid structural/macro,Common PBO anchor
2026,ardl_ecm,0.371,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2027,ardl_ecm,0.371,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2028,ardl_ecm,0.364,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2029,ardl_ecm,0.357,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2030,ardl_ecm,0.349,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2031,ardl_ecm,0.348240908389624,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2032,ardl_ecm,0.34759978382292,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2033,ardl_ecm,0.348146177070501,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2034,ardl_ecm,0.348509409035218,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2035,ardl_ecm,0.348718144000778,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2036,ardl_ecm,0.348795131031012,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2037,ardl_ecm,0.348561186294834,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2038,ardl_ecm,0.348264404791144,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2039,ardl_ecm,0.347914087523323,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2040,ardl_ecm,0.347518123502095,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2041,ardl_ecm,0.347083201755935,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2042,ardl_ecm,0.346614992601883,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2043,ardl_ecm,0.346118302305982,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2044,ardl_ecm,0.345597204807276,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2045,ardl_ecm,0.345055153741764,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2046,ardl_ecm,0.344495077595182,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2047,ardl_ecm,0.343919460441976,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2048,ardl_ecm,0.343330410394534,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2049,ardl_ecm,0.342729717591039,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2050,ardl_ecm,0.342118903290799,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2051,ardl_ecm,0.341499261419331,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2052,ardl_ecm,0.340871893709175,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2053,ardl_ecm,0.340237739412943,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2054,ardl_ecm,0.339597600419364,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2055,ardl_ecm,0.338952162478236,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2056,ardl_ecm,0.338302013133394,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2057,ardl_ecm,0.337647656871741,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2058,ardl_ecm,0.336989527918795,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2059,ardl_ecm,0.33632800104524,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2060,ardl_ecm,0.335663400692969,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2061,ardl_ecm,0.334996008681522,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2062,ardl_ecm,0.334326070715584,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2063,ardl_ecm,0.33365380188002,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2064,ardl_ecm,0.332979391280044,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2065,ardl_ecm,0.332303005959676,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
2066,ardl_ecm,0.33162479421095,,,Pre-COVID fit: through FY2018-19,ARDL error-correction model,Common PBO anchor
