model,model_label,metric_scale,observations,first_fitted_year,last_fitted_year,r_squared,mae_pp,rmse_pp,residual_sd_pp,ljung_box_lag,ljung_box_fit_degrees,ljung_box_p_value,shapiro_wilk_p_value
structural_ols,Structural OLS (levels),Spending/GDP level,46,1980,2025,0.756281700464079,0.772936472356313,0.946717891167482,0.95717917991709,10,0,0.00111197479700631,0.0145713530378365
arimax_level,ARIMAX (levels),Spending/GDP level,46,1980,2025,0.834556151319992,0.61294448734667,0.780012975239678,0.788606333188756,10,1,0.350304952188972,0.933572066341482
arimax_diff,ARIMAX (differences),Spending/GDP level,45,1981,2025,0.809966181499069,0.630882601865152,0.830356046244169,0.838118596350971,10,0,0.682190647411072,0.381412011230222
hybrid,Hybrid demographics/macro,Spending/GDP level,45,1981,2025,0.754992831939026,0.67233257822059,0.942840653152428,0.953475647903667,10,1,0.665750320673728,0.000155026306252474
univariate_arima,Univariate ARIMA,Spending/GDP level,46,1980,2025,0.635549993486196,0.877882789422643,1.1576985678486,1.17015014547451,10,2,0.947210728055682,0.00122053455101217
