variant,component,term,estimate,standard_error,p_value
population_only,structural_ols,log_population,-0.852427032351671,0.24698400770001,0.000557799944925351
population_only,arimax_level,log_population,-0.75504059540173,0.287321577985207,0.00859241221787341
population_only,arimax_diff,log_population,-0.182271637408955,0.234337019412063,0.436676099387958
population_only,dynamic_diff,d_log_population,-0.127025100080036,0.262598655306015,0.628582222671375
population_only,hybrid_structural,log_population,-0.518385234045479,0.176142520334463,0.00325061552078664
population_only,ardl_ecm,log_population_l1,0.0433670002393628,0.160286598564211,0.786730144833976
population_only,ardl_ecm,d_log_population,0.689435769480726,0.738079196340489,0.350255112718216
population_only,univariate_arima,log_population,0.0210909768072793,0.000358354398713333,0
real_gdp_per_capita_only,structural_ols,log_real_gdp_per_capita,-0.324145114830966,0.0531113067884457,1.04012339619849e-09
real_gdp_per_capita_only,arimax_level,log_real_gdp_per_capita,-0.323226512302112,0.04773621982409,1.27810700472309e-11
real_gdp_per_capita_only,arimax_diff,log_real_gdp_per_capita,-0.240654742472367,0.0810191006563001,0.00297464734786126
real_gdp_per_capita_only,dynamic_diff,d_log_real_gdp_per_capita,-0.274532357269956,0.0882350888673896,0.00186218954466601
real_gdp_per_capita_only,hybrid_structural,log_real_gdp_per_capita,-0.319782695669774,0.0322378024936133,3.42487222093368e-23
real_gdp_per_capita_only,ardl_ecm,log_real_gdp_per_capita_l1,-0.00186651901721721,0.0713923098834504,0.979142052349236
real_gdp_per_capita_only,ardl_ecm,d_log_real_gdp_per_capita,-0.439835690020699,0.133687747254099,0.0010017938892122
real_gdp_per_capita_only,univariate_arima,log_real_gdp_per_capita,-0.0197661775415547,0.0206010113082302,0.337318965044952
population_and_real_gdp_per_capita,structural_ols,log_population,-0.44188607857174,0.207224426614214,0.0329736954770578
population_and_real_gdp_per_capita,structural_ols,log_real_gdp_per_capita,-0.27801438586027,0.0550980636856599,4.51602942361143e-07
population_and_real_gdp_per_capita,arimax_level,log_population,-0.0112513520817018,0.00496686702580928,0.023495409395579
population_and_real_gdp_per_capita,arimax_level,log_real_gdp_per_capita,-0.318261909723195,0.0487204533961663,6.47202861351105e-11
population_and_real_gdp_per_capita,arimax_diff,log_population,-0.191195511029527,0.213836124535968,0.371256800464389
population_and_real_gdp_per_capita,arimax_diff,log_real_gdp_per_capita,-0.241650812923575,0.0803166017298471,0.00262343824925186
population_and_real_gdp_per_capita,dynamic_diff,d_log_population,-0.0331966714257089,0.240276502364047,0.89011373746116
population_and_real_gdp_per_capita,dynamic_diff,d_log_real_gdp_per_capita,-0.272968941853772,0.0889387786406417,0.00214648665275378
population_and_real_gdp_per_capita,hybrid_structural,log_population,0.00166952934769403,0.121250814058138,0.98901409768113
population_and_real_gdp_per_capita,hybrid_structural,log_real_gdp_per_capita,-0.320048325686244,0.037941059059165,3.30048432154368e-17
population_and_real_gdp_per_capita,ardl_ecm,log_population_l1,0.034766904276927,0.142952805184271,0.807846229050953
population_and_real_gdp_per_capita,ardl_ecm,log_real_gdp_per_capita_l1,0.00707556841840448,0.0739857073049443,0.92381105381697
population_and_real_gdp_per_capita,ardl_ecm,d_log_population,0.418551841186814,0.667369925345874,0.530550315161321
population_and_real_gdp_per_capita,ardl_ecm,d_log_real_gdp_per_capita,-0.42306229387512,0.138592002003687,0.00226888043475207
population_and_real_gdp_per_capita,univariate_arima,log_population,0.316573061287759,0.0785738511673588,5.60176052441063e-05
population_and_real_gdp_per_capita,univariate_arima,log_real_gdp_per_capita,-0.259295197646565,0.0595261893823499,1.32469750930601e-05
