model,model_label,observations,first_fitted_year,last_fitted_year,r_squared,mae_pp,rmse_pp,residual_sd_pp,ljung_box_p_value
structural_ols,Structural OLS (levels),46,1980,2025,0.823426916420023,0.56741021164161,0.768900301258291,0.777396695111378,0.000825062772963792
arimax_level,ARIMAX (levels),46,1980,2025,0.908745796665652,0.430513511261,0.552756959609925,0.558850528087483,
arimax_diff,Differenced ARIMAX,44,1982,2025,0.892407369773775,0.435425533875894,0.589958041491215,0.596777826124167,
hybrid,Hybrid structural/macro,44,1982,2025,0.881118675289015,0.466720816157996,0.620135624808884,0.621433921667113,
ardl_ecm,ARDL error-correction model,45,1981,2025,0.915655920816391,0.377321129599279,0.523945326940737,1.55978302212213,0.290203248118695
