year,scenario,baseline_ratio,data_enhanced_ratio,difference_pp
2025,central,0.351,0.351,0
2025,pressure,0.351,0.351,0
2025,restraint,0.351,0.351,0
2026,central,0.359,0.359,5.55111512312578e-15
2026,pressure,0.359,0.359,5.55111512312578e-15
2026,restraint,0.359,0.359,0
2027,central,0.352,0.352,-5.55111512312578e-15
2027,pressure,0.352,0.352,5.55111512312578e-15
2027,restraint,0.352,0.352,5.55111512312578e-15
2028,central,0.347,0.347,5.55111512312578e-15
2028,pressure,0.347,0.347,5.55111512312578e-15
2028,restraint,0.347,0.347,0
2029,central,0.341,0.341,-5.55111512312578e-15
2029,pressure,0.341,0.341,-1.11022302462516e-14
2029,restraint,0.341,0.341,-1.11022302462516e-14
2030,central,0.334,0.334,-5.55111512312578e-15
2030,pressure,0.334,0.334,-5.55111512312578e-15
2030,restraint,0.334,0.334,-1.11022302462516e-14
2031,central,0.33593026492713,0.335969481302727,0.003921637559684
2031,pressure,0.338320419253013,0.338353706172101,0.00332869190879381
2031,restraint,0.334744077293697,0.334780961398244,0.00368841045472745
2032,central,0.337865695444542,0.337945620952351,0.00799255078087202
2032,pressure,0.342690756983508,0.342758247713725,0.00674907302165573
2032,restraint,0.335487064999582,0.335561676023489,0.00746110239065456
2033,central,0.339841405960947,0.339962392837269,0.0120986876322227
2033,pressure,0.347082550324178,0.347184077151515,0.0101526827336551
2033,restraint,0.336263507940211,0.336375558747099,0.0112050806888087
2034,central,0.341910173283548,0.342071261321432,0.0161088037883728
2034,pressure,0.35153863380707,0.351672726800803,0.0134092993732959
2034,restraint,0.337125188787583,0.337273101356409,0.0147912568826181
2035,central,0.343999981488532,0.344201074804398,0.0201093315866319
2035,pressure,0.355989330101586,0.356155420824601,0.0166090723015044
2035,restraint,0.338000316435037,0.338183407968491,0.018309153345436
2036,central,0.345634585057974,0.345872469491241,0.0237884433266999
2036,pressure,0.359541807656263,0.359736345290842,0.0194537634579439
2036,restraint,0.338674616611038,0.338888956371056,0.0214339760018056
2037,central,0.347107234004026,0.347382519031448,0.0275285027421746
2037,pressure,0.362543063725389,0.362766065881083,0.0223002155694318
2037,restraint,0.339180829067201,0.339426524194147,0.0245695126945722
2038,central,0.348588720867636,0.348899990090853,0.0311269223217447
2038,pressure,0.365543688078601,0.36579326873291,0.0249580654309467
2038,restraint,0.339688165773879,0.339963326270812,0.0275160496932936
2039,central,0.35007911802834,0.350424770368103,0.0345652339763136
2039,pressure,0.368543851980969,0.368817969931403,0.0274117950433694
2039,restraint,0.340196639519016,0.340499231989396,0.0302592470379615
2040,central,0.351578498392739,0.351956759296168,0.0378260903428462
2040,pressure,0.371543725958821,0.371840196485091,0.0296470526270076
2040,restraint,0.340706262986403,0.34103412408121,0.0327861094806758
2041,central,0.353086935395516,0.353498499652508,0.0411564256992403
2041,pressure,0.374543479809845,0.374862385806473,0.0318905996627761
2041,restraint,0.341217048754708,0.341570305004081,0.0353256249372935
2042,central,0.354604503000843,0.355050080908688,0.0445577907844497
2042,pressure,0.377543282613122,0.377884714010102,0.0341431396979619
2042,restraint,0.341729009296826,0.342107790874034,0.037878157720822
2043,central,0.356131275704162,0.356611593312309,0.0480317608146652
2043,pressure,0.380543302739089,0.380907357118438,0.0364054379349055
2043,restraint,0.3422421569795,0.342646597738179,0.0404440758678848
2044,central,0.357667328534296,0.358183127891864,0.0515799357567848
2044,pressure,0.383567896802966,0.383954704799717,0.0386807996750616
2044,restraint,0.342756504063207,0.343186741574466,0.0430237511258591
2045,central,0.359212737055878,0.359764776461922,0.0552039406044425
2045,pressure,0.386624109563621,0.38703382195601,0.040971239238935
2045,restraint,0.343272062702264,0.343728238291676,0.0456175589411634
2046,central,0.360767577372059,0.361356631628633,0.0589054256574184
2046,pressure,0.389712311911282,0.390145094055936,0.0432782144653809
2046,restraint,0.343788844945138,0.34427110372961,0.0482258784472001
2047,central,0.362331926127484,0.362958786795532,0.0626860668048457
2047,pressure,0.392832879250006,0.393288911652681,0.0456032402674556
2047,restraint,0.344306862734934,0.344815353659469,0.0508490924535199
2048,central,0.363905860511519,0.364571336169631,0.0665475658111536
2048,pressure,0.395986191551286,0.396465670451254,0.0479478899967634
2048,restraint,0.344826127910044,0.345361003784398,0.0534875874353746
2049,central,0.365489458261691,0.366194374767753,0.0704916506062137
2049,pressure,0.399172633408554,0.399675771376906,0.0503137968351497
2049,restraint,0.345346652204935,0.345908069740168,0.0561417535233311
2050,central,0.367082797667353,0.367827998423134,0.0745200755781439
2050,pressure,0.402392594092606,0.40291962064473,0.0527026552124277
2050,restraint,0.345868447251065,0.346456567096002,0.0588119844936785
2051,central,0.368685957573533,0.369472303792235,0.0786346218702383
2051,pressure,0.405646467607914,0.406197629830435,0.0551162222521107
2051,restraint,0.346391524577903,0.347006511355498,0.0614986777594528
2052,central,0.370299017384973,0.371127388361781,0.0828370976808157
2052,pressure,0.408934652749847,0.409510215942289,0.0575563192442063
2052,restraint,0.346915895614053,0.347557917957666,0.0642022343613435
2053,central,0.371922057070334,0.372793350456003,0.0871293385669048
2053,pressure,0.412257553162774,0.412857801494248,0.060024833147404
2053,restraint,0.347441571688454,0.348110802278053,0.0669230589599279
2054,central,0.373555157166553,0.374470289244068,0.0915132077514702
2054,pressure,0.415615577399059,0.416240814580254,0.0625237181195171
2054,restraint,0.347968564031659,0.348665179629931,0.0696615598271666
2055,central,0.375198398783354,0.376158304747698,0.095990596434431
2055,pressure,0.419009138978963,0.41965968894973,0.0650549970766912
2055,restraint,0.348496883777175,0.349221065265569,0.0724181488393594
2056,central,0.376851863607902,0.377857497848963,0.100563424106093
2056,pressure,0.422438656451415,0.423114864084256,0.0676207632840931
2056,restraint,0.349026541962859,0.349778474377557,0.0751932414697731
2057,central,0.378515633909565,0.379567970298228,0.105233638866248
2057,pressure,0.425904553455692,0.426606785275443,0.0702231819751431
2057,restraint,0.349557549532352,0.350337422100175,0.0779872567822859
2058,central,0.380189792544828,0.381289824722274,0.110003217744581
2058,pressure,0.429407258783993,0.430135903704021,0.0728644920027888
2058,restraint,0.350089917336565,0.350897923510814,0.0808006174249421
2059,central,0.381874422962288,0.383023164632557,0.114874167026935
2059,pressure,0.432947206444895,0.433702676520119,0.0755470075223863
2059,restraint,0.350623656135183,0.351459993631423,0.0836337496240292
2060,central,0.383569609207783,0.384768094433619,0.11984852258361
2060,pressure,0.436524835727733,0.437307566924787,0.0782731197054354
2060,restraint,0.351158776598206,0.352023647429991,0.0864870831784825
2061,central,0.385275435929611,0.386524719431631,0.12492835020203
2061,pressure,0.440140591267867,0.440951044252739,0.0810452984871979
2061,restraint,0.351695289307504,0.352588899822052,0.0893610514548227
2062,central,0.38699198838384,0.388293145843077,0.13011574592372
2062,pressure,0.443794923112868,0.444633584056333,0.0838660943464575
2062,restraint,0.352233204758387,0.353155765672212,0.0922560913824588
2063,central,0.38871935243972,0.390073480803561,0.135412836384075
2063,pressure,0.447488286789617,0.448355668190811,0.0867381401193745
2063,restraint,0.352772533361196,0.353724259795681,0.0951726434485212
2064,central,0.390457614585178,0.39186583237674,0.140821779156214
