term,estimate,adjustment
(Intercept),-0.262724727464575,-0.238145042714228
age_0_14,1.76163345195725,-0.238145042714228
age_65p,1.81978212882085,-0.238145042714228
rp_z,-0.00312482324504113,-0.238145042714228
unemployment,0.00305422614858295,-0.238145042714228
