outcome,factor,contribution_pp,model_total_change_pp,data_total_change_pp
finding,benefit,-1.766309533414132,-3.236815844009091,-3.5000000000000004
finding,common_shocks,-1.470506310594959,-3.236815844009091,-3.5000000000000004
finding,nz_differential,0.0,-3.236815844009091,-3.5000000000000004
separation,benefit,3.7391930031225638,4.361458667079727,4.419999999999999
separation,common_shocks,0.622265663957164,4.361458667079727,4.419999999999999
separation,nz_differential,0.0,4.361458667079727,4.419999999999999
