"","date","nz","new","stock_out","stock_in","prop","event_time"
"1",2020-01-16,1,2863,22942,22434,0.124792956150292,-63
"2",2020-01-23,1,1876,21050,24327,0.0891211401425178,-56
"3",2020-01-30,1,1561,20250,25127,0.0770864197530864,-49
"4",2020-02-06,1,2068,19831,25546,0.104281175936665,-42
"5",2020-02-13,1,1516,18963,26414,0.0799451563571165,-35
"6",2020-02-20,1,1561,18886,26490,0.0826538176426983,-28
"7",2020-02-27,1,1333,18507,26869,0.0720268006700168,-21
"8",2020-03-05,1,2155,18518,26858,0.116373258451237,-14
"9",2020-03-12,1,1387,17545,27829,0.0790538614990026,-7
"10",2020-03-19,1,1399,17633,27741,0.0793398740996994,0
"11",2020-03-26,1,1404,17476,27898,0.0803387502861067,7
"12",2020-04-02,1,1680,17731,27644,0.094749309119621,14
"13",2020-04-09,1,1117,18433,26942,0.0605978408289481,21
"14",2020-04-16,1,1258,20212,25162,0.0622402533148625,28
"15",2020-04-23,1,1293,20664,24710,0.0625725900116144,35
"16",2020-04-30,1,1389,20676,24698,0.0671793383633198,42
"17",2020-05-07,1,1642,20353,25021,0.0806760674102098,49
"18",2020-05-14,1,1335,20220,25153,0.0660237388724036,56
"19",2020-05-21,1,1175,19890,25483,0.0590749120160885,63
"20",2020-05-28,1,1331,19745,25627,0.0674094707520891,70
"21",2020-06-04,1,1968,19388,25984,0.101506086238911,77
"22",2020-06-11,1,1403,18294,27078,0.0766918115229037,84
"23",2020-06-18,1,1329,17981,27391,0.0739113508703632,91
"24",2020-06-25,1,2572,17544,27829,0.146602827177383,98
"25",2020-07-02,1,2412,16186,29188,0.149017669591005,105
"26",2020-07-09,1,1123,14960,30413,0.0750668449197861,112
"27",2020-07-16,1,1216,15442,29932,0.0787462763890688,119
"28",2020-01-16,0,3024,22201,23187,0.136210080626999,-63
"29",2020-01-23,0,1891,20240,25147,0.0934288537549407,-56
"30",2020-01-30,0,1625,19631,25756,0.0827772400794661,-49
"31",2020-02-06,0,2151,19158,26230,0.112276855621672,-42
"32",2020-02-13,0,1522,18350,27038,0.0829427792915531,-35
"33",2020-02-20,0,1508,18395,26993,0.0819787985865724,-28
"34",2020-02-27,0,1283,18059,27329,0.0710449083559444,-21
"35",2020-03-05,0,2132,18244,27144,0.116860337645253,-14
"36",2020-03-12,0,1377,17380,28008,0.079228998849252,-7
"37",2020-03-19,0,1295,17656,27732,0.0733461712732216,0
"38",2020-03-26,0,1408,17588,27799,0.0800545826700023,7
"39",2020-04-02,0,1995,18023,27365,0.110691893691394,14
"40",2020-04-09,0,1159,18345,27042,0.063177977650586,21
"41",2020-04-16,0,1245,20100,25288,0.0619402985074627,28
"42",2020-04-23,0,1275,20457,24930,0.0623258542308256,35
"43",2020-04-30,0,1389,20494,24893,0.0677759344198302,42
"44",2020-05-07,0,1733,20052,25335,0.086425294234989,49
"45",2020-05-14,0,1305,19930,25458,0.0654791771199197,56
"46",2020-05-21,0,1120,19505,25883,0.0574211740579339,63
"47",2020-05-28,0,1198,19314,26073,0.0620275447861655,70
"48",2020-06-04,0,2041,19034,26353,0.107229168855732,77
"49",2020-06-11,0,1258,17936,27451,0.0701382694023194,84
"50",2020-06-18,0,1328,17783,27604,0.0746780633189001,91
"51",2020-06-25,0,2804,17409,27978,0.161066115227756,98
"52",2020-07-02,0,2390,15673,29714,0.152491545970778,105
"53",2020-07-09,0,1110,14518,30869,0.07645681223309,112
"54",2020-07-16,0,1093,15139,30248,0.0721976352467138,119
