"","date","nz","left","stock_out","stock_in","prop","event_time"
"1",2020-04-02,1,2382,17731,27644,0.0861669801765302,-112
"2",2020-04-09,1,2896,18433,26942,0.107490164056121,-105
"3",2020-04-16,1,1710,20212,25162,0.067959621651697,-98
"4",2020-04-23,1,1306,20664,24710,0.052853095912586,-91
"5",2020-04-30,1,1066,20676,24698,0.0431613895862013,-84
"6",2020-05-07,1,1510,20353,25021,0.0603493065824707,-77
"7",2020-05-14,1,1005,20220,25153,0.0399554725082495,-70
"8",2020-05-21,1,1030,19890,25483,0.040419102931366,-63
"9",2020-05-28,1,974,19745,25627,0.0380067897139735,-56
"10",2020-06-04,1,874,19388,25984,0.0336360837438424,-49
"11",2020-06-11,1,1090,18294,27078,0.0402540808036044,-42
"12",2020-06-18,1,892,17981,27391,0.032565441203315,-35
"13",2020-06-25,1,1214,17544,27829,0.0436235581587553,-28
"14",2020-07-02,1,1186,16186,29188,0.0406331369055776,-21
"15",2020-07-09,1,1605,14960,30413,0.0527734850228521,-14
"16",2020-07-16,1,1217,15442,29932,0.0406588266737939,-7
"17",2020-07-23,1,994,15443,29931,0.0332097156793959,0
"18",2020-07-30,1,1079,15238,30135,0.0358055417288867,7
"19",2020-08-06,1,1057,15203,30170,0.0350348027842227,14
"20",2020-08-13,1,1277,14548,30825,0.0414274128142741,21
"21",2020-08-20,1,977,14731,30642,0.0318843417531493,28
"22",2020-08-27,1,1042,14423,30951,0.0336661174113922,35
"23",2020-09-03,1,877,14351,31022,0.0282702598156147,42
"24",2020-09-10,1,1356,13825,31547,0.0429834849589501,49
"25",2020-09-17,1,932,14071,31300,0.029776357827476,56
"26",2020-09-24,1,1040,13747,31624,0.0328864153807235,63
"27",2020-10-01,1,1059,13614,31758,0.0333459285849235,70
"28",2020-10-08,1,1696,13169,32204,0.0526642653086573,77
"29",2020-10-15,1,1158,13680,31693,0.0365380367904585,84
"30",2020-10-22,1,1086,13497,31876,0.0340695193876271,91
"31",2020-10-29,1,1037,13279,32094,0.0323113354521094,98
"32",2020-11-05,1,1431,13092,32281,0.0443294817384839,105
"33",2020-11-12,1,1091,12958,32415,0.033657257442542,112
"34",2020-11-19,1,1034,12571,32802,0.0315224681421865,119
"35",2020-11-26,1,1133,12399,32974,0.0343604051677079,126
"36",2020-04-02,0,2317,18023,27365,0.0846701991595103,-112
"37",2020-04-09,0,2913,18345,27042,0.107721322387397,-105
"38",2020-04-16,0,1602,20100,25288,0.0633502056311294,-98
"39",2020-04-23,0,1312,20457,24930,0.0526273565984757,-91
"40",2020-04-30,0,947,20494,24893,0.038042823283654,-84
"41",2020-05-07,0,1610,20052,25335,0.0635484507598184,-77
"42",2020-05-14,0,880,19930,25458,0.0345667373713567,-70
"43",2020-05-21,0,929,19505,25883,0.035892284511069,-63
"44",2020-05-28,0,918,19314,26073,0.0352088367276493,-56
"45",2020-06-04,0,943,19034,26353,0.0357834022691914,-49
"46",2020-06-11,0,1105,17936,27451,0.0402535426760409,-42
"47",2020-06-18,0,954,17783,27604,0.0345602086654108,-35
"48",2020-06-25,0,1068,17409,27978,0.0381728500965044,-28
"49",2020-07-02,0,1235,15673,29714,0.0415628996432658,-21
"50",2020-07-09,0,1731,14518,30869,0.0560756746250283,-14
"51",2020-07-16,0,1290,15139,30248,0.0426474477651415,-7
"52",2020-07-23,0,986,15336,30051,0.0328108881568001,0
"53",2020-07-30,0,1058,15140,30247,0.034978675571131,7
"54",2020-08-06,0,1040,15056,30331,0.0342883518512413,14
"55",2020-08-13,0,1328,14563,30824,0.0430833117051648,21
"56",2020-08-20,0,931,14907,30480,0.0305446194225722,28
"57",2020-08-27,0,1092,14685,30702,0.0355677154582763,35
"58",2020-09-03,0,851,14744,30643,0.0277714323010149,42
"59",2020-09-10,0,1396,14214,31173,0.0447823436948641,49
"60",2020-09-17,0,862,14573,30814,0.0279742973972869,56
"61",2020-09-24,0,1155,14281,31105,0.0371322938434335,63
"62",2020-10-01,0,1091,14361,31025,0.0351651893634166,70
"63",2020-10-08,0,1925,13952,31434,0.0612394222816059,77
"64",2020-10-15,0,1095,14715,30671,0.0357014769652114,84
"65",2020-10-22,0,1169,14382,31004,0.0377048122822862,91
"66",2020-10-29,0,979,14453,30933,0.031649047942327,98
"67",2020-11-05,0,1318,14252,31135,0.0423317809539104,105
"68",2020-11-12,0,1164,14071,31316,0.0371694980201814,112
"69",2020-11-19,0,1063,13911,31476,0.0337717626127843,119
"70",2020-11-26,0,1160,13785,31602,0.0367065375609139,126
