term,estimate
ar1,1.28216668398774
ar2,-0.696848053057818
ma1,-1.98882785990862
ma2,0.999972062825982
intercept,-0.00534433341180568
d_0_14,-1.69033095758058
d_15_34,0.226897895624655
d_55_64,0.311460341135892
d_65p,1.18154527255669
d_tot,0.00553399543416431
d_rp_g,0.0141635777542585
d_unemp,0.00572944052486009
