horizon,n,mean_error,mean_abs_error,rmse,min_error,max_error
1,15,-0.000498695926136517,0.0119832366672282,0.0167053192774508,-0.0451789026812217,0.0279397399480899
2,14,-0.00108473587599073,0.0216004958991219,0.0298364801231031,-0.0687239361442026,0.0512503454958282
3,13,-0.00186789851872402,0.0279619282522052,0.0353888776234391,-0.078910551511282,0.0470124759472741
4,12,-0.00584245481749907,0.0299690825654279,0.0365031002758691,-0.0760831789000369,0.0431314842998478
5,11,-0.0132470850993964,0.0317437573429978,0.0375558989000401,-0.0705227418070125,0.0343020455400991
