year,0_14,15_34,35_54,55_64,65p,rp_g,dln_pop,pop_total,tot_index,unemp,tot_growth_fore,base_0_14,base_15-34,base_35_54,base_55_64,base_65p,...18,...19,...20,...21,tot
2036,0.157504622854225,0.267116663426965,0.264038183289656,0.106189205541666,0.205151294887487,-0.1,0.0120448138531752,31476868.5087475,81.4692786940933,4.5,-0.01,0.160280641321922,0.258173591370608,0.264496368300063,0.108556231713653,0.208493167293754,0.362655917741713,0.370227388831323,1.03892889637303,0.985064784321022,0.718961634266854
2037,0.156498093482594,0.266819383105726,0.263149823488533,0.10607867600872,0.207453993914427,-0.1,0.0120448138531752,31856001.5306162,80.6545859071523,4.5,-0.01,0.159274111950291,0.257876311049369,0.26360800849894,0.108445702180707,0.210795866320694,0.363952087397021,0.369228499497253,1.04264213540657,0.982407037390056,0.677010344917077
2038,0.155872186423084,0.266128899196032,0.262045605659074,0.106785919788582,0.209167358933228,-0.1,0.0120448138531752,32239701.139159,79.8480400480808,4.5,-0.01,0.158648204890781,0.257185827139675,0.262503790669481,0.109152945960569,0.212509231339494,0.365039545356312,0.368831525447656,1.04575746164896,0.981350807709746,0.635478568460799
2039,0.155319173714773,0.265140654585855,0.261268908011117,0.107817408763509,0.210453824924746,-0.1,0.0120448138531752,32628022.3380621,79.8480400480808,4.5,0,0.15809519218247,0.256197582529498,0.261727093021524,0.110184434935496,0.213795697331012,0.365772998639518,0.369086316774626,1.04785864288656,0.982028731523922,0.635478568460799
2040,0.154864540753304,0.263897953899601,0.260664617393782,0.109170262078598,0.211402595874715,-0.1,0.0120448138531752,33021020.7935213,79.8480400480808,4.5,0,0.157640559221001,0.254954881843244,0.261122802404189,0.111537288250585,0.214744468280981,0.366267136628019,0.36983487947238,1.04927423879974,0.984020433852432,0.635478568460799
2041,0.154507542560031,0.262367878404828,0.260300332170765,0.110725724759937,0.212098492104439,-0.1,0.0120448138531752,33418752.8422211,79.8480400480808,4.5,0,0.157283561027728,0.253424806348471,0.260758517181172,0.113092750931923,0.215440364510706,0.36660603466447,0.371026056930702,1.05024510662726,0.987189802195963,0.635478568460799
2042,0.154242257369816,0.260518797761155,0.260313189600135,0.112290679996466,0.212635045272428,-0.1,0.0120448138531752,33821275.4994109,79.8480400480808,4.5,0,0.157018275837513,0.251575725704798,0.260771374610542,0.114657706168453,0.215976917678694,0.366877302642244,0.372603869596601,1.05102222931293,0.991387891641315,0.635478568460799
2043,0.154043778727255,0.258638618778378,0.260346552051683,0.113863749729664,0.21310727071302,-0.1,0.0120448138531752,34228646.4670783,79.8480400480808,4.5,0,0.156819797194952,0.249695546722021,0.26080473706209,0.11623077590165,0.216449143119287,0.367151049440275,0.374210301781347,1.05180645326972,0.995662129100051,0.635478568460799
2044,0.153885384792581,0.256854424035105,0.26021982717678,0.115322810562597,0.213717523432937,-0.1,0.0120448138531752,34640924.1422204,79.8480400480808,4.5,0,0.156661403260278,0.247911351978748,0.260678012187186,0.117689836734584,0.217059395839204,0.367602908225518,0.375542637739377,1.05310092862805,0.999207078157663,0.635478568460799
2045,0.153752797629858,0.255066032228457,0.259973699891598,0.116769441731552,0.214437998518535,-0.1,0.0120448138531752,35058167.6252154,79.8480400480808,4.5,0,0.156528816097555,0.2461229601721,0.260431884902005,0.119136467903538,0.217779870924801,0.368190796148393,0.37674314162315,1.05478509734286,1.00240126134081,0.635478568460799
2046,0.153631037713486,0.253468791914973,0.259598291002681,0.117753227312469,0.215548622056391,-0.1,0.0120448138531752,35480436.7282946,79.8480400480808,4.5,0,0.156407056181183,0.244525719858616,0.260056476013088,0.120120253484456,0.218890494462658,0.369179659769877,0.37735151831515,1.05761797264055,1.00401997047193,0.635478568460799
2047,0.153506575556476,0.251883765509662,0.259462633903693,0.118296314762619,0.21685068026755,-0.1,0.0120448138531752,35907791.9841162,79.8480400480808,4.5,0,0.156282594024173,0.242940693453305,0.2599208189141,0.120663340934605,0.220192552673816,0.370357255824026,0.377758948666312,1.06099152456418,1.00510402125558,0.635478568460799
2048,0.153365359808361,0.250358601991529,0.259361847287912,0.118491596801598,0.218422564110601,-0.1,0.0120448138531752,36340294.6544434,79.8480400480808,4.5,0,0.156141378276058,0.241415529935172,0.259820032298318,0.120858622973585,0.221764436516867,0.371787923918962,0.37785344408951,1.06509007184338,1.00535544542484,0.635478568460799
2049,0.153192892539402,0.248989120247026,0.259196177099592,0.118650734419612,0.219971045694368,-0.1,0.0120448138531752,36778006.7389257,79.8480400480808,4.5,0,0.155968911007098,0.240046048190669,0.259654362109999,0.121017760591599,0.223312918100635,0.373163938233769,0.377846911519205,1.06903204814527,1.00533806420142,0.635478568460799
2050,0.152976607657477,0.247779062884545,0.258943533136642,0.118730486729708,0.221570279591628,-0.1,0.0120448138531752,37220990.9839869,79.8480400480808,4.5,0,0.155752626125174,0.238835990828188,0.259401718147049,0.121097512901695,0.224912151997895,0.374546887249105,0.37767401986635,1.07299389082852,1.00487805102069,0.635478568460799
2051,0.152706531500775,0.246556651258786,0.259057117768199,0.118492280418491,0.223187389053749,-0.1,0.0120448138531752,37669310.8918198,79.8480400480808,4.5,0,0.155482549968472,0.237613579202429,0.259515302778606,0.120859306590478,0.226529261460016,0.375893920554524,0.37754939818669,1.07685284295617,1.00454646985814,0.635478568460799
2052,0.15237733207988,0.245636916681415,0.259192142776709,0.118063804561942,0.224729773900055,-0.1,0.0120448138531752,38123030.7294891,79.8480400480808,4.5,0,0.155153350547577,0.236693844625058,0.259650327787115,0.120430830733928,0.228071646306322,0.377107105979935,0.37725594733865,1.08032835054741,1.00376568457576,0.635478568460799
2053,0.151986895125462,0.244939836745566,0.259388695645811,0.117409515115285,0.226275027367876,-0.1,0.0120448138531752,38582215.5381447,79.8480400480808,4.5,0,0.154762913593159,0.235996764689208,0.259846880656218,0.119776541287271,0.229616899774143,0.378261922493338,0.376798210761096,1.08363664413119,1.0025477839108,0.635478568460799
2054,0.151537086642287,0.244342458262789,0.259507552716445,0.11672495934434,0.227887913034139,-0.1,0.0120448138531752,39046931.1423447,79.8480400480808,4.5,0,0.154313105109984,0.235399386206432,0.259965737726852,0.119091985516327,0.231229785440405,0.379424999676426,0.376232512060785,1.08696860270433,1.00104262820103,0.635478568460799
2055,0.151033043410922,0.243968134121547,0.259205910575816,0.116162632687413,0.229630249204302,-0.1,0.0120448138531752,39517244.159492,79.8480400480808,4.5,0,0.153809061878619,0.23502506206519,0.259664095586222,0.1185296588594,0.232972121610569,0.380663292615225,0.375368543263229,1.09051603776152,0.99874386462249,0.635478568460799
2056,0.15048344161758,0.243564115982748,0.259046278860712,0.115561332481018,0.231344801057942,-0.1,0.0120448138531752,39993222.0093836,79.8480400480808,4.5,0,0.153259460085277,0.234621043926391,0.259504463871119,0.117928358653005,0.234686673464209,0.381828242675522,0.37460761134173,1.09385336171314,0.996719251474608,0.635478568460799
2057,0.149899289317267,0.243031680102804,0.259328649722718,0.114872443836986,0.232867907020226,-0.1,0.0120448138531752,40474932.9238753,79.8480400480808,4.5,0,0.152675307784963,0.234088608046447,0.259786834733125,0.117239470008972,0.236209779426492,0.382767196337492,0.374201093559704,1.09654325602908,0.995637628765552,0.635478568460799
2058,0.149292928874707,0.242787576279085,0.259256440797508,0.114315234355042,0.234347789693658,-0.1,0.0120448138531752,40962445.9566632,79.8480400480808,4.5,0,0.152068947342404,0.233844504222728,0.259714625807915,0.116682260527029,0.237689662099924,0.383640718568365,0.373571675152551,1.09904570378432,0.993962933899115,0.635478568460799
2059,0.14867689359583,0.242559330521595,0.258913284981335,0.114053175159881,0.235797285741359,-0.1,0.0120448138531752,41455830.9931819,79.8480400480808,4.5,0,0.151452912063527,0.233616258465238,0.259371469991742,0.116420201331868,0.239139158147625,0.384474179337189,0.372966460141217,1.10143338432216,0.992352637058329,0.635478568460799
2060,0.148063075852856,0.242363203397504,0.258332133255939,0.114000243976487,0.237241313517214,-0.1,0.0120448138531752,41955158.7606235,79.8480400480808,4.5,0,0.150839094320553,0.233420131341147,0.258790318266346,0.116367270148474,0.24058318592348,0.385304389370069,0.372332377232426,1.10381175222138,0.990665531342675,0.635478568460799
2061,0.147463269901452,0.242196273669402,0.25748269674976,0.11442834360176,0.238429386077627,-0.1,0.0120448138531752,42460500.8380756,79.8480400480808,4.5,0,0.150239288369148,0.233253201613045,0.257940881760166,0.116795369773746,0.241771258483894,0.385892655979079,0.371911040351519,1.10549700578811,0.989544479426372,0.635478568460799
2062,0.146887494616577,0.242055623130669,0.256335804015919,0.115332485031549,0.239388563205286,-0.1,0.0120448138531752,42971929.6667828,79.8480400480808,4.5,0,0.149663513084274,0.233112551074312,0.256793989026325,0.117699511203536,0.242730435611553,0.386276057821863,0.371668289047468,1.10659536716567,0.988898590526246,0.635478568460799
2063,0.146343897711459,0.241924210455045,0.255135260321914,0.116446121391182,0.240150480120401,-0.1,0.0120448138531752,43489518.560531,79.8480400480808,4.5,0,0.149119916179156,0.232981138398688,0.255593445332321,0.118813147563168,0.243492352526667,0.386494377831859,0.371581381713095,1.10722080564867,0.988667356000729,0.635478568460799
2064,0.145839337682519,0.241784279425367,0.253991089725361,0.117439501368522,0.240945761798231,-0.1,0.0120448138531752,44013341.7161568,79.8480400480808,4.5,0,0.148615356150216,0.23284120736901,0.254449274735768,0.119806527540509,0.244287634204498,0.386785099480751,0.371430591093883,1.10805365879419,0.988266147086225,0.635478568460799
2065,0.145378751772894,0.241630434625435,0.252816654762447,0.118210151512844,0.241963977326379,-0.1,0.0120448138531752,44543474.2241841,79.8480400480808,4.5,0,0.148154770240591,0.232687362569078,0.253274839772854,0.120577177684831,0.245305849732646,0.387342729099274,0.371026806275291,1.10965114416756,0.987191795978671,0.635478568460799
2066,0.144965408057301,0.241457603136193,0.251780802900056,0.118884662893426,0.242911493013025,-0.1,0.0120448138531752,45079992.0795881,79.8480400480808,4.5,0,0.147741426524998,0.232514531079836,0.252238987910463,0.121251689065412,0.246253365419291,0.387876901070325,0.370665465793481,1.11118142857547,0.986230376606366,0.635478568460799
2067,0.144600770875443,0.24126065235571,0.250730895280089,0.119815091747081,0.243592559741677,-0.1,0.0120448138531752,45622972.1926893,79.8480400480808,4.5,0,0.147376789343139,0.232317580299353,0.251189080290496,0.122182117919068,0.246934432147944,0.38819333061712,0.37054598702717,1.11208792915563,0.985912479204073,0.635478568460799
2068,0.144284851517086,0.241035143313823,0.249709382988395,0.120633709123692,0.244336883057004,-0.1,0.0120448138531752,46172492.4001789,79.8480400480808,4.5,0,0.147060869984783,0.232092071257466,0.250167567998801,0.123000735295678,0.247678755463271,0.38862173457409,0.370343092112086,1.11331521162489,0.985372636281058,0.635478568460799
2069,0.144016103827532,0.240774839401173,0.24880071632683,0.121106809311194,0.245301501133272,-0.1,0.0120448138531752,46728631.4762762,79.8480400480808,4.5,0,0.146792122295229,0.231831767344815,0.249258901337236,0.123473835483181,0.248643373539538,0.389317604960804,0.369907525638024,1.11530872618654,0.984213723656618,0.635478568460799
2070,0.143793021481696,0.240474620518851,0.248010777255459,0.121294411075561,0.246427139668434,-0.1,0.0120448138531752,47291469.1440215,79.8480400480808,4.5,0,0.146569039949393,0.231531548462494,0.248468962265866,0.123661437247547,0.2497690120747,0.39022016115013,0.36930518833102,1.11789434980335,0.982611083529735,0.635478568460799
2071,0.14361252602325,0.240131005621664,0.247193877076718,0.121330461209004,0.247732100069363,-0.1,0.0120448138531752,47861086.0867044,79.8480400480808,4.5,0,0.146388544490947,0.231187933565307,0.247652062087125,0.123697487380991,0.25107397247563,0.391344626092613,0.368524338285722,1.12111569285762,0.980533474188389,0.635478568460799
