year,0_14,15_34,35_54,55_64,65p,rp_g,dln_pop,pop_total,tot_index,unemp,tot_growth_fore,base_0_14,base_15-34,base_35_54,base_55_64,base_65p,...18,...19,...20,...21,tot
2026,0.172328862965898,0.273798919515459,0.262271550391894,0.112277159527599,0.17932347759915,-0.1,0.0149907952218016,27805684,88.91255,4.5,-0.014,0.175104881433595,0.264855847459102,0.262729735402301,0.114644185699586,0.182665350005416,0.351652340565047,0.374548709919493,1.00740608443742,0.996562532337823,1.10224086941936
2027,0.170334109813142,0.273289944557119,0.26165196575183,0.112027436681121,0.182696513196788,-0.1,0.0142204737707585,28201094,88.91255,4.5,0,0.173110128280839,0.264346872500762,0.262110150762236,0.114394462853108,0.186038385603055,0.353030623009931,0.373679402432951,1.01135455842971,0.994249564098377,1.10224086941936
2028,0.168344287164607,0.272760371720277,0.261612201500033,0.111296004640638,0.185987104974446,-0.1,0.0134809663766944,28581272,88.29016215,4.5,-0.007,0.171120305632304,0.26381729966392,0.262070386510439,0.113663030812624,0.189328977380713,0.354331392139053,0.37290820614067,1.0150809739372,0.992197640517784,1.07019201222845
2029,0.166494393377789,0.272070951157522,0.261978448983479,0.11047610340474,0.18898007307647,-0.1,0.012772174730362,28946317,87.4072605285,4.5,-0.01,0.169270411845486,0.263127879101165,0.262436633993886,0.112843129576726,0.192321945482736,0.355474466454259,0.372454552388219,1.01835562872338,0.990990603034076,1.02472841909905
2030,0.164790085884006,0.271177988152875,0.262688423434661,0.109815884409591,0.191527588118868,-0.1,0.0120448138531752,29294970,86.533187923215,4.5,-0.01,0.167566104351703,0.262234916096518,0.263146608445068,0.112182910581578,0.194869460525135,0.356317674002874,0.372504307844252,1.02077123162695,0.991122987479539,0.979719461900954
2031,0.1630242252938,0.270643493962679,0.263306625613385,0.109232955750605,0.193792669379531,-0.1,0.0120448138531752,29647822.4604844,85.6678560439829,4.5,-0.01,0.165800243761497,0.261700421906322,0.263764810623792,0.111599981922592,0.197134541785798,0.356816894673331,0.37253958136399,1.02220138829842,0.99121683980695,0.935160594274837
2032,0.161578648734456,0.270050663094456,0.263783775661763,0.10865974270589,0.195927139803435,-0.1,0.0120448138531752,30004924.9631729,84.811177483543,4.5,-0.01,0.164354667202153,0.261107591038099,0.26424196067217,0.111026768877876,0.199269012209702,0.357505788537891,0.372443518367653,1.02417491666901,0.990961244792582,0.891047315324981
2033,0.160365102749558,0.269560511467032,0.264023200298679,0.108010397363008,0.198040758121722,-0.1,0.0120448138531752,30366328.6990328,83.9630657087076,4.5,-0.01,0.163141121217255,0.260617439410675,0.264481385309086,0.110377423534995,0.201382630527989,0.35840586087128,0.372033597661688,1.0267534245886,0.989870567916716,0.847375169164623
2034,0.159248271535966,0.269000738613713,0.26411527074302,0.107310684929411,0.20032500417789,-0.1,0.0120448138531752,30732085.475617,83.1234350516205,4.5,-0.01,0.162024290003663,0.260057666557356,0.264573455753427,0.109677711101398,0.203666876584157,0.359573275713856,0.371425955672431,1.03009780959563,0.988253813610718,0.804139744465869
2035,0.158388930355021,0.267962607377422,0.264353271753988,0.106787663703192,0.202507496810378,-0.1,0.0120448138531752,31102247.7244906,82.2922007011043,4.5,-0.01,0.161164948822718,0.259019535321065,0.264811456764394,0.109154689875178,0.205849369216645,0.360896427165399,0.371140935457179,1.03388834550043,0.987495459730551,0.761336674014103
