year,previous_year,lag_gov_gdp,d_gov_gdp,demographic_level,d_demographic_level,macro_residual_change,d_tot,d_rp_g,d_unemp
1981,1980,0.333103269138001,0.00875127226865269,0.357522962571878,0.00229378871136288,0.00645748355728981,-0.0397621130658239,0.499055065281615,-0.315859933333332
1982,1981,0.341854541406654,8.89688642057296e-05,0.356941445563703,-0.000581517008174659,0.000670485872380389,-0.0452465424542139,0.375428431041107,0.294852741666666
1983,1982,0.34194351027086,0.0272267788596436,0.356065876562491,-0.00087556900121244,0.028102347860856,-0.0287932542890448,0.0300826095303345,2.80017493333333
1984,1983,0.369170289130503,0.00504951203559018,0.356291391260747,0.000225514698255491,0.00482399733733469,0.0479887571484085,-0.391582872779263,0.700855508333333
1985,1984,0.374219801166094,0.010665404268039,0.35763428104808,0.00134288978733299,0.00932251448070598,-0.0274221469419474,0.335970641896168,-1.03039639166667
1986,1985,0.384885205434133,0.00187221557054551,0.361338716135906,0.00370443508782664,-0.00183221951728113,-0.278334791460767,0.143690830590208,-0.674273883333333
1987,1986,0.386757421004678,0.000355450420652992,0.365191374256695,0.00385265812078872,-0.00349720770013573,-0.132997412668445,-0.259560095702619,0.314651875000001
1988,1987,0.387112871425331,-0.0257238697395299,0.367352327875497,0.00216095361880198,-0.0278848233583319,0.207037209411703,-0.721767039445902,-0.486675700000001
1989,1988,0.361389001685801,-0.0154130309199235,0.368879436490119,0.00152710861462185,-0.0169401395345454,0.386652271881459,-0.681448851259184,-1.15642115
1990,1989,0.345975970765878,-0.00329474926253431,0.369204528647031,0.000325092156912121,-0.00361984141944643,0.0191955028593637,0.156631812062174,-0.470094558333333
1991,1990,0.342681221503343,0.0146270006221823,0.368690950646099,-0.000513578000931603,0.0151405786231139,-0.159048452263296,0.360969027324321,2.22898525
1992,1991,0.357308222125526,0.0159480388262759,0.367436221662862,-0.0012547289832377,0.0172027678095136,-0.0959775142968161,0.616216057270029,1.9087824
1993,1992,0.373256260951802,-0.00109470509553655,0.365632429080645,-0.00180379258221608,0.000709087486679527,-0.112430802461985,0.173235666686629,0.655781775000001
1994,1993,0.372161555856265,-0.00170269452089344,0.363616918742585,-0.0020155103380608,0.000312815817167356,-0.0754109040903551,-0.0611548684747546,-0.405795333333334
1995,1994,0.370458861335371,0.000150545634050536,0.361146879965169,-0.00247003877741586,0.0026205844114664,0.0918641922555239,-0.341483012014534,-1.60929195833333
1996,1995,0.370609406969422,-0.00534941549930112,0.359010393171491,-0.00213648679367778,-0.00321292870562334,0.0808953334787447,-0.122053774016829,-0.522012008333334
1997,1996,0.365259991470121,-0.00910621302015563,0.355617351868844,-0.0033930413026465,-0.00571317171750913,0.0822664408258423,0.0588691029036026,0.191961641666667
1998,1997,0.356153778449965,-0.0138579991032749,0.352187365903743,-0.00342998596510186,-0.010428013138173,-0.0178243955122656,0.0637400913727039,-0.605046550000001
1999,1998,0.34229577934669,0.00311375980245127,0.348806059027351,-0.00338130687639204,0.00649506667884331,-0.137110734709737,0.680871042391668,-0.698609791666665
2000,1999,0.345409539149142,-0.000651808665506293,0.346147704482921,-0.00265835454442964,0.00200654587892335,0.102833051032303,-0.0680059905896351,-0.667596300000001
2001,2000,0.344757730483635,0.00591091945679595,0.344536417113,-0.00161128736992061,0.00752220682671656,0.054844293883895,-0.00757381905779053,-0.265692541666668
2002,2001,0.350668649940431,-0.00533351457699843,0.34264431973324,-0.00189209737976037,-0.00344141719723806,0.0397621130658234,-0.0571561100810112,0.370049350000002
2003,2002,0.345335135363433,-0.00644141687655969,0.341253863347736,-0.00139045638550417,-0.00505096049105552,0.0425043277600184,0.123319142747345,-0.583348775000001
2004,2003,0.338893718486873,-0.00112941482459006,0.339871674663494,-0.00138218868424167,0.000252773859651612,0.211150531452996,-0.209642768997968,-0.489039683333334
2005,2004,0.337764303662283,-0.000880222470889036,0.338789931509061,-0.00108174315443321,0.000201520683544176,0.311241367791104,0.159776201036826,-0.456948566666665
2006,2005,0.336884081191394,-0.00294853704568165,0.337522141330577,-0.00126779017848355,-0.0016807468671981,0.367456769022096,-0.205955944411601,-0.223158716666667
2007,2006,0.333935544145712,-0.00430251939528176,0.337554762525841,3.26211952640376e-05,-0.00433514059054579,0.278334791460767,-0.0121731138140721,-0.449996058333333
2008,2007,0.329633024750431,-0.000409860179871102,0.338507387561671,0.000952625035829546,-0.00136248521570065,0.230346034312359,0.00758268360329857,-0.278839433333334
2009,2008,0.32922316457056,0.0212697350827197,0.341236874708491,0.00272948714681959,0.0185402479359001,0.312612475138201,-0.10270331709133,0.677284641666667
2010,2009,0.350492899653279,0.0058730842821258,0.34278558628239,0.00154871157389913,0.00432437270822667,-0.175501740428464,0.682273704324144,0.549694549999999
2011,2010,0.356365983935405,-0.00920829364934706,0.343934995498721,0.00114940921633117,-0.0103577028656782,0.930981888679116,-0.393667378718157,-0.428769416666666
2012,2011,0.347157690286058,0.00271886211568578,0.347265071971881,0.00333007647316019,-0.00061121435747441,0.0109688587767791,0.390371516790333,0.128720133333334
2013,2012,0.349876552401744,-0.00544513236042549,0.349736805078824,0.00247173310694254,-0.00791686546736803,-0.503196396384736,0.39915294965943,0.272148516666666
2014,2013,0.344431420041318,0.00170215423772691,0.351645038338035,0.00190823325921097,-0.000206079021484062,-0.179615062469756,0.125894517365667,0.411408183333333
2015,2014,0.346133574279045,0.00275945879193684,0.353455454629063,0.00181041629102852,0.000949042500908326,-0.499083074343443,0.580424075732259,0.311404283333334
2016,2015,0.348893033070982,0.00576561251912827,0.354839047557136,0.00138359292807311,0.00438201959105516,-0.422301062905992,0.536186760132737,-0.286387675000001
2017,2016,0.35465864559011,-0.00459991623041911,0.355895321445959,0.00105627388882329,-0.0056561901192424,0.540216294756365,-0.699359408406868,-0.176179208333332
2018,2017,0.350058729359691,-8.7801249742725e-05,0.356932765632924,0.00103744418696466,-0.00112524543670739,0.0863797628671347,-0.0913584588817984,-0.1952608
2019,2018,0.349970928109949,-0.00102253965321941,0.357821094866795,0.000888329233870666,-0.00191086888709008,0.253654859213014,-0.249422245139974,-0.378596683333335
2023,2022,0.378872610307868,-0.0209559340979784,0.36672268617142,0.00806301031147583,-0.0290189444094542,-0.00822664408258422,-0.40161987799655,-0.743568066666667
2024,2023,0.35791667620989,0.0154024752504986,0.372154265714562,0.00543157954314216,0.00997089570735649,-0.367456769022096,0.487976394145255,0.314567474999999
2025,2024,0.373319151460388,0.00992898896671901,0.375737304404773,0.00358303869021143,0.00634595027650758,-0.226232712271066,0.256658852638227,0.216689366666667
