var,value
inc_2008_treat,56779.42951486712
inc_2008_cont,57779.22709560224
inc_2006_treat,52705.033942410286
inc_2006_cont,52489.310787645154
age_treat,39.61648745519713
age_cont,39.40784757592907
gender_treat,0.4323251417769376
gender_cont,0.4336985266339252
treated_N,5301
control_N,5301
