age,year,prop_work_curr,prop_work_fut,avg_labour_inc_curr,avg_labour_inc_fut
19,2006,0.658325852782765,0.35435368043088,4966.98447568834,6613.07491952005
19,2007,0.655585973145613,0.347412332160083,4909.72595240755,6972.84143398828
19,2008,0.705170642620705,0.412509987444356,5557.60413602146,7680.37164366374
19,2009,0.668712955122777,0.37298899237934,6433.7184529357,7671.35160532498
19,2010,0.619499394428745,0.343358901897457,5643.69365492394,7550.75636856369
19,2011,0.605113636363636,0.344533699059561,5642.00682525344,7995.68159333507
19,2012,0.597931994432293,0.336846291509246,5871.08041705378,8319.79767378956
19,2013,0.573740643334008,0.329354642929395,6227.58597868761,8305.42304433776
19,2014,0.543320290665176,0.329122414756847,5952.33135855662,8819.01789077213
19,2015,0.524444444444445,0.303040935672515,5855.63516868702,8806.48990435707
19,2016,0.505123966942149,0.300055096418733,5653.05744680851,8770.06243637598
19,2017,0.499819211763288,0.285042786549355,5451.15737905695,8394.92116504854
19,2018,0.542603672374665,0.295440478646586,5744.55665820448,9357.56591639871
20,2006,0.730193905817175,0.408448753462604,6516.60489828965,7839.35020055538
20,2007,0.729546207353428,0.416859887379927,6570.70949046124,8359.09167275384
20,2008,0.779770877298764,0.482062104311125,7571.38076622361,9488.92514885172
20,2009,0.75424079437319,0.436353606399117,8326.21803595004,9093.07681201271
20,2010,0.700040978008469,0.413877885534763,7698.48415408876,9636.39469240048
20,2011,0.676348039215686,0.405882352941176,7697.08819566795,9726.1229281768
20,2012,0.680146163215591,0.395980511571255,8277.78091426164,9982.44535211268
20,2013,0.647878561652358,0.385093940525072,8551.73637515843,10252.7667258733
20,2014,0.611973981149609,0.36612239479623,8282.54750166556,10866.4092113983
20,2015,0.603424276169265,0.364420935412027,8018.17467003651,10525.1868475992
20,2016,0.578596287703016,0.351073085846868,7954.96603071196,10442.9273535953
20,2017,0.554052188319757,0.325831837636339,7203.21116540797,10005.0164750958
20,2018,0.581247155211652,0.32453345471097,7129.06880520688,10762.1764705882
21,2006,0.728017290410647,0.400068251620976,7057.77705410822,7895.60294878427
21,2007,0.718554740559631,0.406139635968487,7208.93156199678,8484.9823922283
21,2008,0.770148938417661,0.462554135417767,8480.05781005268,9744.88743509865
21,2009,0.742013994523882,0.427542845553189,9172.13149942683,9337.4437486504
21,2010,0.715951686797168,0.441274468971262,8770.65879594213,9578.07223976109
21,2011,0.713008631319359,0.429819153308672,9055.45978039854,10002.1514495889
21,2012,0.721326032262839,0.459375462483351,9900.40204249325,11190.8890170078
21,2013,0.700164252650441,0.441540988502315,10336.3224050633,11465.2381384104
21,2014,0.694700095207871,0.459060615677563,9924.07860560492,12287.7110630408
21,2015,0.656143608789848,0.428505106778087,9938.90122070998,12272.7492739593
21,2016,0.628337428337428,0.412121212121212,9308.16344017772,11937.4755539923
21,2017,0.624578227668265,0.394068549103179,8932.41033645508,12120.5872305815
21,2018,0.604501607717042,0.350941662838769,8285.19865921788,11084.4469964664
22,2006,0.73358601296002,0.409585523902678,7749.92633928572,8222.02375168691
22,2007,0.72765130483065,0.421848972792893,7937.78927705977,8896.62151633204
22,2008,0.78006062647356,0.482205007297631,9146.29857819905,10043.6197301855
22,2009,0.764483906770255,0.447613762486126,10335.9648036129,10000.2730932677
22,2010,0.71725688589095,0.450365373805509,9875.31207083484,10194.9367429341
22,2011,0.732484781405645,0.458992805755396,10165.7671151673,10641.9814572426
22,2012,0.713999578325954,0.442652329749104,10714.1640260951,10823.2069702801
22,2013,0.705428954423593,0.444593386952636,11358.2797059645,11323.1045248869
22,2014,0.674080798910577,0.425442578302315,11211.1171475343,11300.7784533074
22,2015,0.649900398406374,0.410607569721116,11364.6450733038,11484.3284789644
22,2016,0.627894736842105,0.397105263157895,10877.532300062,11102.3083062371
22,2017,0.618525204832662,0.373281488682127,9773.37433722163,10827.374584165
22,2018,0.614238042269188,0.34860956618465,9340.31864689914,9737.18275862069
23,2006,0.728851763457969,0.41553964465659,8523.32792238978,9199.11374678479
23,2007,0.727230555126024,0.414411628266584,8318.06044574516,9203.60282042724
23,2008,0.776232616940582,0.475221238938053,10188.7205344549,10845.9101461078
23,2009,0.754963680387409,0.446489104116223,11011.6196928636,10267.5422007255
23,2010,0.726788809111166,0.467194850210448,10524.6258139761,10551.9997626394
23,2011,0.72407253763186,0.455493658883489,10614.0674661296,10865.0890394952
23,2012,0.722367970799589,0.456826736625984,11675.9565489495,11655.0398847773
23,2013,0.711707542804257,0.446321147616844,12076.8668880455,11369.8218764515
23,2014,0.695554445554446,0.437187812187812,11752.2543172798,11875.3185298622
23,2015,0.669090909090909,0.415218855218855,11914.712821735,12168.3971223022
23,2016,0.630967206309672,0.395184723951847,11398.8220404984,12003.3644830798
23,2017,0.62023416391474,0.375112578805164,10314.6691897953,11390.3504091071
23,2018,0.647462277091907,0.386602652034751,10254.2391173521,10961.2442666667
24,2006,0.725209598149754,0.406186759178954,9114.01955307262,9428.81642512077
24,2007,0.715267044478791,0.40133951571355,9027.12232688391,9762.00309717383
24,2008,0.770583533173461,0.469357847055689,10769.4265194362,11397.6334183673
24,2009,0.747185677471857,0.444188254441883,12171.0082987552,11198.395711501
24,2010,0.723697288087463,0.460457191537697,11379.6964898682,11160.9497964722
24,2011,0.721286370597244,0.448559097869971,11424.4739723087,11703.5585733882
24,2012,0.720576873551378,0.441282513520474,12395.9897260274,12399.0240837696
24,2013,0.709110002625361,0.44565502756629,12921.3134536858,12628.4664218258
24,2014,0.687995624829095,0.43273174733388,12800.0303994344,12609.0106951872
