datemonth,IDage,exitrate
2011-03-01,26,0.124
2011-04-01,26,0.103
2011-05-01,26,0.111
2011-06-01,26,0.109
2011-07-01,26,0.123
2011-08-01,26,0.114
2011-09-01,26,0.114
2011-10-01,26,0.107
2011-11-01,26,0.1
2011-12-01,26,0.066
2012-01-01,26,0.096
2012-02-01,26,0.136
2012-03-01,26,0.111
2012-04-01,26,0.097
2012-05-01,26,0.1
2012-06-01,26,0.087
2012-07-01,26,0.12
2012-08-01,26,0.107
2012-09-01,26,0.095
2012-10-01,26,0.1
2012-11-01,26,0.085
2012-12-01,26,0.067
2013-01-01,26,0.098
2013-02-01,26,0.121
2013-03-01,26,0.094
2013-04-01,26,0.083
2013-05-01,26,0.096
2013-06-01,26,0.085
2013-07-01,26,0.099
2013-08-01,26,0.102
2013-09-01,26,0.085
2013-10-01,26,0.083
2013-11-01,26,0.085
2013-12-01,26,0.062
2014-01-01,26,0.09
2014-02-01,26,0.112
2014-03-01,26,0.096
2014-04-01,26,0.088
2014-05-01,26,0.089
2014-06-01,26,0.085
2014-07-01,26,0.109
2014-08-01,26,0.089
2014-09-01,26,0.087
2014-10-01,26,0.082
2014-11-01,26,0.077
2014-12-01,26,0.062
2015-01-01,26,0.084
2015-02-01,26,0.101
2015-03-01,26,0.085
2015-04-01,26,0.091
2015-05-01,26,0.078
2015-06-01,26,0.066
2015-07-01,26,0.105
2015-08-01,26,0.092
2015-09-01,26,0.087
2015-10-01,26,0.078
2015-11-01,26,0.082
2015-12-01,26,0.052
2016-01-01,26,0.088
2016-02-01,26,0.114
2016-03-01,26,0.088
2016-04-01,26,0.096
2016-05-01,26,0.096
2016-06-01,26,0.089
2016-07-01,26,0.095
2016-08-01,26,0.106
2016-09-01,26,0.087
2016-10-01,26,0.089
2016-11-01,26,0.077
2016-12-01,26,0.057
2017-01-01,26,0.089
2017-02-01,26,0.108
2017-03-01,26,0.093
2017-04-01,26,0.08
2017-05-01,26,0.086
2017-06-01,26,0.089
2017-07-01,26,0.102
2017-08-01,26,0.09
2017-09-01,26,0.08
2017-10-01,26,0.086
2017-11-01,26,0.08
2017-12-01,26,0.049
2018-01-01,26,0.089
2018-02-01,26,0.097
2018-03-01,26,0.084
2018-04-01,26,0.087
2018-05-01,26,0.091
2018-06-01,26,0.063
2018-07-01,26,0.068
2006-07-01,27,0.116
2006-08-01,27,0.117
2006-09-01,27,0.112
2006-10-01,27,0.11
2006-11-01,27,0.102
2006-12-01,27,0.075
2007-01-01,27,0.116
2007-02-01,27,0.122
2007-03-01,27,0.125
2007-04-01,27,0.113
2007-05-01,27,0.134
2007-06-01,27,0.106
2007-07-01,27,0.123
2007-08-01,27,0.135
2007-09-01,27,0.115
2007-10-01,27,0.122
2007-11-01,27,0.103
2007-12-01,27,0.073
2008-01-01,27,0.112
2008-02-01,27,0.136
2008-03-01,27,0.115
2008-04-01,27,0.111
2008-05-01,27,0.12
2008-06-01,27,0.101
2008-07-01,27,0.121
2008-08-01,27,0.102
2008-09-01,27,0.103
2008-10-01,27,0.105
2008-11-01,27,0.085
2008-12-01,27,0.079
2009-01-01,27,0.09
2009-02-01,27,0.102
2009-03-01,27,0.109
2009-04-01,27,0.105
2009-05-01,27,0.095
2009-06-01,27,0.102
2009-07-01,27,0.11
2009-08-01,27,0.09
2009-09-01,27,0.098
2009-10-01,27,0.097
2009-11-01,27,0.105
2009-12-01,27,0.075
2010-01-01,27,0.098
2010-02-01,27,0.124
2010-03-01,27,0.113
2010-04-01,27,0.1
2010-05-01,27,0.102
2010-06-01,27,0.099
2010-07-01,27,0.12
2010-08-01,27,0.112
2010-09-01,27,0.117
2010-10-01,27,0.112
2010-11-01,27,0.103
2010-12-01,27,0.081
2011-01-01,27,0.087
2011-02-01,27,0.119
2011-03-01,27,0.121
2011-04-01,27,0.096
2011-05-01,27,0.107
2011-06-01,27,0.111
2011-07-01,27,0.113
2011-08-01,27,0.118
2011-09-01,27,0.1
2011-10-01,27,0.097
2011-11-01,27,0.099
2011-12-01,27,0.077
2012-01-01,27,0.096
2012-02-01,27,0.131
2012-03-01,27,0.101
2012-04-01,27,0.097
2012-05-01,27,0.089
2012-06-01,27,0.088
2012-07-01,27,0.109
2012-08-01,27,0.103
2012-09-01,27,0.088
2012-10-01,27,0.099
2012-11-01,27,0.094
2012-12-01,27,0.063
2013-01-01,27,0.088
2013-02-01,27,0.11
2013-03-01,27,0.083
2013-04-01,27,0.084
2013-05-01,27,0.084
2013-06-01,27,0.073
2013-07-01,27,0.093
2013-08-01,27,0.087
2013-09-01,27,0.089
2013-10-01,27,0.083
2013-11-01,27,0.082
2013-12-01,27,0.06
2014-01-01,27,0.086
2014-02-01,27,0.103
2014-03-01,27,0.099
2014-04-01,27,0.08
2014-05-01,27,0.083
2014-06-01,27,0.078
2014-07-01,27,0.093
2014-08-01,27,0.075
2014-09-01,27,0.083
2014-10-01,27,0.083
2014-11-01,27,0.068
2014-12-01,27,0.058
2015-01-01,27,0.079
2015-02-01,27,0.096
2015-03-01,27,0.084
2015-04-01,27,0.086
2015-05-01,27,0.086
2015-06-01,27,0.072
2015-07-01,27,0.097
2015-08-01,27,0.083
2015-09-01,27,0.085
2015-10-01,27,0.082
2015-11-01,27,0.074
2015-12-01,27,0.054
2016-01-01,27,0.087
2016-02-01,27,0.102
2016-03-01,27,0.075
2016-04-01,27,0.085
2016-05-01,27,0.089
2016-06-01,27,0.085
2016-07-01,27,0.089
2016-08-01,27,0.087
2016-09-01,27,0.088
2016-10-01,27,0.084
2016-11-01,27,0.082
2016-12-01,27,0.049
2017-01-01,27,0.087
2017-02-01,27,0.098
2017-03-01,27,0.086
2017-04-01,27,0.075
2017-05-01,27,0.094
2017-06-01,27,0.087
2017-07-01,27,0.089
2017-08-01,27,0.079
2017-09-01,27,0.071
2017-10-01,27,0.08
2017-11-01,27,0.077
2017-12-01,27,0.042
2018-01-01,27,0.084
2018-02-01,27,0.085
2018-03-01,27,0.077
2018-04-01,27,0.086
2018-05-01,27,0.09
2018-06-01,27,0.061
2018-07-01,27,0.067
2006-07-01,28,0.105
2006-08-01,28,0.107
2006-09-01,28,0.099
2006-10-01,28,0.115
2006-11-01,28,0.103
2006-12-01,28,0.068
2007-01-01,28,0.113
2007-02-01,28,0.128
2007-03-01,28,0.118
2007-04-01,28,0.111
2007-05-01,28,0.129
2007-06-01,28,0.108
2007-07-01,28,0.126
2007-08-01,28,0.114
2007-09-01,28,0.118
2007-10-01,28,0.109
2007-11-01,28,0.111
2007-12-01,28,0.071
2008-01-01,28,0.12
2008-02-01,28,0.135
2008-03-01,28,0.117
2008-04-01,28,0.114
2008-05-01,28,0.119
2008-06-01,28,0.106
2008-07-01,28,0.107
2008-08-01,28,0.106
2008-09-01,28,0.107
2008-10-01,28,0.111
2008-11-01,28,0.097
2008-12-01,28,0.068
2009-01-01,28,0.089
2009-02-01,28,0.102
2009-03-01,28,0.107
2009-04-01,28,0.099
2009-05-01,28,0.098
2009-06-01,28,0.096
2009-07-01,28,0.115
2009-08-01,28,0.103
2009-09-01,28,0.097
2009-10-01,28,0.098
2009-11-01,28,0.084
2009-12-01,28,0.072
2010-01-01,28,0.098
2010-02-01,28,0.113
2010-03-01,28,0.115
2010-04-01,28,0.102
2010-05-01,28,0.105
2010-06-01,28,0.099
2010-07-01,28,0.112
2010-08-01,28,0.113
2010-09-01,28,0.105
2010-10-01,28,0.096
2010-11-01,28,0.1
2010-12-01,28,0.082
2011-01-01,28,0.09
2011-02-01,28,0.127
2011-03-01,28,0.114
2011-04-01,28,0.099
2011-05-01,28,0.112
2011-06-01,28,0.101
2011-07-01,28,0.113
2011-08-01,28,0.11
2011-09-01,28,0.104
2011-10-01,28,0.098
2011-11-01,28,0.098
2011-12-01,28,0.068
2012-01-01,28,0.096
2012-02-01,28,0.13
2012-03-01,28,0.104
2012-04-01,28,0.096
2012-05-01,28,0.096
2012-06-01,28,0.081
2012-07-01,28,0.108
2012-08-01,28,0.105
2012-09-01,28,0.081
2012-10-01,28,0.09
2012-11-01,28,0.086
2012-12-01,28,0.062
2013-01-01,28,0.082
2013-02-01,28,0.106
2013-03-01,28,0.087
2013-04-01,28,0.087
2013-05-01,28,0.087
2013-06-01,28,0.074
2013-07-01,28,0.09
2013-08-01,28,0.081
2013-09-01,28,0.079
2013-10-01,28,0.077
2013-11-01,28,0.071
2013-12-01,28,0.053
2014-01-01,28,0.084
2014-02-01,28,0.099
2014-03-01,28,0.089
2014-04-01,28,0.072
2014-05-01,28,0.08
2014-06-01,28,0.076
2014-07-01,28,0.089
2014-08-01,28,0.072
2014-09-01,28,0.082
2014-10-01,28,0.078
2014-11-01,28,0.067
2014-12-01,28,0.057
2015-01-01,28,0.073
2015-02-01,28,0.091
2015-03-01,28,0.07
2015-04-01,28,0.068
2015-05-01,28,0.073
2015-06-01,28,0.062
2015-07-01,28,0.093
2015-08-01,28,0.072
2015-09-01,28,0.079
2015-10-01,28,0.077
2015-11-01,28,0.061
2015-12-01,28,0.049
2016-01-01,28,0.077
2016-02-01,28,0.099
2016-03-01,28,0.07
2016-04-01,28,0.08
2016-05-01,28,0.089
2016-06-01,28,0.079
2016-07-01,28,0.093
2016-08-01,28,0.086
2016-09-01,28,0.079
2016-10-01,28,0.072
2016-11-01,28,0.069
2016-12-01,28,0.051
2017-01-01,28,0.073
2017-02-01,28,0.088
2017-03-01,28,0.087
2017-04-01,28,0.071
2017-05-01,28,0.082
2017-06-01,28,0.084
2017-07-01,28,0.08
2017-08-01,28,0.078
2017-09-01,28,0.07
2017-10-01,28,0.078
2017-11-01,28,0.074
2017-12-01,28,0.048
2018-01-01,28,0.081
2018-02-01,28,0.082
2018-03-01,28,0.074
2018-04-01,28,0.085
2018-05-01,28,0.081
2018-06-01,28,0.057
2018-07-01,28,0.062
