datemonth,IDage,exitrate
2012-04-01,20,0.173
2012-05-01,20,0.165
2012-06-01,20,0.159
2012-07-01,20,0.24
2012-08-01,20,0.177
2012-09-01,20,0.156
2012-10-01,20,0.157
2012-11-01,20,0.173
2012-12-01,20,0.147
2013-01-01,20,0.152
2013-02-01,20,0.236
2013-03-01,20,0.164
2013-04-01,20,0.15
2013-05-01,20,0.164
2013-06-01,20,0.138
2013-07-01,20,0.214
2013-08-01,20,0.159
2013-09-01,20,0.163
2013-10-01,20,0.162
2013-11-01,20,0.154
2013-12-01,20,0.148
2014-01-01,20,0.144
2014-02-01,20,0.215
2014-03-01,20,0.185
2014-04-01,20,0.141
2014-05-01,20,0.151
2014-06-01,20,0.164
2014-07-01,20,0.232
2014-08-01,20,0.169
2014-09-01,20,0.155
2014-10-01,20,0.158
2014-11-01,20,0.159
2014-12-01,20,0.167
2015-01-01,20,0.144
2015-02-01,20,0.232
2015-03-01,20,0.177
2015-04-01,20,0.141
2015-05-01,20,0.142
2015-06-01,20,0.131
2015-07-01,20,0.234
2015-08-01,20,0.172
2015-09-01,20,0.164
2015-10-01,20,0.154
2015-11-01,20,0.177
2015-12-01,20,0.145
2016-01-01,20,0.154
2016-02-01,20,0.262
2016-03-01,20,0.141
2016-04-01,20,0.155
2016-05-01,20,0.159
2016-06-01,20,0.15
2016-07-01,20,0.24
2016-08-01,20,0.168
2016-09-01,20,0.175
2016-10-01,20,0.184
2016-11-01,20,0.182
2016-12-01,20,0.131
2017-01-01,20,0.16
2017-02-01,20,0.235
2017-03-01,20,0.183
2017-04-01,20,0.139
2017-05-01,20,0.155
2017-06-01,20,0.157
2017-07-01,20,0.229
2017-08-01,20,0.186
2017-09-01,20,0.149
2017-10-01,20,0.157
2017-11-01,20,0.148
2017-12-01,20,0.094
2018-01-01,20,0.145
2018-02-01,20,0.193
2018-03-01,20,0.121
2018-04-01,20,0.137
2018-05-01,20,0.115
2018-06-01,20,0.084
2018-07-01,20,0.128
2006-07-01,21,0.123
2006-08-01,21,0.116
2006-09-01,21,0.115
2006-10-01,21,0.115
2006-11-01,21,0.106
2006-12-01,21,0.073
2007-01-01,21,0.115
2007-02-01,21,0.139
2007-03-01,21,0.131
2007-04-01,21,0.113
2007-05-01,21,0.125
2007-06-01,21,0.107
2007-07-01,21,0.126
2007-08-01,21,0.132
2007-09-01,21,0.117
2007-10-01,21,0.119
2007-11-01,21,0.109
2007-12-01,21,0.077
2008-01-01,21,0.106
2008-02-01,21,0.145
2008-03-01,21,0.116
2008-04-01,21,0.113
2008-05-01,21,0.11
2008-06-01,21,0.104
2008-07-01,21,0.118
2008-08-01,21,0.108
2008-09-01,21,0.103
2008-10-01,21,0.114
2008-11-01,21,0.083
2008-12-01,21,0.08
2009-01-01,21,0.085
2009-02-01,21,0.11
2009-03-01,21,0.103
2009-04-01,21,0.094
2009-05-01,21,0.084
2009-06-01,21,0.084
2009-07-01,21,0.11
2009-08-01,21,0.087
2009-09-01,21,0.091
2009-10-01,21,0.092
2009-11-01,21,0.089
2009-12-01,21,0.068
2010-01-01,21,0.085
2010-02-01,21,0.118
2010-03-01,21,0.105
2010-04-01,21,0.09
2010-05-01,21,0.095
2010-06-01,21,0.091
2010-07-01,21,0.106
2010-08-01,21,0.111
2010-09-01,21,0.106
2010-10-01,21,0.099
2010-11-01,21,0.097
2010-12-01,21,0.076
2011-01-01,21,0.084
2011-02-01,21,0.123
2011-03-01,21,0.119
2011-04-01,21,0.084
2011-05-01,21,0.1
2011-06-01,21,0.097
2011-07-01,21,0.114
2011-08-01,21,0.115
2011-09-01,21,0.103
2011-10-01,21,0.102
2011-11-01,21,0.092
2011-12-01,21,0.066
2012-01-01,21,0.085
2012-02-01,21,0.131
2012-03-01,21,0.097
2012-04-01,21,0.096
2012-05-01,21,0.094
2012-06-01,21,0.091
2012-07-01,21,0.123
2012-08-01,21,0.116
2012-09-01,21,0.093
2012-10-01,21,0.107
2012-11-01,21,0.114
2012-12-01,21,0.098
2013-01-01,21,0.105
2013-02-01,21,0.166
2013-03-01,21,0.12
2013-04-01,21,0.112
2013-05-01,21,0.118
2013-06-01,21,0.114
2013-07-01,21,0.166
2013-08-01,21,0.135
2013-09-01,21,0.124
2013-10-01,21,0.128
2013-11-01,21,0.129
2013-12-01,21,0.128
2014-01-01,21,0.13
2014-02-01,21,0.179
2014-03-01,21,0.153
2014-04-01,21,0.12
2014-05-01,21,0.132
2014-06-01,21,0.131
2014-07-01,21,0.205
2014-08-01,21,0.148
2014-09-01,21,0.148
2014-10-01,21,0.144
2014-11-01,21,0.152
2014-12-01,21,0.157
2015-01-01,21,0.137
2015-02-01,21,0.206
2015-03-01,21,0.16
2015-04-01,21,0.139
2015-05-01,21,0.134
2015-06-01,21,0.124
2015-07-01,21,0.238
2015-08-01,21,0.149
2015-09-01,21,0.16
2015-10-01,21,0.142
2015-11-01,21,0.173
2015-12-01,21,0.145
2016-01-01,21,0.171
2016-02-01,21,0.237
2016-03-01,21,0.154
2016-04-01,21,0.156
2016-05-01,21,0.16
2016-06-01,21,0.179
2016-07-01,21,0.241
2016-08-01,21,0.193
2016-09-01,21,0.173
2016-10-01,21,0.188
2016-11-01,21,0.208
2016-12-01,21,0.172
2017-01-01,21,0.189
2017-02-01,21,0.246
2017-03-01,21,0.2
2017-04-01,21,0.145
2017-05-01,21,0.188
2017-06-01,21,0.192
2017-07-01,21,0.273
2017-08-01,21,0.225
2017-09-01,21,0.187
2017-10-01,21,0.183
2017-11-01,21,0.21
2017-12-01,21,0.144
2018-01-01,21,0.193
2018-02-01,21,0.243
2018-03-01,21,0.158
2018-04-01,21,0.175
2018-05-01,21,0.175
2018-06-01,21,0.122
2018-07-01,21,0.163
2006-07-01,22,0.131
2006-08-01,22,0.136
2006-09-01,22,0.121
2006-10-01,22,0.139
2006-11-01,22,0.119
2006-12-01,22,0.095
2007-01-01,22,0.14
2007-02-01,22,0.158
2007-03-01,22,0.151
2007-04-01,22,0.121
2007-05-01,22,0.138
2007-06-01,22,0.122
2007-07-01,22,0.139
2007-08-01,22,0.135
2007-09-01,22,0.123
2007-10-01,22,0.137
2007-11-01,22,0.12
2007-12-01,22,0.083
2008-01-01,22,0.129
2008-02-01,22,0.16
2008-03-01,22,0.137
2008-04-01,22,0.131
2008-05-01,22,0.125
2008-06-01,22,0.116
2008-07-01,22,0.141
2008-08-01,22,0.12
2008-09-01,22,0.12
2008-10-01,22,0.113
2008-11-01,22,0.097
2008-12-01,22,0.079
2009-01-01,22,0.106
2009-02-01,22,0.12
2009-03-01,22,0.119
2009-04-01,22,0.105
2009-05-01,22,0.108
2009-06-01,22,0.085
2009-07-01,22,0.113
2009-08-01,22,0.103
2009-09-01,22,0.097
2009-10-01,22,0.103
2009-11-01,22,0.091
2009-12-01,22,0.075
2010-01-01,22,0.105
2010-02-01,22,0.135
2010-03-01,22,0.127
2010-04-01,22,0.104
2010-05-01,22,0.106
2010-06-01,22,0.1
2010-07-01,22,0.124
2010-08-01,22,0.121
2010-09-01,22,0.117
2010-10-01,22,0.108
2010-11-01,22,0.101
2010-12-01,22,0.079
2011-01-01,22,0.102
2011-02-01,22,0.137
2011-03-01,22,0.135
2011-04-01,22,0.098
2011-05-01,22,0.111
2011-06-01,22,0.117
2011-07-01,22,0.126
2011-08-01,22,0.119
2011-09-01,22,0.114
2011-10-01,22,0.097
2011-11-01,22,0.101
2011-12-01,22,0.078
2012-01-01,22,0.106
2012-02-01,22,0.144
2012-03-01,22,0.114
2012-04-01,22,0.104
2012-05-01,22,0.103
2012-06-01,22,0.099
2012-07-01,22,0.125
2012-08-01,22,0.108
2012-09-01,22,0.101
2012-10-01,22,0.11
2012-11-01,22,0.095
2012-12-01,22,0.066
2013-01-01,22,0.095
2013-02-01,22,0.136
2013-03-01,22,0.103
2013-04-01,22,0.091
2013-05-01,22,0.096
2013-06-01,22,0.077
2013-07-01,22,0.109
2013-08-01,22,0.092
2013-09-01,22,0.081
2013-10-01,22,0.086
2013-11-01,22,0.078
2013-12-01,22,0.065
2014-01-01,22,0.091
2014-02-01,22,0.121
2014-03-01,22,0.1
2014-04-01,22,0.077
2014-05-01,22,0.088
2014-06-01,22,0.081
2014-07-01,22,0.106
2014-08-01,22,0.093
2014-09-01,22,0.077
2014-10-01,22,0.085
2014-11-01,22,0.072
2014-12-01,22,0.059
2015-01-01,22,0.082
2015-02-01,22,0.11
2015-03-01,22,0.089
2015-04-01,22,0.083
2015-05-01,22,0.076
2015-06-01,22,0.069
2015-07-01,22,0.11
2015-08-01,22,0.093
2015-09-01,22,0.092
2015-10-01,22,0.088
2015-11-01,22,0.071
2015-12-01,22,0.058
2016-01-01,22,0.085
2016-02-01,22,0.111
2016-03-01,22,0.088
2016-04-01,22,0.106
2016-05-01,22,0.095
2016-06-01,22,0.092
2016-07-01,22,0.107
2016-08-01,22,0.1
2016-09-01,22,0.092
2016-10-01,22,0.091
2016-11-01,22,0.094
2016-12-01,22,0.053
2017-01-01,22,0.086
2017-02-01,22,0.116
2017-03-01,22,0.101
2017-04-01,22,0.081
2017-05-01,22,0.092
2017-06-01,22,0.091
2017-07-01,22,0.105
2017-08-01,22,0.096
2017-09-01,22,0.072
2017-10-01,22,0.08
2017-11-01,22,0.081
2017-12-01,22,0.047
2018-01-01,22,0.083
2018-02-01,22,0.103
2018-03-01,22,0.083
2018-04-01,22,0.096
2018-05-01,22,0.087
2018-06-01,22,0.058
2018-07-01,22,0.071
2006-07-01,23,0.13
2006-08-01,23,0.134
2006-09-01,23,0.12
2006-10-01,23,0.127
2006-11-01,23,0.123
2006-12-01,23,0.09
2007-01-01,23,0.129
2007-02-01,23,0.17
2007-03-01,23,0.153
2007-04-01,23,0.119
2007-05-01,23,0.137
2007-06-01,23,0.119
2007-07-01,23,0.135
2007-08-01,23,0.14
2007-09-01,23,0.128
2007-10-01,23,0.14
2007-11-01,23,0.122
2007-12-01,23,0.083
2008-01-01,23,0.136
2008-02-01,23,0.153
2008-03-01,23,0.14
2008-04-01,23,0.123
2008-05-01,23,0.119
2008-06-01,23,0.116
2008-07-01,23,0.134
2008-08-01,23,0.123
2008-09-01,23,0.122
2008-10-01,23,0.109
2008-11-01,23,0.093
2008-12-01,23,0.085
