date,variable,JSP_DSP_age,JSP_age,JSP,NSA,NSA_age,JSP_xPP,JSP_xPP_age
2017-11-01,count_less6,177587,170713,185424,162862,148595,166314,151677
2017-12-01,count_less6,179335,172544,187390,165219,150769,168805,153984
2018-01-01,count_less6,184464,177703,192743,170597,155773,174325,159131
2018-02-01,count_less6,187238,180451,196009,172577,157461,176119,160655
2018-03-01,count_less6,183101,176341,191570,168291,153445,171788,156574
2018-04-01,count_less6,182957,176185,191577,168188,153131,171732,156294
2018-05-01,count_less6,177594,170845,185621,162929,148294,166356,151341
2018-06-01,count_less6,173602,166833,181439,158669,144172,162161,147264
2018-07-01,count_less6,173810,167111,181610,158746,144448,162202,147525
2018-08-01,count_less6,169669,163037,176946,154910,141083,158365,144135
2018-09-01,count_less6,170371,163832,177923,155472,141550,159013,144718
2018-10-01,count_less6,167095,160624,174495,152140,138436,155637,141581
2018-11-01,count_less6,168212,161750,176153,153390,139344,156940,142522
2018-12-01,count_less6,171384,164890,179391,156824,142673,160335,145839
2019-01-01,count_less6,177975,171589,186559,164139,149558,167625,152689
2019-02-01,count_less6,184104,177619,193193,170415,155371,173709,158323
2019-03-01,count_less6,182091,175525,191040,168184,153101,171373,155977
2019-04-01,count_less6,181558,174851,190629,167625,152392,170612,155066
2019-05-01,count_less6,178482,171722,186970,164659,149821,167404,152302
2019-06-01,count_less6,177615,170800,185972,163299,148675,165888,151013
2019-07-01,count_less6,175684,168732,183634,160511,146226,163036,148488
2019-08-01,count_less6,171353,164298,179178,156618,142280,159120,144513
2019-09-01,count_less6,167775,160685,175489,153573,139387,156098,141616
2019-10-01,count_less6,165112,157981,172666,151099,137083,153727,139376
2019-11-01,count_less6,164920,157744,172858,150844,136481,153648,138948
2019-12-01,count_less6,167016,159829,174995,152973,138460,155945,141085
2020-01-01,count_less6,173737,166579,182156,160144,145112,163323,147910
2020-02-01,count_less6,177089,170066,186080,163774,148368,166815,151045
2020-03-01,count_less6,181984,174973,191760,168070,151948,171237,154731
