feature,beta
0_14,-0.0256229807414653
15_34,0.50978635718566
35_54,-0.133678002814751
55_64,0.768049567556228
65p,0.868493139593067
tot,-0.00312062894937805
rp_g,-0.00755908931268025
unemp,0.00862077922184555
