year,rank_rnndi,rank_nni,rnndi_pc,nni_pc
2015,19,19,0.0351246654662212,34950.782814
2016,19,19,0.03602823677902463,35846.9521
2017,19,19,0.03703346393551604,36955.935817
2018,19,20,0.0371233016365343,37065.636279
2019,19,19,0.038716550308834474,38501.760861
2020,18,18,0.03804089543411403,38077.715773
2021,18,19,0.039172723911418794,39254.332068
2022,19,19,0.03942995218135663,39211.242489
2023,19,18,0.03812755192307692,38004.260782
