year,series,value
1980,Historical,0.20747337563546
1981,Historical,0.211430292632778
1982,Historical,0.208981423620974
1983,Historical,0.220579644550636
1984,Historical,0.220786380370391
1985,Historical,0.231403170940679
1986,Historical,0.234542190030282
1987,Historical,0.234279632182304
1988,Historical,0.218343633964087
1989,Historical,0.208227719417147
1990,Historical,0.209263850352429
1991,Historical,0.218946391564208
1992,Historical,0.227654049617573
1993,Historical,0.227026686807654
1994,Historical,0.219663735647319
1995,Historical,0.217930146467085
1996,Historical,0.215196299532535
1997,Historical,0.212001357912264
1998,Historical,0.209936106402399
1999,Historical,0.215581782218878
2000,Historical,0.214822222791208
2001,Historical,0.214904242000429
2002,Historical,0.212705049473197
2003,Historical,0.212266177847656
2004,Historical,0.209363933092308
2005,Historical,0.21182584903075
2006,Historical,0.212412419007234
2007,Historical,0.211222252546474
2008,Historical,0.211897624501369
2009,Historical,0.217097839657379
2010,Historical,0.229146778773192
2011,Historical,0.22378924586109
2012,Historical,0.224606658813581
2013,Historical,0.220498768879661
2014,Historical,0.218690672273561
2015,Historical,0.22240829654276
2016,Historical,0.231214748078889
2017,Historical,0.233971293764707
2018,Historical,0.236850972732972
2019,Historical,0.241602830028427
2020,Historical,0.257884653803902
2021,Historical,0.262641747034442
2022,Historical,0.258469326219235
2023,Historical,0.251533642313157
2024,Historical,0.261924678699111
2025,Historical,0.271156557770968
1980,Fitted (in-sample),0.214151379791136
1981,Fitted (in-sample),0.211956261631215
1982,Fitted (in-sample),0.210453247776799
1983,Fitted (in-sample),0.219634320572501
1984,Fitted (in-sample),0.224289009702506
1985,Fitted (in-sample),0.219311849752315
1986,Fitted (in-sample),0.218018182005917
1987,Fitted (in-sample),0.22116527540045
1988,Fitted (in-sample),0.222316018663492
1989,Fitted (in-sample),0.220303789929838
1990,Fitted (in-sample),0.216626445266088
1991,Fitted (in-sample),0.222048993018684
1992,Fitted (in-sample),0.224687084807815
1993,Fitted (in-sample),0.225839696095319
1994,Fitted (in-sample),0.224490766472427
1995,Fitted (in-sample),0.219696746591464
1996,Fitted (in-sample),0.217566313486864
1997,Fitted (in-sample),0.217101380652561
1998,Fitted (in-sample),0.214289171664158
1999,Fitted (in-sample),0.209005759981948
2000,Fitted (in-sample),0.207780029289113
2001,Fitted (in-sample),0.208430318085288
2002,Fitted (in-sample),0.212686492268455
2003,Fitted (in-sample),0.212280578726051
2004,Fitted (in-sample),0.213127215317437
2005,Fitted (in-sample),0.211780227418513
2006,Fitted (in-sample),0.212368564380783
2007,Fitted (in-sample),0.211889751699026
2008,Fitted (in-sample),0.212157860117359
2009,Fitted (in-sample),0.216540638135195
2010,Fitted (in-sample),0.218448501585418
2011,Fitted (in-sample),0.219739302986748
2012,Fitted (in-sample),0.221766984308091
2013,Fitted (in-sample),0.225738756710815
2014,Fitted (in-sample),0.230717522266279
2015,Fitted (in-sample),0.233750203750922
2016,Fitted (in-sample),0.234667923587036
2017,Fitted (in-sample),0.239094250502715
2018,Fitted (in-sample),0.241448596120901
2019,Fitted (in-sample),0.243505807515357
2020,Fitted (in-sample),0.253455703637872
2021,Fitted (in-sample),0.254710536074671
2022,Fitted (in-sample),0.256130545513683
2023,Fitted (in-sample),0.258461947305177
2024,Fitted (in-sample),0.214151379791136
2025,Fitted (in-sample),0.211956261631215
2026,Projection (base),0.266924460342456
2027,Projection (base),0.270361162876878
2028,Projection (base),0.273441955029859
2029,Projection (base),0.276063556968685
2030,Projection (base),0.278135312278369
2031,Projection (base),0.280052250107109
2032,Projection (base),0.281872506751372
2033,Projection (base),0.283740694675102
2034,Projection (base),0.285795910509731
2035,Projection (base),0.287665213981145
2036,Projection (base),0.290195800433548
2037,Projection (base),0.292864988601686
2038,Projection (base),0.295230947502112
2039,Projection (base),0.296979519935689
2040,Projection (base),0.298396197799503
2041,Projection (base),0.299493350318861
2042,Projection (base),0.300241533481495
2043,Projection (base),0.300914071448112
2044,Projection (base),0.301756549610753
2045,Projection (base),0.302744834959877
2046,Projection (base),0.304037509628901
2047,Projection (base),0.305282220232617
2048,Projection (base),0.306671089833629
2049,Projection (base),0.308076248100604
2050,Projection (base),0.309564858375608
2051,Projection (base),0.310828630670219
2052,Projection (base),0.312000491871683
2053,Projection (base),0.313116131212587
2054,Projection (base),0.314335482598282
2055,Projection (base),0.315917401644985
2056,Projection (base),0.317403501003469
2057,Projection (base),0.318489732965812
2058,Projection (base),0.319758311060546
2059,Projection (base),0.321199836166864
2060,Projection (base),0.322799711037466
2061,Projection (base),0.324415129529921
2062,Projection (base),0.326080713438799
2063,Projection (base),0.327644267639919
2064,Projection (base),0.329176010690537
2065,Projection (base),0.330857462081195
2066,Projection (base),0.332381124470212
2067,Projection (base),0.333729927458627
2068,Projection (base),0.335085541468697
2069,Projection (base),0.336490405552133
2070,Projection (base),0.337903885245817
2071,Projection (base),0.339442366863733
