y0,y1,d_actual,d_hat,unexplained,0_14,15_34,35_54,55_64,65p,tot,rp_g,unemp
1980,1981,0.00705101836011429,0.00278142077857699,0.00426959758153731,-0.000958358507360409,0.00122679413318557,0.000451529031676098,0.000685124267131762,0.00329603114753861,0.000599883688015108,0.00312075418553064,-0.00564033716714039
1981,1982,0.00365763598244387,0.00602471527872828,-0.00236707929628441,-0.00276285922800169,-0.00243380677491087,0.00121813297360592,0.000605687963941439,0.00361950042433884,0.0011618461690905,0.00453553028675728,8.06834639068697e-05
1982,1983,0.0206708558230366,0.0114937842059041,0.00917707161713249,-0.00504154462440295,-0.00546074744027587,-0.0019606883223843,-0.000848929051997951,-0.00412063405747636,2.72654168200084e-07,-0.00199132865372713,0.0309173837020004
1983,1984,0.00622166680746089,0.0022569958939287,0.00396467091353219,-0.00185883995968045,-0.000471034330275097,0.000166183197863591,-0.000111758820823067,-0.00200767282991572,-0.000354549906580405,-0.00186984290194008,0.00876451144527993
1984,1985,0.00601070362257955,-0.00023189040033831,0.00624259402291786,-0.000458084051673261,0.0015986983286239,0.00232476691078566,0.000805300892374778,0.00470700857579222,0.000647838395415024,0.00374025796274792,-0.0135976774144046
1985,1986,0.00205505453837332,0.00164052978249056,0.000414524755882754,-0.00129298265963919,0.00213740636449097,0.00189487966876702,0.000588987124017402,0.00561031077272035,0.000222226823846168,0.00346405293499044,-0.0109843512467026
1986,1987,0.00117156403858934,0.000956294405563022,0.000215269633026318,-0.000825846350684053,0.00197344970180983,0.000871362097414971,-0.0011643080534722,-0.000383146813208501,-0.000826638581619603,-0.00238597900415764,0.00369740140948022
1987,1988,-0.0165296321928597,-0.00534207359440172,-0.0111875585984579,0.00164633295820271,0.00332831268266049,0.00187603615569775,-0.00164101709392285,-0.00287534611442528,-0.00108817476709052,-0.00489233649646725,-0.00169588091905677
1988,1989,-0.00981934316843325,-0.00753410840005332,-0.00228523476837992,0.00284432865184877,0.00385603530201623,0.00267726037680844,-0.00162849390600078,-0.00206997033594498,-0.000683095553795704,-0.0039931104154044,-0.00853706251958089
1989,1990,-0.00492198813741748,0.00113606469825762,-0.0060580528356751,-0.000393819306116824,-0.000463676883165235,0.00214682093986245,-0.00034756573428518,0.00347204414662841,0.000755363144187317,0.00295232312015099,-0.00698542472900431
1990,1991,0.00875139201432521,0.00867671451500618,7.46774993190275e-05,-0.00376410767139162,-0.00570293655122053,-0.00106363816558745,-0.0015014417628506,-0.00146424029945262,-0.000129059056252216,-0.00162594293571208,0.0239280809574733
1991,1992,0.0119162585409706,0.00992102813316955,0.0019952304078011,-0.00398136398587855,-0.00616345031186293,-0.000651670051631284,-0.000870548639993613,0.000530233688415045,0.000676038282780688,0.00132528663203375,0.0190565025193064
