year,y_actual,yhat_full,yhat_cf_age,impact_age
1999,12.8086180874484,13.076688917993,13.076688917993,0
2000,12.5522659078068,12.8017445791276,13.076688917993,-0.274944338865382
2001,12.9783375578144,12.6037803129812,13.076688917993,-0.472908605011801
2002,12.8572057289189,12.5599481572003,13.076688917993,-0.516740760792683
2003,12.4856049214678,12.5158921347122,13.076688917993,-0.560796783280813
2004,12.5156026286391,12.4054228946508,13.076688917993,-0.671266023342227
2005,12.4123247363404,12.316651225852,13.076688917993,-0.760037692140989
2006,12.1154689414385,12.1890321309688,13.076688917993,-0.887656787024175
2007,11.9976700990842,12.1614612540038,13.076688917993,-0.915227663989205
2008,11.8580605980305,12.3016789683148,13.076688917993,-0.775009949678173
2009,12.66940011342,12.5215020276956,13.076688917993,-0.555186890297401
2010,12.8481137315066,12.5718714192797,13.076688917993,-0.504817498713347
2011,12.5753725107698,12.5659527520915,13.076688917993,-0.510736165901534
2012,12.6414478091007,12.6849804129825,13.076688917993,-0.391708505010511
2013,12.7337093610324,12.8223330203064,13.076688917993,-0.254355897686594
2014,12.8422157589517,12.9245809909459,13.076688917993,-0.152107927047117
2015,13.1150441362499,13.0087165180345,13.076688917993,-0.0679723999584674
2016,13.2404030229428,13.0716853172092,13.076688917993,-0.00500360078377327
2017,13.0702941329002,13.0702711870349,13.076688917993,-0.00641773095809661
2018,12.8933602125184,12.9992862127267,13.076688917993,-0.0774027052663424
2019,12.8521545195705,12.8891940818405,13.076688917993,-0.187494836152482
