y0,y1,d_actual,d_hat,unexplained,0_14,15_34,35_54,55_64,65p,tot,rp_g,unemp
1980,1981,0.00876889424865107,-0.0047307414053785,0.0134996356540296,-0.00123728271969436,0.00301300300752125,-0.00129726985492791,-0.00330609108461884,-0.00136834122078069,-0.000338619612305099,0.00823863333303934,-0.00843477325361219
1981,1982,8.96050389486702e-05,-0.000333163508712591,0.000422768547661261,-0.00329779989235847,-0.00212419161756067,0.000159144477775333,-0.00229084540039314,-0.00153236373651943,-2.47738661407154e-05,0.00645332952565183,0.00232433700083268
1982,1983,0.0272566028604321,0.0254208775686587,0.00183572529177348,-0.00928198324271334,-0.0104104779148099,-0.00212588896972869,0.00170520151437017,-0.0031262996078532,0.00137450166568462,0.00201157022787282,0.0452742538958362
1983,1984,0.00495771095572828,0.00956024922351329,-0.00460253826778502,-0.00361849694237752,-0.00200630989429353,0.0017778677134586,0.00397233938357599,0.00124760857469255,0.000292002807673838,-0.0061211479485722,0.0140163855293556
1984,1985,0.0106997497333142,-0.0115054006628907,0.0222051503962048,6.10297832787781e-05,0.00411452960832649,0.00159177847044249,-0.00299659496084893,0.00057347328002003,-0.000752065533519992,0.0050866056340711,-0.0191841569446606
1985,1986,0.00187729539988846,-0.0061578978072998,0.00803519320718826,-0.00158975375585639,0.00431452199693352,0.00201601603751397,-0.00171539712083886,0.00350678049157297,-0.000911790338261689,0.00225055005586707,-0.0140288251742304
1986,1987,0.000353973647957973,0.0045453566117252,-0.00419138296376723,-0.00257148418645771,0.00156436430140306,0.00226216899627183,-0.000179244755631275,0.00336810068756412,-0.000157139355296997,-0.0043342956512512,0.00459288657512337
1987,1988,-0.0257353181235423,-0.000961896637054616,-0.0247734214864877,0.00141857458971737,0.00339044504446562,0.00484248408685374,0.00186715338135242,0.00444344151635324,-0.000104009027451088,-0.0128953212585697,-0.00392466496977619
1988,1989,-0.0154229405170974,-0.00794204843126009,-0.00748089208583733,0.00393140486786998,0.00511410193679466,0.00541971887669436,0.00056371955890993,0.00418123875305869,-0.000188837203171561,-0.0128426526962025,-0.0141207425252136
1989,1990,-0.00328924236013001,-0.00721845240962369,0.00392921004949368,0.000343851121774472,0.000801785695238616,0.00194772029520458,-0.00364513833565495,0.000855358853254896,-0.000273199388181955,0.00206936178079914,-0.00931819243205849
1990,1991,0.0146590425604327,0.0164441879120788,-0.00178514535164604,-0.00727422653872519,-0.0103125910077898,-0.00203726351826028,-0.00344074294084954,-0.0013163327682988,0.00105559136675317,0.00713412934961402,0.0326356239696351
1991,1992,0.0159825591889781,0.0118195702111794,0.0041629889777987,-0.00664502424855478,-0.00958592443777031,-0.00264829145141918,-0.00490932311817198,-0.00306774935918463,0.000948429835290681,0.0111873357092749,0.0265401172817147
1992,1993,-0.00109805787822442,0.00365175097650371,-0.00474980885472813,-0.00324395903019385,-0.00615739868254507,0.000429636696410487,-0.00133518540319572,0.00119297523928846,0.00028532244084402,0.00333130541752951,0.00914905429836585
1993,1994,-0.00169286860785478,-0.00433430479605026,0.00264143618819548,-0.000292065188794274,-0.00236535752920941,0.0024412889454791,0.000466807013616072,0.00305475563132799,-0.000264944620849134,-0.00106659807495381,-0.00630819097266679
1994,1995,0.000184373912003988,-0.013833914368644,0.0140182882806479,0.00347690721991239,0.00200091764807715,0.00491846766295907,0.001900642941112,0.004413636895297,-0.000732527079750659,-0.0065301675662402,-0.0232817920900107
1995,1996,-0.00535152084276247,-0.00515564029273394,-0.000195880550028532,0.000210136453164262,-0.00121870284822588,0.00284484649159946,0.000715862154795513,0.0018999442098043,-0.000182413158421396,-0.0023679311747209,-0.0070573824207293
1996,1997,-0.00911035316673087,0.000683303525446372,-0.00979365669217724,-0.00216033774136981,-0.0045603786969849,0.0010960969473459,0.00114202359151175,-0.00032204506522761,0.000206672406679467,0.00120482278011629,0.00407644930337528
1997,1998,-0.0138219760863909,-0.00626287037616047,-0.00755910571023038,-0.000556790866396988,-0.00202625067243212,0.00202961821593595,0.00163116552540442,0.00108829239820276,-0.000368614708991852,0.00111010262478019,-0.00917039289266283
1998,1999,0.00313711146812845,-0.0100159541204536,0.013153065588582,-0.00138560920730813,-0.0016627326097052,-0.000750535018188341,-0.00126140982922935,-0.00164820717047232,-0.000578815720548931,0.0116864196701649,-0.0144150642351662
1999,2000,-0.000660818049257606,-0.00433067718229936,0.00366985913304176,0.000162208971071984,-0.000165188449113008,0.00116018949735263,0.00362275503741633,0.000645359942504526,-0.000249133628725601,-0.00109405669432824,-0.00841281185847799
2000,2001,0.00597893766662716,-0.000557018238521721,0.00653595590514888,-0.000929527236109091,-0.000904649395853836,0.000133086453394407,0.00305434776134726,0.000672495388488601,-7.33445150589547e-05,0.000179150237336278,-0.00268857693206639
2001,2002,-0.00544126749422702,0.00736298092710273,-0.0128042484213298,-0.00292653939900301,-0.00253681257287918,-0.00150788052297434,0.00600268927906411,-0.000517006241610679,0.000235232331756636,-5.0441397590805e-05,0.00866373945033999
2002,2003,-0.00644313808986641,-0.00310485827207122,-0.00333827981779519,-0.000512445673799485,0.00108597538126724,-0.000697135190948473,0.0035105778886373,-0.000331024753329513,-0.000307483132165569,0.00237087399370032,-0.00822419678543303
2003,2004,-0.00115589689098056,-0.0009011806785197,-0.000254716212460857,0.000293145391904143,0.000857511896564733,0.000651144862396803,0.00445840856741737,0.000623657302517696,-9.91871007591367e-06,-0.00352758866386461,-0.00424754132537991
