year,y_actual,yhat_actual,yhat_cf,diff_cf
1980,0.200331470360901,0.21967793366883,0.21967793366883,0
1981,0.207382488721016,0.221589167412588,0.21967793366883,0.00191123374375884
1982,0.21104012470346,0.221725435957031,0.21967793366883,0.00204750228820161
1983,0.231710980526496,0.221503809339601,0.21967793366883,0.00182587567077136
1984,0.237932647333957,0.222246099203051,0.21967793366883,0.00256816553422118
1985,0.243943350956537,0.22387180346834,0.21967793366883,0.00419386979951006
1986,0.24599840549491,0.227453450674164,0.21967793366883,0.00777551700533391
1987,0.247169969533499,0.231223164111966,0.21967793366883,0.0115452304431367
1988,0.23064033734064,0.233619135310173,0.21967793366883,0.0139412016413437
1989,0.220820994172206,0.23537281060639,0.21967793366883,0.01569487693756
1990,0.215899006034789,0.236153198593601,0.21967793366883,0.0164752649247709
1991,0.224650398049114,0.235915951404983,0.21967793366883,0.0162380177361531
1992,0.236566656590085,0.235075446398323,0.21967793366883,0.0153975127294937
1993,0.235905585543405,0.233727434026095,0.21967793366883,0.014049500357265
1994,0.241309372199425,0.232284997223489,0.21967793366883,0.0126070635546591
1995,0.243337235519431,0.230629758436228,0.21967793366883,0.0109518247673987
1996,0.238971505469831,0.229278247374701,0.21967793366883,0.00960031370587103
1997,0.229513505344929,0.226817506726288,0.21967793366883,0.00713957305745797
1998,0.215895963072726,0.224351169247926,0.21967793366883,0.00467323557909644
1999,0.21289315807321,0.221661203511152,0.21967793366883,0.00198326984232255
2000,0.215459059655349,0.219448170357914,0.21967793366883,-0.000229763310915426
2001,0.221646499091682,0.217888564345503,0.21967793366883,-0.00178936932332641
2002,0.217836821676732,0.215862178303192,0.21967793366883,-0.0038157553656375
2003,0.212824238322942,0.214377385482446,0.21967793366883,-0.00530054818638326
2004,0.212831204793613,0.21296305714489,0.21967793366883,-0.00671487652393998
2005,0.211676828543455,0.211776598820201,0.21967793366883,-0.00790133484862857
2006,0.206859694520323,0.210600263493982,0.21967793366883,-0.0090776701748479
2007,0.204437483829415,0.210287163047255,0.21967793366883,-0.0093907706215744
2008,0.202802538051702,0.210723834928694,0.21967793366883,-0.00895409874013575
2009,0.219910121373404,0.212418655901309,0.21967793366883,-0.00725927776752033
2010,0.217022925659472,0.21281299238029,0.21967793366883,-0.00686494128853971
2011,0.211965949324351,0.212768355900275,0.21967793366883,-0.00690957776855508
2012,0.216421130987121,0.214253486043286,0.21967793366883,-0.00542444762554364
2013,0.212452263764165,0.215088979579939,0.21967793366883,-0.00458895408889043
2014,0.216550688804751,0.215463673003733,0.21967793366883,-0.00421426066509689
2015,0.218137088836355,0.215794157620998,0.21967793366883,-0.00388377604783177
2016,0.219830035505786,0.215750611115076,0.21967793366883,-0.00392732255375314
2017,0.212235817195231,0.21575520265892,0.21967793366883,-0.00392273100990997
2018,0.209717767590938,0.215797943807372,0.21967793366883,-0.00387998986145791
2019,0.208070815480407,0.215741875457041,0.21967793366883,-0.00393605821178858
2022,0.231633792142008,0.214030393994335,0.21967793366883,-0.00564753967449447
2023,0.213507326453358,0.220950772016383,0.21967793366883,0.00127283834755382
2024,0.224327654426831,0.225338862972011,0.21967793366883,0.00566092930318124
