year,y_actual,yhat_actual,yhat_cf,diff_cf
1980,0.133234734526428,0.136557466493657,0.136557466493657,0
1981,0.13496747455671,0.136831053016877,0.136557466493657,0.000273586523219571
1982,0.131405132639651,0.136119029642191,0.136557466493657,-0.000438436851465607
1983,0.13797992041951,0.135502172258849,0.136557466493657,-0.00105529423480777
1984,0.136721234798877,0.134975792680587,0.136557466493657,-0.00158167381307045
1985,0.141414527464594,0.134604157101245,0.136557466493657,-0.00195330939241223
1986,0.141232521771127,0.134510236905895,0.136557466493657,-0.00204722958776152
1987,0.140414931380496,0.134361277939476,0.136557466493657,-0.00219618855418127
1988,0.131212325623658,0.133973113901145,0.136557466493657,-0.00258435259251186
1989,0.125608362490398,0.133613385091355,0.136557466493657,-0.0029440814023016
1990,0.12723592868694,0.133083575185807,0.136557466493657,-0.00347389130785039
1991,0.133141229799639,0.13275181920204,0.136557466493657,-0.00380564729161725
1992,0.13720998337364,0.132329106463922,0.136557466493657,-0.0042283600297354
1993,0.136773107276468,0.131890001373475,0.136557466493657,-0.00466746512018237
1994,0.129687278901939,0.131357630786895,0.136557466493657,-0.00519983570676225
1995,0.12783521356913,0.130617035466029,0.136557466493657,-0.00594043102762779
1996,0.126851312835013,0.129894189434846,0.136557466493657,-0.00666327705881098
1997,0.127200667801257,0.129103314047448,0.136557466493657,-0.00745415244620917
1998,0.126990939518188,0.128289991672653,0.136557466493657,-0.00826747482100354
1999,0.133130945282907,0.127768834856924,0.136557466493657,-0.00878863163673321
2000,0.129908850453484,0.127474172106025,0.136557466493657,-0.00908329438763153
2001,0.129695918361581,0.127515486493408,0.136557466493657,-0.00904198000024914
2002,0.128065740907216,0.127801626220007,0.136557466493657,-0.00875584027365015
2003,0.126636430131711,0.128014496787712,0.136557466493657,-0.00854296970594504
2004,0.125473480463432,0.128146719467693,0.136557466493657,-0.00841074702596359
2005,0.12575187441779,0.128336095567406,0.136557466493657,-0.00822137092625114
2006,0.127653149784228,0.128331834888592,0.136557466493657,-0.00822563160506545
2007,0.125813116661254,0.128687447830471,0.136557466493657,-0.00787001866318624
2008,0.127152660334253,0.129187704941369,0.136557466493657,-0.00736976155228808
2009,0.131717610836169,0.130096448771768,0.136557466493657,-0.00646101772188865
2010,0.140496115107914,0.131156257918556,0.136557466493657,-0.00540120857510082
2011,0.136261206491254,0.132266923616165,0.136557466493657,-0.00429054287749189
2012,0.134633637465407,0.133883441368621,0.136557466493657,-0.00267402512503603
2013,0.133432534520973,0.135354685130861,0.136557466493657,-0.00120278136279625
2014,0.131092275211904,0.136756944279164,0.136557466493657,0.000199477785506774
2015,0.132180311450186,0.138109207961208,0.136557466493657,0.00155174146755119
2016,0.136226156049315,0.139427834383958,0.136557466493657,0.00287036789030129
2017,0.139227624924446,0.14039622486622,0.136557466493657,0.00383875837256339
2018,0.141562451819408,0.141298226042463,0.136557466493657,0.00474075954880551
2019,0.142299273691332,0.142154354164428,0.136557466493657,0.00559688767077096
2022,0.14790621029293,0.144396480315832,0.136557466493657,0.00783901382217547
2023,0.145529217167338,0.145159419926048,0.136557466493657,0.00860195343239067
2024,0.149043054505084,0.145921457195894,0.136557466493657,0.00936399070223651
