year,y_actual,yhat_actual,yhat_cf,diff_cf
1980,0.333581069029074,0.356238191934301,0.356238191934301,0
1981,0.342349963277725,0.358422698527772,0.356238191934301,0.00218450659347047
1982,0.342439568316674,0.357846710597838,0.356238191934301,0.00160851866353634
1983,0.369696171177106,0.357008040198231,0.356238191934301,0.000769848263929451
1984,0.374653882132834,0.357223625854458,0.356238191934301,0.000985433920156598
1985,0.385353631866149,0.358477301487187,0.356238191934301,0.00223910955288587
1986,0.387230927266037,0.361964403779294,0.356238191934301,0.005726211844993
1987,0.387584900913995,0.365584547869651,0.356238191934301,0.00934635593534994
1988,0.361849582790453,0.367591926146509,0.356238191934301,0.0113537342122081
1989,0.346426642273355,0.368985553305815,0.356238191934301,0.0127473613715141
1990,0.343137399913225,0.369235931680578,0.356238191934301,0.0129977397462772
1991,0.357796442473658,0.368666883644702,0.356238191934301,0.0124286917104008
1992,0.373779001662636,0.367403680312949,0.356238191934301,0.0111654883786472
1993,0.372680943784412,0.365616627066397,0.356238191934301,0.00937843513209546
1994,0.370988075176557,0.363641877139371,0.356238191934301,0.00740368520506995
1995,0.371172449088561,0.361246097105797,0.356238191934301,0.00500790517149613
1996,0.365820928245798,0.359171736971195,0.356238191934301,0.00293354503689414
1997,0.356710575079068,0.355920223571113,0.356238191934301,-0.000317968363188037
1998,0.342888598992677,0.352640657471143,0.356238191934301,-0.0035975344631583
1999,0.346025710460805,0.349429683343226,0.356238191934301,-0.00680850859107574
2000,0.345364892411548,0.346922101450402,0.356238191934301,-0.00931609048389936
2001,0.351343830078175,0.345403887729081,0.356238191934301,-0.0108343042052204
2002,0.345902562583948,0.343663768964094,0.356238191934301,-0.0125744229702072
2003,0.339459424494081,0.342391913045776,0.356238191934301,-0.0138462788885252
2004,0.338303527603101,0.341109869024679,0.356238191934301,-0.0151283229096226
2005,0.337429783628752,0.340112828494589,0.356238191934301,-0.0161253634397122
2006,0.334513844172569,0.338932265819326,0.356238191934301,-0.0173059261149754
2007,0.330250600490668,0.338974777271981,0.356238191934301,-0.0172634146623202
2008,0.329956046098614,0.339911642777279,0.356238191934301,-0.016326549157022
2009,0.351629317650155,0.342515060410824,0.356238191934301,-0.0137231315234769
2010,0.357520575539568,0.343969225270989,0.356238191934301,-0.0122689666633122
2011,0.34822504121705,0.345035328936345,0.356238191934301,-0.011202862997956
2012,0.351054101447468,0.348136995296363,0.356238191934301,-0.00810119663793868
2013,0.345886749357447,0.35044380700156,0.356238191934301,-0.00579438493274176
2014,0.347643589009624,0.352220867067026,0.356238191934301,-0.0040173248672758
2015,0.350317400286541,0.353903721382431,0.356238191934301,-0.00233447055187075
2016,0.356054985106391,0.355178957259558,0.356238191934301,-0.00105923467474317
2017,0.351464011264515,0.356152021529178,0.356238191934301,-8.61704051232648e-05
2018,0.351282390929997,0.357096823278693,0.356238191934301,0.000858631344391958
2019,0.35037060286342,0.357896940549451,0.356238191934301,0.00165874861514975
2022,0.379540431121255,0.358427872579272,0.356238191934301,0.00218968064497088
2023,0.359035764314396,0.366110357035421,0.356238191934301,0.00987216510111988
2024,0.373371457042375,0.371259962450616,0.356238191934301,0.0150217705163148
