fin_year,etf_broad,value,total,share
1999,Employees,90084.0336134455,316890.025575448,0.284275383707202
2000,Employees,86996.85204617,317965.722280518,0.273604498693161
2001,Employees,87890.1172529313,332775.879396985,0.264112042652234
2002,Employees,91584.9056603772,341303.838646714,0.2683383404755
2003,Employees,96130.4623179228,346865.104496517,0.277140770494797
2004,Employees,100794.554455446,364657.178217822,0.27640907810469
2005,Employees,104615.848147032,378571.858993673,0.276343435629696
2006,Employees,108872.854233343,387397.148676171,0.28103679803888
2007,Employees,113567.244810919,408669.889110037,0.277894818867704
2008,Employees,118249.591280654,420372.752043597,0.281296993455918
2009,Employees,126418.206157965,471140.026773762,0.268324062855883
2010,Employees,131652.445369407,477625.390218523,0.27563954527035
2011,Employees,136396.877360866,489308.486527323,0.278754366859423
2012,Employees,142123.236822569,516389.012620639,0.275225137152518
2013,Employees,146191.304347826,521057.971014493,0.280566294884989
2014,Employees,143609.710110771,530571.765260429,0.270669718054598
2015,Employees,145763.640585094,540340.840492222,0.269762397475473
2016,Employees,151540.577716644,548802.384227419,0.276129590672198
2017,Employees,155468.405666742,558799.190465483,0.278218738178979
2018,Employees,158334.510150044,569284.201235658,0.27812911337847
2019,Employees,165302.931596091,588434.31053203,0.280919940658513
2020,Employees,176597.760551249,680181.739879414,0.259633198301614
2021,Employees,178317.772660665,731433.117019049,0.243792314719626
2022,Employees,176191.673212883,680579.732914376,0.258884690054457
2023,Employees,175159.382555329,658723.451738889,0.26590731223087
2024,Employees,185768.162970975,692044.708851631,0.268433759546021
1999,Non-employee expenses,87085.1297040556,316890.025575448,0.274811835891381
2000,Non-employee expenses,91364.8128716334,317965.722280518,0.287341705314477
2001,Non-employee expenses,94274.0368509213,332775.879396985,0.28329588376944
2002,Non-employee expenses,96887.4430709174,341303.838646714,0.283874460524911
2003,Non-employee expenses,99174.1608613046,346865.104496517,0.285915647252145
2004,Non-employee expenses,103865.099009901,364657.178217822,0.284829437658454
2005,Non-employee expenses,109594.456161494,378571.858993673,0.28949446071565
2006,Non-employee expenses,112810.008728542,387397.148676171,0.291199894253329
2007,Non-employee expenses,121100.938299687,408669.889110037,0.296329486283928
2008,Non-employee expenses,125145.504087194,420372.752043597,0.297701274592162
2009,Non-employee expenses,133853.815261044,471140.026773762,0.284106226714887
2010,Non-employee expenses,138070.75962539,477625.390218523,0.289077512320315
2011,Non-employee expenses,142821.455552757,489308.486527323,0.291884280541253
2012,Non-employee expenses,151582.281613462,516389.012620639,0.293542809604318
2013,Non-employee expenses,150960.38647343,521057.971014493,0.28971898497112
2014,Non-employee expenses,154396.417629036,530571.765260429,0.29100006396543
2015,Non-employee expenses,159895.983283028,540340.840492222,0.295916894117
2016,Non-employee expenses,166169.64695094,548802.384227419,0.302785942128999
2017,Non-employee expenses,175687.879469305,558799.190465483,0.314402530402659
2018,Non-employee expenses,183316.857899382,569284.201235658,0.322012902345585
2019,Non-employee expenses,195874.049945711,588434.31053203,0.332873264593651
2020,Non-employee expenses,213549.526270456,680181.739879414,0.313959510745342
2021,Non-employee expenses,224695.834205568,731433.117019049,0.307199426683488
2022,Non-employee expenses,236073.055773763,680579.732914376,0.346870534570361
2023,Non-employee expenses,238177.422354473,658723.451738889,0.361574226218507
2024,Non-employee expenses,252716.062736614,692044.708851631,0.365173029291659
1999,Depreciation,16086.2257946657,316890.025575448,0.0507628025383707
2000,Depreciation,16698.1462049668,317965.722280518,0.052515554460412
2001,Depreciation,16451.5912897822,332775.879396985,0.0494374511746277
2002,Depreciation,17380.611581002,341303.838646714,0.0509241608588901
2003,Depreciation,17546.5484483851,346865.104496517,0.0505860872740551
