fin_year,etf_broad,value,total,share
2004,Depreciation,17053.2178217822,364657.178217822,0.0467650682351184
2005,Depreciation,17672.7930099428,378571.858993673,0.0466827963835477
2006,Depreciation,18078.5568810009,387397.148676171,0.0466667267500022
2007,Depreciation,18969.5763434746,408669.889110037,0.0464178468954116
2008,Depreciation,18971.1171662125,420372.752043597,0.045129274135839
2009,Depreciation,21089.156626506,471140.026773762,0.0447619718726062
2010,Depreciation,21739.8543184183,477625.390218523,0.0455165381984235
2011,Depreciation,21727.5245530093,489308.486527323,0.04440455285624
2012,Depreciation,22679.5347686216,516389.012620639,0.0439194758492722
2013,Depreciation,24331.4009661836,521057.971014493,0.0466961496027221
2014,Depreciation,24947.4428470422,530571.765260429,0.0470199216778843
2015,Depreciation,25998.6069189691,540340.840492222,0.0481151987239864
2016,Depreciation,27021.5497478221,548802.384227419,0.0492373038536666
2017,Depreciation,28143.9172475826,558799.190465483,0.0503649928772063
2018,Depreciation,28573.6981465137,569284.201235658,0.050192325879575
2019,Depreciation,29183.9305103149,588434.31053203,0.049595902189878
2020,Depreciation,29987.0801033592,680181.739879414,0.044086864355805
2021,Depreciation,29872.3047938036,731433.117019049,0.0408407878980761
2022,Depreciation,28847.604084839,680579.732914376,0.0423868103760714
2023,Depreciation,29182.815696485,658723.451738889,0.0443020748987282
2024,Depreciation,31309.8972417523,692044.708851631,0.0452425932042852
1999,Transfers,97316.7701863354,316890.025575448,0.307099505608028
2000,Transfers,99998.6009094088,317965.722280518,0.314494909049308
2001,Transfers,111828.475711893,332775.879396985,0.336047420006926
2002,Transfers,114791.151594014,341303.838646714,0.336331264392357
2003,Transfers,113802.406586447,346865.104496517,0.328088369545372
2004,Transfers,123940.594059406,364657.178217822,0.339882501875151
2005,Transfers,128015.66736969,378571.858993673,0.338154208582707
2006,Transfers,129518.766366017,387397.148676171,0.334330716704068
2007,Transfers,137304.520898493,408669.889110037,0.335979049490291
2008,Transfers,140711.716621253,420372.752043597,0.334730821484501
2009,Transfers,170086.211512718,471140.026773762,0.361009894823459
2010,Transfers,162859.521331946,477625.390218523,0.340977520599218
2011,Transfers,161608.662805339,489308.486527323,0.330279705451858
2012,Transfers,169207.621875773,516389.012620639,0.327674713714485
2013,Transfers,168859.903381643,521057.971014493,0.324071241157437
2014,Transfers,174214.470893236,530571.765260429,0.328352321589754
2015,Transfers,173563.965637335,540340.840492222,0.32121200662757
2016,Transfers,169142.595139844,548802.384227419,0.308203098239007
2017,Transfers,166718.237013717,558799.190465483,0.298350892160098
2018,Transfers,164936.451897617,569284.201235658,0.289726030582993
2019,Transfers,164053.854505972,588434.31053203,0.278797227778311
2020,Transfers,229347.114556417,680181.739879414,0.337185050861666
2021,Transfers,269425.162235713,731433.117019049,0.368352424803724
2022,Transfers,208236.449332286,680579.732914376,0.305969218978321
2023,Transfers,176653.152315418,658723.451738889,0.268174985798807
2024,Transfers,178756.80548044,692044.708851631,0.258302394619946
1999,Interest expenses,26317.8662769456,316890.025575448,0.0830504722550177
2000,Interest expenses,22907.3102483386,317965.722280518,0.0720433324826415
2001,Interest expenses,22331.6582914573,332775.879396985,0.0671072023967721
2002,Interest expenses,20659.7267404034,341303.838646714,0.0605317737483416
2003,Interest expenses,20211.5262824573,346865.104496517,0.0582691254336315
2004,Interest expenses,19003.7128712871,364657.178217822,0.0521139141265871
2005,Interest expenses,18673.0943055137,378571.858993673,0.0493250986883993
2006,Interest expenses,18116.962467268,387397.148676171,0.0467658642537199
2007,Interest expenses,17727.6087574638,408669.889110037,0.0433787984626645
2008,Interest expenses,17294.8228882834,420372.752043597,0.0411416363315806
2009,Interest expenses,19692.6372155288,471140.026773762,0.0417978437331648
2010,Interest expenses,23302.8095733611,477625.390218523,0.0487888836116933
2011,Interest expenses,26753.9662553513,489308.486527323,0.0546770942912255
2012,Interest expenses,30796.3375402128,516389.012620639,0.0596378636794062
2013,Interest expenses,30714.9758454106,521057.971014493,0.0589473293837325
2014,Interest expenses,33403.7237803441,530571.765260429,0.0629579747123332
2015,Interest expenses,35118.6440677966,540340.840492222,0.06499350305597
2016,Interest expenses,34928.0146721687,548802.384227419,0.0636440651061292
2017,Interest expenses,32780.7510681358,558799.190465483,0.0586628463810574
2018,Interest expenses,34122.6831421006,569284.201235658,0.0599396278133764
2019,Interest expenses,34019.5439739414,588434.31053203,0.0578136647796468
2020,Interest expenses,30700.2583979328,680181.739879414,0.0451353757355725
2021,Interest expenses,29122.0431232991,731433.117019049,0.0398150458950859
2022,Interest expenses,31230.9505106049,680579.732914376,0.04588874602079
2023,Interest expenses,39550.6788171843,658723.451738889,0.0600414008530879
2024,Interest expenses,43493.7804218496,692044.708851631,0.0628482233380884
