table_no,sheet_no,table_title,date,series,value,series_type,data_type,collection_month,frequency,series_id,unit,.__txt
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-09-01,General government - State and local ;  Final consumption expenditure: Percentage changes ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2304123J,Percent,General government - State and local ;  Final consumption expenditure: Percentage changes ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-09-01,General government ;  Final consumption expenditure: Percentage changes ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2304125L,Percent,General government ;  Final consumption expenditure: Percentage changes ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-09-01,General government - National ;  Final consumption expenditure - Defence ;,2102,Original,DERIVED,3,Quarter,A2302479K,$ Millions,General government - National ;  Final consumption expenditure - Defence ; | Original
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-09-01,General government - National ;  Final consumption expenditure - Non-defence ;,2281,Original,DERIVED,3,Quarter,A2302480V,$ Millions,General government - National ;  Final consumption expenditure - Non-defence ; | Original
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-09-01,General government - National ;  Final consumption expenditure ;,4115,Original,DERIVED,3,Quarter,A2302481W,$ Millions,General government - National ;  Final consumption expenditure ; | Original
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-09-01,General government - State and local ;  Final consumption expenditure ;,6693,Original,DERIVED,3,Quarter,A2302482X,$ Millions,General government - State and local ;  Final consumption expenditure ; | Original
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-09-01,General government ;  Final consumption expenditure ;,10816,Original,DERIVED,3,Quarter,A2302483A,$ Millions,General government ;  Final consumption expenditure ; | Original
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-09-01,General government - National ;  Final consumption expenditure - Defence: Contributions to growth ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2303946C,Index Points,General government - National ;  Final consumption expenditure - Defence: Contributions to growth ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-09-01,General government - National ;  Final consumption expenditure - Non-defence: Contributions to growth ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2303948J,Index Points,General government - National ;  Final consumption expenditure - Non-defence: Contributions to growth ; | Seasonally Adjusted
5206002_expenditure_volume_measures,Data1,"Table 2. Expenditure on Gross Domestic Product (GDP), Chain volume measures",1959-09-01,General government - National ;  Final consumption expenditure: Contributions to growth ;,,Seasonally Adjusted,DERIVED,3,Quarter,A2298900T,Index Points,General government - National ;  Final consumption expenditure: Contributions to growth ; | Seasonally Adjusted
