year,y_actual,yhat_full,yhat_cf_Demography,impact_Demography,yhat_cf_RelPrices,impact_RelPrices,yhat_cf_UR,impact_UR,yhat_cf_ToT,impact_ToT,yhat_cf_AllFixed
1980,0.333581069029074,0.351303294909201,0.337330825017311,0.0139724698918909,0.340384357443535,0.0109189374656662,0.364787723501642,-0.01348442859244,0.352640177318532,-0.00133688240933033,0.341233198553415
1981,0.342349963277725,0.342429944744707,0.327842669384595,0.0145872753601121,0.337413402060498,0.00501654268420926,0.359711666215199,-0.0172817214704912,0.343555295127245,-0.00112535038253758,0.341233198553415
1982,0.342439568316674,0.34085875511327,0.327213102635314,0.013645652477956,0.340279018393885,0.000579736719385493,0.354595537081442,-0.0137367819681714,0.341721805782585,-0.000863050669314525,0.341233198553415
1983,0.369696171177106,0.374446427261944,0.360700076705416,0.0137463505565287,0.374215269803608,0.000231157458336129,0.354516881520399,0.0199295457415452,0.375140252309825,-0.000693825047880292,0.341233198553415
1984,0.374653882132834,0.387174499056644,0.373480889297189,0.0136936097594553,0.382313733308358,0.00486076574828626,0.358822988018981,0.0283515110376632,0.38813908509882,-0.000964586042175031,0.341233198553415
1985,0.385353631866149,0.369868253860898,0.357254987399242,0.0126132664616564,0.368998107969687,0.000870145891211149,0.353904327923398,0.0159639259375002,0.370680536843782,-0.000812282982884272,0.341233198553415
1986,0.387230927266037,0.359715617186238,0.349073716929445,0.0106419002567929,0.36053664406521,-0.000821026878971787,0.351857893633049,0.00785772355318976,0.358911795484426,0.000803821701812479,0.341233198553415
1987,0.387584900913995,0.364221227626213,0.356679246751859,0.00754198087435415,0.361976096588692,0.00224513103752116,0.352577186182485,0.0116440414437279,0.362664351909018,0.00155687571719476,0.341233198553415
1988,0.361849582790453,0.362580544579107,0.358179409655687,0.00440113492342042,0.351796882225668,0.0107836623534397,0.35679029219743,0.00579025238167724,0.362208248211952,0.000372296367155245,0.341233198553415
1989,0.346426642273355,0.351603503729797,0.350120722621416,0.00148278110838107,0.332744774977434,0.0188587287523637,0.359713226578383,-0.00810972284858563,0.353464985565574,-0.00186148183577639,0.341233198553415
