y0,y1,d_actual,d_hat,unexplained,0_14,15_34,35_54,55_64,65p,tot,rp_g,unemp
1980,1981,0.00285709437273068,0.000884956625331708,0.00197213774739898,-0.000125464723267869,0.000518319112734721,0.000252001158895424,0.000451548001002895,0.00225080479308277,-4.18602360128065e-05,-0.00113752145303612,-0.00128287002806731
1981,1982,0.00144007309286953,0.000489311657621237,0.000950761435248295,-0.000764034244018867,-0.000675099382285632,0.000402022098607378,0.000426734953182584,0.00245959707900246,9.16701581672034e-05,-0.00155838329807429,0.000106804293040395
1982,1983,0.00284594608136587,0.00063926269404447,0.0022066833873214,-0.00167317253723613,-0.00184435643198651,-0.000526595955514915,-0.000645689212773821,-0.00322656883599469,0.000259802658093479,0.000884756144336727,0.00741108686512033
1983,1984,-0.00102663879968293,0.000190215179289796,-0.00121685397897272,-0.000518115937222763,-0.000126510995196628,-2.92709021467636e-05,-0.000190272370755105,-0.00171774355747876,9.43317411498588e-05,0.000615397717797173,0.00206239948314279
1984,1985,0.00555322571037586,0.000547659281904301,0.00500556642847156,7.55030141127569e-05,0.000691214771676107,0.000682856159673136,0.000591870516265431,0.00323149652215172,-0.000119574912099563,-0.00141510432270834,-0.00319060246716695
1985,1986,0.00290688905911048,0.00138742602299296,0.00151946303611752,-0.000111487420833938,0.000899497949260625,0.000807522961245863,0.000524821541155813,0.00381435944126291,-0.000687173264465613,-0.0013501727907811,-0.0025099423938516
1986,1987,-0.000340116143761601,0.00114377834684194,-0.00148389449060354,-0.000123415340770092,0.000684786747279652,0.000236766480394022,-0.000519414046132513,-0.000476803985346233,-0.000412612903511144,0.000823751922047416,0.000930719472880833
1987,1988,-0.0036239419066371,0.000184187076665295,-0.0038081289833024,0.000562388000859474,0.00105613099376115,0.000114769516461059,-0.000801878046419101,-0.00218124127762575,0.000161737825258609,0.00172935615683877,-0.000457076092468917
1988,1989,-0.00339796959235744,-6.76918022247684e-06,-0.00339120041213497,0.000919721496365565,0.00122827572584534,0.000172838694456705,-0.000716155628342322,-0.00151233870921961,0.000532654873999397,0.00147012468308831,-0.00210189031641586
1989,1990,-0.00161838135796624,0.000497122534228816,-0.00211550389219506,-6.08663654179186e-05,-7.75246705325435e-05,0.000499196990037207,7.16972979500225e-05,0.00251086964933534,8.20140728973313e-05,-0.000943467964308191,-0.00158479647573243
1990,1991,0.00333414376955529,0.00135104284355706,0.00198310092599823,-0.00131645545267845,-0.00192367436843448,-0.000149070298374705,-0.000732365024369879,-0.00113821219221096,-9.07308848739868e-05,0.00089774279500704,0.00580380826949248
1991,1992,0.00410029996233852,0.00118635870090388,0.00291394126143463,-0.00135849382353632,-0.00203082825386339,-5.07003215807968e-05,-0.000355418180057821,0.000330377380034854,0.000128098941029474,-0.000139407151218101,0.00466273011009599
1992,1993,0.000219211658162882,0.000840701643146774,-0.000621489984983892,-0.00076871999996076,-0.00135033473651715,0.00034174025811258,9.71711184677369e-05,0.00164839329389139,-8.4174751528001e-05,-0.000432346591099966,0.00138897305178094
1993,1994,-0.00013326915414931,0.000217559864715488,-0.000350829018864797,-0.000131667367403071,-0.000507380438764417,0.000552988628638169,0.000299299165082769,0.00166247136890185,-0.000214256884816632,-0.000262838165003936,-0.00118105644191924
1994,1995,0.000872837084086725,-0.000643037891505845,0.00151587497559257,0.000667857942009489,0.000453888595100061,0.000690711707536679,0.000330193340006319,0.000972928622000574,-9.39744611978892e-05,0.000220361271222218,-0.0038850049081833
1995,1996,-0.000990830887145869,-0.000225184642565284,-0.000765646244580584,3.67420472089593e-05,-0.000210663210308964,0.000413268067330283,0.000122743768173315,0.000329036800000351,7.77551999654886e-05,0.00017230316966271,-0.00116637048459743
1996,1997,-0.0029137618721503,-0.000388713733307308,-0.00252504813884299,-0.000371585330067799,-0.000802180422049778,0.000181446259541758,0.000101379098867149,-0.000942864919949152,0.000157021100998667,0.000489889137000909,0.000798181342350938
1997,1998,-1.32636147396475e-05,-0.00060819400116337,0.000594930386423723,-4.29651684734128e-05,-0.000303336177877978,0.000500105649679313,0.000501873652169674,0.00034587352369888,-0.000177356047110316,3.22190966231646e-05,-0.0014646085298727
1998,1999,-0.000825745300647635,-0.000513581711537847,-0.000312163589109788,-9.95587496359844e-05,-0.000250606631859078,0.000553864544343145,0.000905738791137753,0.00124235561729858,-0.000414592064630177,-0.000480695458461592,-0.00197008775973049
1999,2000,0.00159730108961785,-0.000401132836480984,0.00199843392609883,-0.000104268828640062,-0.000155134518040043,0.000290934350324513,0.000863786377623894,0.00134914896313771,0.000221746765656292,-0.000972205446183955,-0.00189514050035934
2000,2001,0.000257193716746235,-7.70122392312514e-05,0.000334205955977486,-5.18404856302881e-05,-9.85614520690135e-06,9.62467940649226e-05,0.000474065300994425,-0.000390008204461646,3.14261760736005e-05,0.00023766575133307,-0.000464711426398434
2001,2002,-0.000107340336406275,-0.00026660662515978,0.000159266288753505,-0.000299325936666699,-0.000128469863302247,-0.000257647031144315,0.00048775353770355,-0.00230921675464251,2.01983584735625e-05,0.000817369511595253,0.00140273155282362
2002,2003,0.000275355105475203,-0.00031995070425614,0.000595305809731343,8.11345554378237e-05,0.000393868001861007,8.97267184980679e-05,0.000802040629307994,-0.000141913018744389,-3.16414565634356e-05,-0.00012276275681747,-0.00139040337723574
2003,2004,-0.000428225970000487,-0.000356378087649198,-7.18478823512889e-05,0.00019741828784638,0.000376339210917359,-7.34126096899288e-05,0.000380774580454805,-0.00133968566215952,0.00033053381705503,0.000543776703886633,-0.000772122415959956
