year,y_actual,yhat_full,yhat_cf_Demography,impact_Demography,yhat_cf_RelPrices,impact_RelPrices,yhat_cf_PopGrowth,impact_PopGrowth,yhat_cf_ToT,impact_ToT,yhat_cf_AllFixed
1980,0.172156489684286,0.1814221710431,0.189198823204411,-0.00777665216131104,0.180093494041518,0.00132867700158212,0.181517960304743,-9.57892616437195e-05,0.178664342619997,0.00275782842310246,0.18520810704137
1981,0.177775154758158,0.180638534224732,0.186596054168695,-0.00595751994396338,0.180074100035488,0.000564434189243429,0.183087850348987,-0.00244931612425553,0.177365705162394,0.00327282906233731,0.18520810704137
1982,0.177309886959045,0.178078418021171,0.184146945788327,-0.00606852776715569,0.178088462021528,-1.00440003569235e-05,0.182010963850376,-0.0039325458292053,0.175196989444652,0.00288142857651885,0.18520810704137
1983,0.186176183825661,0.180911008265054,0.186929309707336,-0.00601830144228141,0.1809661863516,-5.51780865458429e-05,0.182062406146593,-0.00115139788153831,0.177983229631004,0.00292777863404997,0.18520810704137
1984,0.183372310570627,0.182894709224176,0.188277226987087,-0.00538251776291113,0.182350445052021,0.000544264172154557,0.182767181426251,0.000127527797924298,0.180497381248538,0.0023973279756381,0.18520810704137
1985,0.192169352612693,0.1827079211922,0.187152774763286,-0.00444485357108595,0.182680362976775,2.75582154254384e-05,0.183582115150362,-0.000874193958162156,0.179916617727547,0.00279130346465276,0.18520810704137
1986,0.19397384398381,0.185253823842007,0.187666887012457,-0.00241306317045012,0.185445238887756,-0.000191415045749099,0.18699915928104,-0.00174533543903269,0.180858293386138,0.00439553045586921,0.18520810704137
1987,0.193518182072281,0.187131779795433,0.18796164500166,-0.000829865206227048,0.186926188331801,0.000205591463631943,0.189445439333152,-0.00231365953771842,0.182270173761056,0.00486160603437674,0.18520810704137
1988,0.184336083928577,0.186688783425482,0.186973493136412,-0.000284709710929726,0.1853776218623,0.00131116156318209,0.189878188416209,-0.00318940499072667,0.183045153902896,0.00364362952258637,0.18520810704137
1989,0.177499341760607,0.18511016993781,0.185117646580486,-7.47664267561343e-06,0.182753447770325,0.00235672216748511,0.188731554023635,-0.00362138408582471,0.183935968480355,0.00117420145745539,0.18520810704137
1990,0.177101822269554,0.186192129454866,0.186585776743609,-0.000393647288742277,0.184078022600548,0.00211410685431843,0.188192893176268,-0.00200076372140132,0.184927802885545,0.00126432656932149,0.18520810704137
1991,0.186301910683893,0.187771024855502,0.188343535377487,-0.000572510521984343,0.186212700262726,0.00155832459277669,0.18820757361157,-0.000436548756067995,0.185757372356094,0.00201365249940816,0.18520810704137
1992,0.195142457678356,0.187934070811116,0.188945845276768,-0.00101177446565265,0.18731952154813,0.000614549262985986,0.187190184791968,0.000743886019147655,0.185554767857851,0.00237930295326488,0.18520810704137
1993,0.193681992733886,0.189926036127669,0.191392443607029,-0.00146640747936075,0.189577146190876,0.000348889936792274,0.187430368644239,0.00249566748342944,0.186586256982231,0.00333977914543782,0.18520810704137
1994,0.187834193069795,0.189183306978104,0.191264413424514,-0.00208110644640938,0.188742279002554,0.00044102797555054,0.187247708137844,0.00193559884026046,0.185503627410772,0.00367967956733281,0.18520810704137
1995,0.185993233971989,0.187151173315727,0.190262528752819,-0.00311135543709221,0.186189014344303,0.00096215897142321,0.186362639676392,0.000788533639334343,0.183847444215035,0.00330372910069141,0.18520810704137
1996,0.18569830121493,0.185413579195353,0.189286247727357,-0.00387266853200385,0.184263628695431,0.00114995049992206,0.185387417611376,2.61615839765028e-05,0.182511550593265,0.00290202860208824,0.18520810704137
1997,0.182914938095255,0.184784521024716,0.189568886395696,-0.00478436537098023,0.183724765180317,0.00105975584439921,0.183754650333814,0.00102987069090132,0.18251336820569,0.00227115281902557,0.18520810704137
1998,0.182322475796588,0.185029895537044,0.190724480700199,-0.00569458516315438,0.18406922973713,0.000960665799914134,0.183350466248256,0.00167942928878823,0.182153616966918,0.00287627857012648,0.18520810704137
1999,0.187184304372771,0.183759636208744,0.189826637938998,-0.00606700173025368,0.183844744591821,-8.51083830768207e-05,0.182820651600846,0.000938984607897902,0.179994981535937,0.00376465467280657,0.18520810704137
