year,y_actual,yhat_actual,yhat_cf,diff_cf
1980,0.20747337563546,0.215497851170899,0.215497851170899,0
1981,0.211430292632778,0.217125565375223,0.215497851170899,0.00162771420432389
1982,0.208981423620974,0.216543043146216,0.215497851170899,0.00104519197531697
1983,0.220579644550636,0.21589246699185,0.215497851170899,0.0003946158209506
1984,0.220786380370391,0.215833059899957,0.215497851170899,0.000335208729058151
1985,0.231403170940679,0.216517918130128,0.215497851170899,0.00102006695922863
1986,0.234542190030282,0.218656779074347,0.215497851170899,0.00315892790344754
1987,0.234279632182304,0.220665860098752,0.215497851170899,0.0051680089278531
1988,0.218343633964087,0.221586258691374,0.215497851170899,0.00608840752047526
1989,0.208227719417147,0.2223022940707,0.215497851170899,0.00680444289980112
1990,0.209263850352429,0.222257239720591,0.215497851170899,0.00675938854969191
1991,0.218946391564208,0.222346930110394,0.215497851170899,0.0068490789394948
1992,0.227654049617573,0.221965162534417,0.215497851170899,0.00646731136351772
1993,0.227026686807654,0.221413066919013,0.215497851170899,0.00591521574811404
1994,0.219663735647319,0.220567117366144,0.215497851170899,0.00506926619524509
1995,0.217930146467085,0.219180002290153,0.215497851170899,0.00368215111925416
1996,0.215196299532535,0.217989096421997,0.215497851170899,0.00249124525109759
1997,0.212001357912264,0.216186473075795,0.215497851170899,0.00068862190489552
1998,0.209936106402399,0.214307690417023,0.215497851170899,-0.00119016075387579
1999,0.215581782218878,0.212728759925117,0.215497851170899,-0.00276909124578181
2000,0.214822222791208,0.211630541018971,0.215497851170899,-0.00386731015192807
2001,0.214904242000429,0.211440281475437,0.215497851170899,-0.00405756969546242
2002,0.212705049473197,0.211290942957018,0.215497851170899,-0.00420690821388134
2003,0.212266177847656,0.211232567263108,0.215497851170899,-0.00426528390779077
2004,0.209363933092308,0.211149793709779,0.215497851170899,-0.00434805746111999
2005,0.21182584903075,0.211260961936499,0.215497851170899,-0.00423688923440016
2006,0.212412419007234,0.211012340534781,0.215497851170899,-0.00448551063611832
2007,0.211222252546474,0.211762990022718,0.215497851170899,-0.00373486114818145
2008,0.211897624501369,0.212860531956629,0.215497851170899,-0.00263731921427052
2009,0.217097839657379,0.215301994215182,0.215497851170899,-0.000195856955716972
2010,0.229146778773192,0.217786272491593,0.215497851170899,0.00228842132069354
2011,0.22378924586109,0.220283622879251,0.215497851170899,0.00478577170835209
2012,0.224606658813581,0.224346818197108,0.215497851170899,0.00884896702620924
2013,0.220498768879661,0.227741391860902,0.215497851170899,0.0122435406900032
2014,0.218690672273561,0.230839344847617,0.215497851170899,0.0153414936767178
2015,0.22240829654276,0.233841261706872,0.215497851170899,0.0183434105359727
2016,0.231214748078889,0.236622316346497,0.215497851170899,0.021124465175598
2017,0.233971293764707,0.23879662752322,0.215497851170899,0.0232987763523208
2018,0.236850972732972,0.240986374399533,0.215497851170899,0.025488523228634
2019,0.241602830028427,0.243109516946345,0.215497851170899,0.0276116657754459
2022,0.258469326219235,0.249513167339956,0.215497851170899,0.0340153161690568
2023,0.251533642313157,0.253722202744093,0.215497851170899,0.038224351573194
2024,0.261924678699111,0.257232283881039,0.215497851170899,0.0417344327101394
2025,0.271156557770968,0.26030316888216,0.215497851170899,0.0448053177112607
