year,y_actual,yhat_full,yhat_cf_Demography,impact_Demography,yhat_cf_RelPrices,impact_RelPrices,yhat_cf_UR,impact_UR,yhat_cf_ToT,impact_ToT,yhat_cf_AllFixed
1980,0.133234734526428,0.13537970515431,0.126413343314718,0.0089663618395919,0.1325834124812,0.00279629267310977,0.13765675594025,-0.00227705078594029,0.135325941656416,5.37634978940438e-05,0.125840337929655
1981,0.13496747455671,0.133846472041147,0.12486741829749,0.00897905374365623,0.131946294340495,0.00190017770065201,0.136764825989279,-0.00291835394813217,0.133801215425831,4.52566153158751e-05,0.125840337929655
1982,0.131405132639651,0.133391137065585,0.125153047181634,0.00823808988395106,0.131793455891568,0.00159768117401682,0.135710817068541,-0.00231968000295682,0.133356428984666,3.47080809189326e-05,0.125840337929655
1983,0.13797992041951,0.138386480323821,0.130586319154662,0.00780016116915921,0.137034430007456,0.00135205031636501,0.135020451990035,0.00336602833378599,0.138358577748965,2.79025748564088e-05,0.125840337929655
1984,0.136721234798877,0.140045335807992,0.132809990648546,0.00723534515944546,0.137902747605285,0.00214258820270669,0.135257062676363,0.00478827313162836,0.140006544423435,3.87913845564525e-05,0.125840337929655
1985,0.141414527464594,0.136809092247848,0.130310726109739,0.00649836613810939,0.135067561884932,0.00174153036291616,0.13411290085978,0.00269619138806795,0.136776425818748,3.26664291001588e-05,0.125840337929655
1986,0.141232521771127,0.134610218025529,0.129093879510715,0.00551633851481373,0.132651528946865,0.00195868907866401,0.133283039369335,0.0013271786561932,0.134642544179326,-3.23261537970576e-05,0.125840337929655
1987,0.140414931380496,0.1343158567947,0.130053850041797,0.00426200675290236,0.132006448401921,0.00230940839277863,0.13234914241956,0.00196671437513934,0.134378467450475,-6.26106557753137e-05,0.125840337929655
1988,0.131212325623658,0.133182031490033,0.130141326430329,0.00304070505970447,0.129844081824428,0.00333794966560572,0.132204020541627,0.000978010948405966,0.133197003603371,-1.49721133375913e-05,0.125840337929655
1989,0.125608362490398,0.130827258664445,0.128818799608074,0.00200845905637084,0.126554165252067,0.00427309341237814,0.132196750965092,-0.0013694923006464,0.130752398097757,7.4860566687901e-05,0.125840337929655
1990,0.12723592868694,0.128845966168547,0.12782101500217,0.00102495116637666,0.124621272509889,0.00422469365865756,0.131169947450924,-0.00232398128237665,0.128766001472312,7.99646962348077e-05,0.125840337929655
1991,0.133141229799639,0.131807414164481,0.131149272567705,0.000658141596775463,0.128742034071321,0.00306538009315971,0.129606734307784,0.00220067985669681,0.131764539476287,4.28746881939723e-05,0.125840337929655
1992,0.13720998337364,0.13396142924838,0.133565405736036,0.000396023512343968,0.132334068786277,0.00162736046210285,0.127883798146986,0.00607763110139398,0.133941353005495,2.00762428844981e-05,0.125840337929655
1993,0.136773107276468,0.135023880215032,0.134704250966044,0.000319629248987346,0.13356246067774,0.00146141953729129,0.12761560203578,0.00740827817925144,0.135029664895185,-5.78468015316469e-06,0.125840337929655
1994,0.129687278901939,0.134318958174008,0.13414583422017,0.000173123953837728,0.132574323287028,0.00174463488698032,0.127734617774557,0.00658434039945108,0.134342437169924,-2.347899591576e-05,0.125840337929655
1995,0.12783521356913,0.131368823905383,0.131544658529587,-0.000175834624203813,0.12897876372432,0.00239006018106305,0.128051841284089,0.00331698262129446,0.131371546107808,-2.72220242503174e-06,0.125840337929655
