y0,y1,d_actual,d_hat,unexplained,0_14,15_34,35_54,55_64,65p,tot,rp_g,unemp
1980,1981,0.00173274003028123,-0.0012831776532648,0.00301591768354603,-0.000449909259493533,0.00122847522200541,-0.000362804182423641,-0.000511165172289374,-0.000645257358466164,-0.000215582392569652,0.00148461010433532,-0.00181154461436316
1981,1982,-0.00356234191705831,-0.000456131259724445,-0.00310621065733387,-0.00120439504054157,-0.000794616837793197,0.000273025612400397,-0.000142583345140361,-0.000121371625258327,-0.000101670745197025,0.000476356739616951,0.00115912398218869
1982,1983,0.00657478777985904,0.00442591852387921,0.00214886925597983,-0.00374204651175474,-0.00402307017988745,-0.000680264744640462,6.76913353034008e-05,-0.000974020939885499,0.000586519376301659,0.000447883896485542,0.0127432262919568
1983,1984,-0.00125868562063294,0.00142603077080358,-0.00268471639143653,-0.00198224699515078,-0.00121602000234575,0.000633886969788726,0.000947867311456567,0.000912590382931737,1.67086121167967e-05,-0.00139799635105813,0.00351124084306442
1984,1985,0.00469329266571689,-0.00287900693354553,0.00757229959926241,-3.19476310098552e-05,0.00152861975892109,0.000568934183746898,-0.000373929987019073,0.000261377375476906,-0.000440514230105689,0.000590048093182858,-0.00498159449673867
1985,1986,-0.000182005693467158,-0.00206315728221679,0.00188115158874964,-0.00113048661528706,0.00126482854187238,0.000975926550482727,-9.31380365143224e-05,0.00188573895088778,-0.00109630690481428,-0.000208193635212902,-0.00366152613363112
1986,1987,-0.00081759039063134,-0.000271850304209262,-0.000545740086422078,-0.00161328792762438,0.000194512050812491,0.000556323321768061,-0.000682109915249114,0.00113550138143173,-0.000397173503456261,-0.000531735382316182,0.00106611967042439
1987,1988,-0.00920260575683765,-0.000947339342737485,-0.00825526641410017,-6.82328043999622e-05,0.000806684269299514,0.00107648844518281,-0.000434743787274135,0.00127912674615717,0.00021118017980416,-0.00195732902232051,-0.00186051336918653
1988,1989,-0.00560396313326037,-0.00196378889690676,-0.0036401742363536,0.00112306586589259,0.00157477426703222,0.00114379583351756,-0.000731308303969976,0.0010062155228577,0.000545915454899609,-0.00196224253892754,-0.00466400499820892
1989,1990,0.00162756619654256,-0.0017724440789551,0.00340001027549765,0.00024604850205963,0.000323271377908155,0.000587466793567947,-0.000972812126590331,0.000382960738622664,-2.95017858690824e-05,-2.01704118962247e-06,-0.00230786053746446
1990,1991,0.00590530111269899,0.00260217068099257,0.00330313043170642,-0.00239955157194245,-0.00351871548478435,-0.000866317934435483,-0.00169448776996884,-0.000967330411067571,0.000421120830397799,0.00209961338343929,0.00952783963935418
1991,1992,0.00406875357400027,0.00191109050020442,0.00215766307379585,-0.00194898367259641,-0.00312119137568634,-0.000969085748445971,-0.00167707484832542,-0.00150980107590146,0.000513459214014891,0.00249693889163756,0.00812682911550757
1992,1993,-0.00043687609717169,0.000804026826989707,-0.0012409029241614,-0.000984195038241392,-0.00219193751722099,0.000338650365694969,-0.000327521971572898,0.000841060835082164,-4.21885601039271e-05,0.000378803406369943,0.00279135530698184
1993,1994,-0.00708582837452937,-0.000796352108287383,-0.00628947626624199,-1.32255208748103e-05,-0.000885735105707673,0.00095134219015075,0.00025306174616548,0.00151824045856276,-0.000323868841548045,-0.00043187770758321,-0.00186428932745263
1994,1995,-0.00185206533280846,-0.00275651151119734,0.000904446178388876,0.00133609370873326,0.000685913857101402,0.0015062099953685,0.000547032521507895,0.00169724086715864,-0.00029142950409539,-0.00122268142717786,-0.00701489152979378
1995,1996,-0.000983900734117166,-0.00119574407758117,0.000211843343464,0.000158815079608563,-0.000440108633544312,0.000817936975998869,0.000138961172512642,0.000680656872571872,2.42565541899914e-05,-0.000382657000612734,-0.00219360509830606
1996,1997,0.000349354966244192,-0.000106778324321526,0.000456133290565718,-0.000561579604911038,-0.00149539457646731,0.000190707860917218,0.000236647497280632,-0.000406242571407477,0.000256961975578722,0.000659959561088314,0.00101216153359941
1997,1998,-0.000209728283069199,-0.0015065015251437,0.00129677324207451,-5.55946556636642e-06,-0.000578441778270181,0.000635955605299241,0.000672574100844336,0.00029637312194979,-0.000258701265435126,0.000461831232904397,-0.0027305330768698
1998,1999,0.00614000576471871,-0.00248569669370312,0.00862570245842183,0.000105263425097401,2.37291191958233e-05,-0.000326495169206944,0.000150669721156785,-0.00133541939913507,-0.000434462008529381,0.0030187518946524,-0.00368773427693413
1999,2000,-0.00322209482942221,-0.000149728870646588,-0.00307236595877562,-2.8628079047756e-05,-0.000236735410930475,0.000811594692961502,0.00186562131502671,0.0011291695530962,-0.000159386416875345,-0.00105132654566785,-0.00248003797920957
2000,2001,-0.000212932091903345,0.000154240587647925,-0.00036717267955127,-0.000363429352604719,-0.000311587538551633,0.000137461184592316,0.00113351881729569,0.00031179201338574,-7.32047502722532e-05,0.000283420515557843,-0.00096373030175506
2001,2002,-0.00163017745436506,0.00178581828219714,-0.0034159957365622,-0.00126969968119259,-0.000963743429274655,-0.000347528676517909,0.00197219721195655,-0.000151132893047884,-2.26580170144077e-05,0.000525726213149365,0.00204265755413867
2002,2003,-0.00142931077550551,-0.000335986726551702,-0.00109332404895381,-0.000226002605383157,0.000466752454070417,-6.3434855118491e-05,0.0015701131272402,-8.93182521731249e-05,-0.00024261875452703,0.000684642555931557,-0.00243612039659207
2003,2004,-0.00116294966827854,0.000254378654106366,-0.00141732832238491,-4.68617924329946e-05,0.000216687276871585,0.000211673455131508,0.00145794547078826,0.000256827507993531,0.000191185623949048,-0.00040906351116562,-0.00162401537702895
