year,y_actual,yhat_full,yhat_cf_Demography,impact_Demography,yhat_cf_RelPrices,impact_RelPrices,yhat_cf_UR,impact_UR,yhat_cf_ToT,impact_ToT,yhat_cf_AllFixed
1980,0.20747337563546,0.214579355950958,0.209269556923258,0.0053097990277004,0.208583358521992,0.00599599742896609,0.219016667945423,-0.00443731199446446,0.215552370030381,-0.000973014079422685,0.208683885568179
1981,0.211430292632778,0.211562766790742,0.204913729493176,0.00664903729756572,0.208837209468456,0.00272555732228583,0.217250480192252,-0.00568771340151045,0.21237076678652,-0.000807999995777908,0.208683885568179
1982,0.208981423620974,0.209832056678458,0.203805062191795,0.00602699448666322,0.209569338103749,0.000262718574709359,0.21435337328068,-0.00452131660222122,0.21045228202733,-0.000620225348871767,0.208683885568179
1983,0.220579644550636,0.220719731769272,0.214803835168572,0.00591589660069955,0.22065663702417,6.30947451022434e-05,0.214162144522231,0.00655758724704092,0.221220464161021,-0.000500732391749692,0.208683885568179
1984,0.220786380370391,0.226001167194251,0.219945773195566,0.0060553939986851,0.223370122997075,0.00263104419717547,0.216670436443753,0.00933073075049792,0.226701054514537,-0.000699887320286474,0.208683885568179
1985,0.231403170940679,0.219840840653802,0.213783117515567,0.00605772313823497,0.21941139797776,0.000429442676041697,0.214584966878476,0.0052558737753261,0.220426925157782,-0.000586084503979734,0.208683885568179
1986,0.234542190030282,0.217730125714873,0.211325808361667,0.00640431735320557,0.218244631685347,-0.000514505970473894,0.215142711032444,0.00258741468242865,0.217161111633339,0.000569014081533731,0.208683885568179
1987,0.234279632182304,0.220843886415158,0.214822312874042,0.00602157354111649,0.219657985755231,0.00118590065992724,0.217012317509844,0.00383156890531425,0.219722928674537,0.00112095774062149,0.208683885568179
1988,0.218343633964087,0.22176925384416,0.216776177690381,0.00499307615377884,0.215850396498347,0.00591885734581257,0.219863255686091,0.0019059981580688,0.221501817225839,0.000267436618320849,0.208683885568179
1989,0.208227719417147,0.219029027676034,0.215055901741679,0.00397312593435512,0.208643755039088,0.010385272636946,0.22169941090706,-0.00267038323102631,0.220371900908454,-0.00134287323241961,0.208683885568179
1990,0.209263850352429,0.214685694525624,0.212090119376642,0.00259557514898184,0.205326305349128,0.00935938917649534,0.219216314689822,-0.00453062016419803,0.216108229729458,-0.00142253520383434,0.208683885568179
1991,0.218946391564208,0.221296195214665,0.219207206305341,0.00208898890932396,0.214307737295442,0.00698845791922337,0.217004543668286,0.00429165154637898,0.222052983943105,-0.000756788728439872,0.208683885568179
1992,0.227654049617573,0.22470847635387,0.223114422757274,0.00159405359659637,0.221756760542587,0.00295171581128373,0.212865485963877,0.011842990389993,0.225072645366052,-0.000364169012181614,0.208683885568179
1993,0.227026686807654,0.226401992307544,0.225041935715202,0.00136005659234237,0.224583782538235,0.00181820976930891,0.211964574464506,0.0144374178430378,0.226299569772868,0.000102422534676072,0.208683885568179
1994,0.219663735647319,0.225126170879782,0.224146734121098,0.000979436758684726,0.222909998803285,0.00221617207649727,0.21229487468288,0.012831296196902,0.224710790600263,0.000415380279519595,0.208683885568179
1995,0.217930146467085,0.21977248395695,0.219636809711823,0.000135674245127115,0.215317116385845,0.00445536757110529,0.213309068229303,0.00646341572764722,0.219738343112058,3.41408448920333e-05,0.208683885568179
1996,0.215196299532535,0.217513258358907,0.218033726735382,-0.000520468376474625,0.212259444035238,0.00525381432366917,0.21311565405216,0.00439760430674666,0.21781483582212,-0.000301577463212882,0.208683885568179
1997,0.212001357912264,0.217374110103972,0.218072836218599,-0.000698726114627235,0.212495426557994,0.00487868354597793,0.212215166946581,0.00515894315739093,0.21802278615692,-0.000648676052948466,0.208683885568179
1998,0.209936106402399,0.214480746503615,0.215339707095256,-0.000858960591640229,0.210020473624749,0.00446027287886658,0.211716183773871,0.00276456272974399,0.215049760585149,-0.000569014081533731,0.208683885568179
1999,0.215581782218878,0.208683885568179,0.208683885568179,0,0.208683885568179,0,0.208683885568179,0,0.208683885568179,0,0.208683885568179
2000,0.214822222791208,0.207431432346443,0.206059968183163,0.0013714641632796,0.206986781777698,0.000444650568744515,0.210073239739053,-0.00264180739260983,0.207858192907593,-0.000426760561150291,0.208683885568179
2001,0.214904242000429,0.20825499152424,0.204836526891161,0.00341846463307893,0.207760075963854,0.000494915560385278,0.211948589708695,-0.00369359818445475,0.208903667577188,-0.000648676052948466,0.208683885568179
2002,0.212705049473197,0.213283283814422,0.206505126043524,0.00677815777089894,0.212414937573619,0.000868346240803036,0.215511009302472,-0.00222772548804967,0.214102664091831,-0.000819380277408577,0.208683885568179
2003,0.212266177847656,0.212769721079208,0.203206742423167,0.00956297865604083,0.212714869283809,5.48517953997685e-05,0.217305941376935,-0.00453622029772713,0.213765495721892,-0.000995774642684022,0.208683885568179
2004,0.209363933092308,0.213702091980669,0.201772955090722,0.0119291368899476,0.212269484294914,0.0014326076857557,0.220173573815636,-0.00647148183496682,0.215574148308915,-0.001872056328246,0.208683885568179
2005,0.21182584903075,0.211995038212733,0.197634243700823,0.0143607945119102,0.211612364764656,0.000382673448077381,0.220275015516469,-0.00827997730373611,0.21514737622443,-0.0031523380116969,0.208683885568179
2006,0.212412419007234,0.212599025348442,0.196551068987232,0.0160479563612103,0.210879988650848,0.00171903669759488,0.221762202595146,-0.00916317724670349,0.21728770138028,-0.00468867603183798,0.208683885568179
2007,0.211222252546474,0.211816117042244,0.193696436694662,0.0181196803475819,0.210015959763021,0.00180015727922317,0.222759948577632,-0.0109438315353887,0.217659891659595,-0.00584377461735147,0.208683885568179
2008,0.211897624501369,0.211792034323463,0.191596643929032,0.020195390394431,0.210033592124788,0.00175844219867513,0.223837999886957,-0.0120459655634934,0.218591752597792,-0.00679971827432815,0.208683885568179
2009,0.217097839657379,0.216371438556483,0.193651708751176,0.0227197298053063,0.213939841669981,0.00243159688650185,0.225738141879762,-0.00936670332327913,0.224468508936708,-0.00809707038022509,0.208683885568179
2010,0.229146778773192,0.218374910100489,0.192092545414503,0.0262823646859862,0.220411261374388,-0.00203635127389851,0.22556685676522,-0.00719194666473072,0.225737952315536,-0.00736304221504652,0.208683885568179
2011,0.22378924586109,0.219309876305096,0.189103956796626,0.0302059195084702,0.218763130041017,0.000546746264079134,0.228198523230437,-0.00888864692534067,0.230547904415387,-0.0112380281102913,0.208683885568179
2012,0.224606658813581,0.22120543919387,0.18701317074816,0.0341922684457093,0.223218733969929,-0.00201329477605941,0.22958500014183,-0.00837956094796039,0.232483298289868,-0.0112778590959987,0.208683885568179
2013,0.220498768879661,0.225650737120182,0.187566796308927,0.0380839408112547,0.23028075271683,-0.00463001559664766,0.232953923506831,-0.00730318638664948,0.234834624396136,-0.00918388727595451,0.208683885568179
2014,0.218690672273561,0.231235745479063,0.189111927025663,0.0421238184534006,0.23668423677782,-0.00544849129875646,0.236909353612047,-0.00567360813298362,0.239685604589839,-0.008449859110776,0.208683885568179
2015,0.22240829654276,0.234660030587417,0.188613570577863,0.0460464600095541,0.243917203346449,-0.00925717275903162,0.239100215105523,-0.0044401845181064,0.241032988300595,-0.00637295771317786,0.208683885568179
2016,0.231214748078889,0.235628530971451,0.185708266865753,0.0499202641056981,0.248404312296014,-0.0127757813245624,0.241202283866445,-0.00557375289499404,0.24025461545432,-0.00462608448286928,0.208683885568179
2017,0.233971293764707,0.240425167638963,0.187359650052332,0.0530655175866308,0.248615963318929,-0.00819079567996575,0.246696297651547,-0.00627113001258381,0.24728747746226,-0.00686230982329686,0.208683885568179
2018,0.236850972732972,0.24294676904683,0.186829558773871,0.0561172102729597,0.250536436455829,-0.0075896674089985,0.249990639737477,-0.00704387069064649,0.250167557741493,-0.00722078869466311,0.208683885568179
2019,0.241602830028427,0.245074806460875,0.185905018330261,0.0591697881306143,0.251033620155146,-0.00595881369427087,0.253615705118206,-0.00854089865733149,0.253353961347191,-0.00827915488631587,0.208683885568179
2020,0.257884653803902,0.250776030258644,0.187755808264009,0.0630202219946358,0.256733656684313,-0.00595762642566916,0.257319382589631,-0.00654335233098646,0.259203128806159,-0.00842709854751461,0.208683885568179
2021,0.262641747034442,0.257763642958321,0.19134286073364,0.0664207822246802,0.260579238405554,-0.00281559544723381,0.261893185076004,-0.00412954211768329,0.268159530227942,-0.0103958872696214,0.208683885568179
2022,0.258469326219235,0.256107966982617,0.187788102827424,0.068319864155193,0.252154747311181,0.00395321967143542,0.267892406082793,-0.011784439100176,0.269172530294631,-0.0130645633120146,0.208683885568179
2023,0.251533642313157,0.256301989493632,0.187518809485543,0.0687831800080888,0.249720371455269,0.00658161803836213,0.271029641429138,-0.0147276519355063,0.269321031679123,-0.0130190421854919,0.208683885568179
2024,0.261924678699111,0.257242562460601,0.187061383866225,0.0701811785943761,0.253886268057626,0.00335629440297541,0.270727274118549,-0.0134847116579475,0.268736646907583,-0.0114940844469815,0.208683885568179
2025,0.271156557770968,0.259485745657526,0.187221951569188,0.0722637940883383,0.257770054197634,0.00171569145989203,0.272108159903958,-0.0126224142464322,0.270040956869977,-0.0105552112124508,0.208683885568179
