year,y_actual,yhat_actual,yhat_cf,diff_cf
1980,0.172156489684286,0.181236312678898,0.181236312678898,0
1981,0.177775154758158,0.182086574767867,0.181236312678898,0.000850262088969156
1982,0.177309886959045,0.181822322947167,0.181236312678898,0.000586010268268322
1983,0.186176183825661,0.181352714423855,0.181236312678898,0.000116401744956723
1984,0.183372310570627,0.181124984520619,0.181236312678898,-0.000111328158279078
1985,0.192169352612693,0.181608044368266,0.181236312678898,0.000371731689368104
1986,0.19397384398381,0.183052763601953,0.181236312678898,0.00181645092305421
1987,0.193518182072281,0.18451828921102,0.181236312678898,0.00328197653212167
1988,0.184336083928577,0.185412086956677,0.181236312678898,0.00417577427777838
1989,0.177499341760607,0.186338261515194,0.181236312678898,0.005101948836296
1990,0.177101822269554,0.186831772616946,0.181236312678898,0.00559545993804728
1991,0.186301910683893,0.187694081411508,0.181236312678898,0.00645776873261
1992,0.195142457678356,0.188165675413267,0.181236312678898,0.00692936273436912
1993,0.193681992733886,0.188560148934163,0.181236312678898,0.00732383625526462
1994,0.187834193069795,0.188621558537864,0.181236312678898,0.00738524585896577
1995,0.185993233971989,0.188219821465957,0.181236312678898,0.0069835087870592
1996,0.18569830121493,0.1878709108545,0.181236312678898,0.006634598175602
1997,0.182914938095255,0.186977702510631,0.181236312678898,0.00574138983173286
1998,0.182322475796588,0.185957120919911,0.181236312678898,0.00472080824101248
1999,0.187184304372771,0.184913094205825,0.181236312678898,0.00367678152692658
2000,0.185422409721814,0.183997406268789,0.181236312678898,0.0027610935898903
2001,0.185118844133793,0.183713887254194,0.181236312678898,0.00247757457529613
2002,0.183537275390522,0.182993340968975,0.181236312678898,0.00175702829007668
2003,0.183883495628723,0.182405173029317,0.181236312678898,0.00116886035041891
2004,0.182806292080721,0.181991562241107,0.181236312678898,0.000755249562209071
2005,0.183811816883052,0.181702114575506,0.181236312678898,0.000465801896607998
2006,0.18296484863998,0.181255045059157,0.181236312678898,1.87323802588457e-05
2007,0.181648197794011,0.181582700709647,0.181236312678898,0.000346388030749045
2008,0.18082473964625,0.18191247139825,0.181236312678898,0.000676158719352116
2009,0.184121178394567,0.183315762663316,0.181236312678898,0.00207944998441723
2010,0.188192230215827,0.185073334523774,0.181236312678898,0.00383702184487617
2011,0.186540721176788,0.186943087021444,0.181236312678898,0.00570677434254527
2012,0.18925334786515,0.190210875447005,0.181236312678898,0.00897456276810668
2013,0.18850675331162,0.192849267849235,0.181236312678898,0.0116129551703363
2014,0.187702263349537,0.195241619360637,0.181236312678898,0.0140053066817386
2015,0.191951103232395,0.197584255847719,0.181236312678898,0.0163479431688203
2016,0.199724567759589,0.199824797675166,0.181236312678898,0.018588484996268
2017,0.199510876926982,0.201549567947147,0.181236312678898,0.0203132552682491
2018,0.200052876503506,0.203379378437992,0.181236312678898,0.0221430657590939
2019,0.203693134973003,0.205192710297159,0.181236312678898,0.0239563976182603
2022,0.22059554817834,0.212052250851552,0.181236312678898,0.0308159381726542
2023,0.21322794514463,0.214255422460579,0.181236312678898,0.0330191097816812
2024,0.222301023190676,0.216463676434477,0.181236312678898,0.0352273637555787
