year,y_actual,yhat_full,yhat_cf_Demography,impact_Demography,yhat_cf_RelPrices,impact_RelPrices,yhat_cf_UR,impact_UR,yhat_cf_ToT,impact_ToT,yhat_cf_AllFixed
1980,0.0637151435876093,0.0680171353116106,0.0742601410922917,-0.00624300578068113,0.0679866314530097,3.05038586009276e-05,0.0687200902647091,-0.000702954953098522,0.0680733773430164,-5.62420314057371e-05,0.0749888342181951
1981,0.0665722379603399,0.0685225029187772,0.0741966619099837,-0.00567415899120652,0.0683664211282204,0.000156081790556775,0.0694234140417418,-0.000900911122964573,0.0685698458945808,-4.73429758035687e-05,0.0749888342181951
1982,0.0680123110532095,0.068894380291244,0.0745847481120012,-0.00569036782075719,0.0685460478972232,0.000348332394020767,0.0696104906446018,-0.000716110353357807,0.0689306884381009,-3.63081468568727e-05,0.0749888342181951
1983,0.0708582571345754,0.07047906600438,0.0763030424017654,-0.00582397639738531,0.0701746134162295,0.000304452588150594,0.0694401215065852,0.00103894449779482,0.0705082549067552,-2.91889023751324e-05,0.0749888342181951
1984,0.0698316183348924,0.0707862523565224,0.0766555136271474,-0.00586926127062495,0.0705569821042842,0.000229270252238289,0.0693082635062625,0.00147798885025995,0.0708268320500684,-4.05796935459141e-05,0.0749888342181951
1985,0.0753848440452683,0.0706781035666361,0.0761528878392113,-0.00547478427257525,0.0703120908714501,0.000366012695186005,0.0698458902672935,0.000832213299342563,0.0707122759401484,-3.4172373512345e-05,0.0749888342181951
1986,0.0782917331043788,0.0714101973333995,0.0759533760785536,-0.00454317874515407,0.0708891018255557,0.000521095507843808,0.0710005673921731,0.000409629941226466,0.0713763809221113,3.38164112882594e-05,0.0749888342181951
1987,0.0779516169606172,0.0724058862763036,0.0760885064249664,-0.0036826201486628,0.0719787250942428,0.000427161182060848,0.0717988723008251,0.000607013975478507,0.0723403892270716,6.54970492319912e-05,0.0749888342181951
1988,0.0743276750539801,0.0723480191448215,0.0754856781999993,-0.00313765905517779,0.0721686883775003,0.000179330767321254,0.0720461682681984,0.000301850876623169,0.0723323568069617,1.56623378598231e-05,0.0749888342181951
1989,0.0709297054616226,0.0719270112000424,0.0744232503219941,-0.00249623912195161,0.0719915165239734,-6.45053239309995e-05,0.0723497780830133,-0.000422766882970896,0.0720053228893416,-7.83116892991292e-05,0.0749888342181951
1990,0.0693113241036564,0.0721327615799837,0.0742230941673856,-0.00209033258740191,0.072097455209189,3.53063707947826e-05,0.0728501568789275,-0.000717395298943782,0.0722164127026442,-8.36511226604414e-05,0.0749888342181951
1991,0.0726454678732117,0.0744109242037548,0.0756202255449202,-0.00120930134116541,0.0744140133679424,-3.08916418761962e-06,0.0737315924726071,0.000679331731147717,0.0744557754439898,-4.48512402349555e-05,0.0749888342181951
1992,0.0767457678355502,0.076355437790708,0.076916291448882,-0.000560853658174057,0.0762829868140399,7.24509766680953e-05,0.074479429765468,0.00187600802523998,0.0763764395619291,-2.10017712211352e-05,0.0749888342181951
1993,0.0769649794937131,0.0775540801570174,0.0774331167901717,0.000120963366845764,0.0774026392972771,0.000151440859740296,0.0752672898025906,0.00228679035442683,0.077548028799208,6.05135780946953e-06,0.0749888342181951
1994,0.0768317103395638,0.0777634160304833,0.0772231106876478,0.000540305342835529,0.0775861546134565,0.0001772614170268,0.0757309623715194,0.0020324536589639,0.0777388546370213,2.45613934619915e-05,0.0749888342181951
1995,0.0777045474236505,0.0767205626105124,0.0761135310997044,0.000607031510808015,0.076622599970627,9.79626398854294e-05,0.0756966760666812,0.00102388654383116,0.0767177149127197,2.84769779269889e-06,0.0749888342181951
1996,0.0767137165365046,0.0764189995845101,0.0757200154052124,0.000698984179297715,0.0763670920564463,5.19075280638048e-05,0.0757222837765763,0.000696715807933748,0.0764364417334904,-1.74421489802651e-05,0.0749888342181951
1997,0.0737999546643543,0.0762836557211661,0.0757520750990942,0.00053158062207187,0.0762997564375795,-1.61007164134197e-05,0.0754665821281003,0.000817073593065765,0.0763213877169193,-3.77319957532152e-05,0.0749888342181951
1998,0.0737866910496147,0.0756146005015648,0.0753511649324456,0.000263435569119175,0.075657006396989,-4.2405895424244e-05,0.0751767594050499,0.000437841096514846,0.0756477049884049,-3.31044868400882e-05,0.0749888342181951
1999,0.072960945748967,0.0749888342181951,0.0749888342181951,0,0.0749888342181951,0,0.0749888342181951,0,0.0749888342181951,0,0.0749888342181951
2000,0.0745582468385849,0.0743872705558842,0.0746309882132212,-0.000243717657336995,0.0743017797829794,8.54907729048171e-05,0.0748056899780768,-0.000418419422192576,0.0744121879115703,-2.4917355686091e-05,0.0749888342181951
2001,0.0748154405553311,0.0743352478338243,0.0744034517302633,-6.82038964390647e-05,0.074297597334354,3.76504994702431e-05,0.074920192863249,-0.000584945029424674,0.0743733357918016,-3.80879579773008e-05,0.0749888342181951
2002,0.0747081002189248,0.0743508759498724,0.0745203071094388,-0.000169431159566386,0.0744183564254952,-6.74804756228276e-05,0.0747038676827541,-0.000352991732881738,0.0743989308501241,-4.805490025174e-05,0.0749888342181951
2003,0.0749834553244,0.0738726057011002,0.0741311228914253,-0.000258517190325103,0.0739540341968364,-8.1428495736266e-05,0.0745912226518316,-0.000718616950731457,0.0739302715814023,-5.76658803020935e-05,0.0749888342181951
2004,0.0745552293543996,0.0734507994277465,0.0736680031530872,-0.000217203725340662,0.0736368669931747,-0.000186067565428105,0.0744759265624075,-0.00102512713466098,0.0735604357927653,-0.000109636365018789,0.0749888342181951
2005,0.0760141524216678,0.0732128085437145,0.0733230713317999,-0.000110262788085388,0.0733819618096244,-0.000169153265909869,0.0745243178076746,-0.00131150926396008,0.0733979089002397,-0.00018510035652522,0.0749888342181951
2006,0.0741062179792268,0.0728075575953841,0.0729599591454466,-0.000152401550062548,0.0731106007921304,-0.000303043196746289,0.0742589425966152,-0.00145138500123114,0.0730820044701551,-0.000274446874771045,0.0749888342181951
2007,0.0751425305199726,0.0728933551546257,0.0726140956176682,0.000279259536957455,0.0731929543720815,-0.000299599217455773,0.0746267708025733,-0.0017334156479476,0.0732350788897492,-0.000341723735123464,0.0749888342181951
2008,0.0746783990098716,0.0729291520228317,0.0723718125167466,0.000557339506085067,0.0732400431469265,-0.000310891124094812,0.0748373168336561,-0.00190816481082443,0.0733271177893609,-0.000397965766529201,0.0749888342181951
2009,0.0759108950684078,0.0741891565241537,0.0726756010339116,0.00151355549024212,0.0745449167321775,-0.000355760208023803,0.0756728437801537,-0.00148368725599995,0.0746629422444134,-0.000473785720259731,0.0749888342181951
2010,0.0771330455635492,0.0761691426229393,0.0731608836553614,0.00300825896757788,0.0764268653867605,-0.000257722763821244,0.0773083001685824,-0.00113915754564317,0.0766002128763085,-0.00043107025336929,0.0749888342181951
2011,0.076501946487969,0.0772307263719083,0.0725512432135506,0.00467948315835769,0.0776029640546538,-0.000372237682745441,0.0786386174659187,-0.00140789109401042,0.0778881885997969,-0.000657462227888594,0.0749888342181951
2012,0.0787986438453109,0.0798896603701525,0.0726957791188083,0.00719388125134417,0.0801948337511367,-0.000305173380984181,0.0812168762006497,-0.00132721583049719,0.0805503262580579,-0.000660665887905379,0.0749888342181951
2013,0.0783095389225919,0.0823267277933918,0.0730474154028145,0.00927931239057735,0.0825732939249463,-0.000246566131554493,0.0834833655943985,-0.00115663780100667,0.0828649426762113,-0.000538214882819466,0.0749888342181951
2014,0.0788684877295131,0.084528754301242,0.0732778451526879,0.0112509091485541,0.0848461860235982,-0.000317431722356237,0.0854275241529121,-0.000898769851670103,0.0850235417927228,-0.000494787491480853,0.0749888342181951
2015,0.0810753543882299,0.0868505638375359,0.0736595028595061,0.0131910609780299,0.0871040914351127,-0.000253527597576728,0.0875536751500292,-0.00070311131249326,0.087223256286155,-0.000372692448619039,0.0749888342181951
2016,0.0860825283304318,0.0887556980758396,0.0736607315408011,0.0150949665350385,0.0889303057606443,-0.000174607684804748,0.0896383058158987,-0.000882607740059105,0.0890265853283698,-0.000270887252530175,0.0749888342181951
