y0,y1,y0,y1,d_actual,d_hat,unexplained,0_14,15_34,35_54,55_64,65p
1999,2003,109945,110165,-0.323013165980503,-0.560796783280811,0.237783617300308,-0.301814624697823,-0.413782831377383,-0.206736464547685,0.328721007253215,0.0328161300888641
2004,2008,110220,110440,-0.657542030608635,-0.103743926335945,-0.55379810427269,-0.213139066888894,-0.0284448323933366,-0.142682166557764,0.230319984170611,0.0502021553334384
2009,2013,110495,110715,0.0643092476124331,0.300830992610804,-0.236521744998371,-0.0393661047054274,0.0176907234834095,-0.100812893623947,0.0602368949047659,0.363082372552003
2014,2019,110770,111045,0.00993876061885132,-0.0353869091053686,0.0453256697242201,-0.0805770754360836,-0.293176959753065,-0.16054256382046,0.0687961731270368,0.430113516777203
