y0,y1,d_actual,d_hat,unexplained,0_14,15_34,35_54,55_64,65p,tot
1971,1972,0.0141588945327876,0.00942199469026365,0.00473689984252398,0.00145316301782531,0.00601581749348939,-0.0014868403688233,0.000768999251629544,0.00217029607604427,0.000500559220098429
1972,1973,0.00485449918922637,0.00365120408755356,0.00120329510167281,0.00295080511524076,0.011633010946423,-0.00220627550467242,-0.00392095433743877,-0.00309130801528073,-0.00171407411671828
1973,1974,0.0244768081893165,0.00509651813059883,0.0193802900587177,0.00322843059696897,0.0134611833910545,-0.00184312099929751,-0.00448849733901579,-0.00337092532748124,-0.00189055219163008
1974,1975,0.068909725178872,0.0175657270726961,0.0513439981061759,-1.14970259293642e-05,0.00399670652786,0.000264283002264004,0.0050410442596691,0.00606022878069449,0.00221496152813785
1975,1976,0.0319097702363464,0.0164114575957557,0.0154983126405908,0.000983313819979062,0.00831086855293237,-0.000821221881127559,0.00310544465035031,0.00373614020862311,0.00109691224499838
1976,1977,-0.0122084164892287,0.0158942755753381,-0.0281026920645667,0.00138587379032892,0.00907452513048355,-0.000930571316881578,0.00268380665025732,0.00269197747998707,0.000988663841162776
1977,1978,0.0108145109926988,0.0191030737965671,-0.00828856280386827,0.000378573254795693,0.0059812256378769,-5.44113096426972e-05,0.00438807014939791,0.00643934231301515,0.00197027375112413
1978,1979,-0.0137649966719871,0.0127352192200287,-0.0265002158920158,0.000756565338538383,0.00715989162304515,3.27117195985185e-05,0.000798534309802973,0.00357864047885185,0.000408875750191862
1979,1980,-0.0040762604319573,0.00885139440839388,-0.0129276548403512,0.000261620836253209,0.00476008368014085,0.000224557626292523,0.000650845629939234,0.00272630238958718,0.00022798424618088
1980,1981,0.0167112162521623,0.00880424765052687,0.00790696860163546,-0.000283403193327101,0.00233843915485763,0.00068034605002735,0.00176823508537347,0.00352826008973912,0.000772370463856396
1981,1982,-0.0012395748143571,-0.00129383823866728,5.42634243101787e-05,-0.00165916050071279,-0.00141084708354747,0.00293477288145711,-0.000265292389036315,-0.000429457784963656,-0.00046385336186415
1982,1983,0.02634521811206,0.000567127265163862,0.0257780908468962,-0.00188455134471045,-0.00222857157413768,0.00250368658110624,0.00218442966314189,-0.000304559302455184,0.000296693242219042
1983,1984,-0.00825133869566475,0.0009795772125068,-0.00923091590817154,-0.0010661932587363,0.00117800125662718,0.00204371584655228,0.00097583401334464,-0.0018569203983755,-0.000294860246905505
1984,1985,0.0261358036744621,0.00563126297086142,0.0205045407036007,-0.0014976649772894,-1.37161642566789e-05,0.00306192007619881,0.000356289010400542,0.00348196539442102,0.000242469631387125
1985,1986,0.00547117171557798,0.0145041741515503,-0.00903300243597228,-0.00173555268893086,0.000711496195725064,0.00409960875995081,0.000706609186632996,0.00957535703458773,0.00114665566358453
1986,1987,-0.00123136027809656,0.00910016613613711,-0.0103315264142337,-0.00054004706496237,0.00342209138652014,0.00342599381641914,-0.00325298877127554,0.00641022066288524,-0.000365103893449502
1987,1988,-0.0269944478287915,-0.000993817935632861,-0.0260006298931586,0.000214872851503668,0.00422703754680129,0.00245661156221529,-0.00631703538800785,0.000483328272441455,-0.00205863278058671
1988,1989,-0.0200654533889909,-0.00675869159212671,-0.0133067617968642,0.000870809759552437,0.00532116879543994,0.0016008977289062,-0.00893476965772418,-0.00234141105975376,-0.00327538715854735
1989,1990,-0.00104980174458158,-0.000309067680610631,-0.000740734063970949,-0.00142627528749026,-0.00220022810446816,0.00343538521211981,-0.00348317468875702,0.00406114919628184,-0.000695924008296843
1990,1991,0.0273252278405721,0.00193676919756174,0.0253884586430104,-0.00273907513854698,-0.00656393576041993,0.00391326920422108,-0.00148511842359808,0.00850580897189221,0.000305820344013448
1991,1992,0.0262288312714394,-0.000562051945766088,0.0267908832172055,-0.00263747440439179,-0.00650654352342728,0.00346597693768899,-0.00106191836906958,0.00606936991205314,0.00010853750138042
1992,1993,-0.00424599962366823,0.00120857525757425,-0.00545457488124248,-0.00349064380947086,-0.00898397529335722,0.00395225982176309,0.000926092499793829,0.00791457534512119,0.00089026669372422
1993,1994,-0.0172274030136528,-0.00149115985323301,-0.0157362431604198,-0.00291885906126582,-0.00726730782811634,0.00335718388504561,0.000399222170057654,0.00460858686120041,0.000330014119845473
1994,1995,-0.00535834163192228,-0.00537733875847818,1.89971265559009e-05,-0.00240939782439672,-0.00577023163404821,0.00299371976536746,-0.000553303981198687,0.000776658422994712,-0.000414783507196744
1995,1996,-0.0007970554859561,-0.004402092843245,0.0036050373572889,-0.00235271896504184,-0.0050280443196044,0.00300097752294899,-0.000278707520343148,0.000636439450769274,-0.000380039011973866
1996,1997,-0.00814298193158036,-0.00628506897084095,-0.00185791296073941,-0.0026617580259279,-0.00607288343277018,0.00243670309875412,0.00191497929732881,-0.00179126306988919,-0.000110846838336602
1997,1998,-0.00168128903891762,-0.00185236273156648,0.000171073692648857,-0.00352340575570973,-0.00848586701689432,0.00315286463840894,0.00474212892020498,0.00109339625185998,0.00116852023056368
1998,1999,0.0144686385365058,0.000671124843185993,0.0137975136933198,-0.00336632952960592,-0.00827980279609504,0.00202715403723628,0.00731957677053151,0.00104139306994147,0.00192913329117769
1999,2000,-0.00513640267949522,-0.00251642721189775,-0.00261997546759747,-0.00168648119966887,-0.00332354843791561,0.000172164484052241,0.00514007790217736,-0.00349770539307557,0.000679065432532709
2000,2001,-0.00081455422847887,0.00388608170980584,-0.00470063593828471,-0.00209418892870798,-0.00440150337373979,0.000420112130945086,0.00669167430045111,0.00148114747479985,0.00178884010605756
2001,2002,-0.00459779853689879,0.00333076274615413,-0.00792856128305292,-0.00123251808703593,-0.00177765111464615,-0.00176303115640151,0.00936181150785005,-0.00320011407688057,0.00194226567326824
2002,2003,0.0011130973367468,0.00159129767503157,-0.00047820033828477,-0.00068641562917342,-0.000130576122016152,-0.00164150473748816,0.00691901804711181,-0.00402201448884984,0.00115279060544734
2003,2004,-0.00312321387192793,-0.00395182251228333,0.000828608640355393,0.000111645797785498,0.00211733622232493,-0.00191399744777151,0.00292017250501342,-0.0067308208276546,-0.000456158761981062
2004,2005,0.00305603841385493,-0.00143287562315603,0.00448891403701096,-0.000159466811039862,0.0013854832784234,-0.00161877547623116,0.00374840954733224,-0.00484999874310594,6.14725814652911e-05
2005,2006,-0.00242122517390875,-0.00352307605256657,0.00110185087865783,-9.07632175939684e-05,0.00138687161001955,-0.00119845404422667,0.00236675425778143,-0.00559795062511756,-0.000389534033429361
2006,2007,-0.00379480655533604,-0.000525343185883625,-0.00326946336945241,0.000366074243977808,0.00244130025497812,-0.00150509232834888,0.00110724011067374,-0.00258175702311421,-0.000353108444050192
2007,2008,-0.00232391489694972,-0.00025614724869601,-0.00206776764825371,0.00151866422816151,0.00566642500595644,-0.00257185609322486,0.000407394224427342,-0.00458760395107791,-0.000689170662938532
2008,2009,0.0099145056912926,0.00624392637633437,0.00367057931495823,0.00141896458305153,0.00547896655398177,-0.00210561938507786,-0.000145325653126816,0.00163586848225273,-3.89282047469825e-05
2009,2010,0.0121796940082043,0.00477746693562867,0.00740222707257562,0.000447183284345777,0.00241639321474841,-0.00200721267166162,0.000362066398656062,0.00349776095376219,6.12757557778468e-05
2010,2011,-0.00481118240485112,-0.00797801774891508,0.00316683534406396,0.00269442806644595,0.00891351513862421,-0.00432241828600386,-0.00613507134820365,-0.00581127747546581,-0.00331719384431193
2011,2012,0.00814467150266418,0.00914655580144989,-0.00100188429878571,0.000628528478737812,0.002116308189125,-0.00178584573174176,-0.00256725582611427,0.0106598155048788,9.50051865642763e-05
2012,2013,-0.00210563721612134,0.0157027019657106,-0.017808339181832,-0.0010985579779284,-0.00318864750811848,-0.000642865074622804,0.00345352029238004,0.0146319306180845,0.00254732161591577
2013,2014,-0.00229455905660847,0.0145593935337067,-0.0168539525903152,-0.00126132701012278,-0.00356469042130505,-0.00076661289908622,0.00419803824554717,0.0133917728010418,0.00256221281763184
2014,2015,0.0126957079571151,0.016881093010527,-0.00418538505341193,-0.00188695232409765,-0.00535786472115073,-0.000120173702731326,0.00555950020107536,0.015425705658915,0.00326087789851632
2015,2016,0.0231726535479995,0.0160320487783639,0.00714060476963557,-0.00205187115590133,-0.00615942198519617,-0.000104565867673954,0.00572739496234548,0.0153269801835673,0.00329353264122258
2016,2017,-0.000539258349892879,-0.00264642967763097,0.00210717132773809,0.00141259739164338,0.00462947601826244,-0.00274230138909653,-0.00360855954000484,-0.000630501206145281,-0.00170714095229013
2017,2018,0.00170090797536215,0.00569448213582932,-0.00399357416046717,-0.000640606220387663,-0.00100944451254346,-0.00061882134643121,0.000557482706996934,0.00686340277053341,0.000542468737661309
2018,2019,0.0109072452263252,0.00471936007082737,0.00618788515549787,-0.000669151638684644,-0.000908525428364798,-0.000550938042738267,0.000202902376433861,0.00632269614476684,0.000322376659414378
2019,2020,0.0452520636056588,0.00710728042637683,0.038144783179282,-0.00321621408170413,-0.00796020110731715,0.00136213443846381,0.0028759528184298,0.0124677048866981,0.0015779034718064
2020,2021,0.0157925908163834,-0.00258805865467079,0.0183806494710542,-0.00288851158259416,-0.00761335020379642,0.0013954471880753,-0.00257289902665331,0.00971177759976962,-0.000620522629471835
2021,2022,-0.0106318002093539,0.0062352175982425,-0.0168670178075965,0.000520849784906491,0.00366467631488125,9.24909319681825e-05,-0.00385054794345953,0.00650142056483036,-0.000693672054884253
2022,2023,-0.0217768712887121,0.015241462450452,-0.0370183337391641,0.00331986911917336,0.0140748487950508,-0.000422026156806998,-0.00484027354566767,0.00384368637782981,-0.000734642139127254
2023,2024,0.0268602600564076,0.0151844945127868,0.0116757655436208,0.000830227155488282,0.00596370003905194,0.000669969586163329,-0.00152758751518296,0.00868786410076205,0.000560321146504182
