STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SECTOR,Institutional sector,EDITION,Edition,CATEGORY,Category,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2012,,100.813,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2013,,98.05,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2014,,105.613,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2015,,103.842,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2016,,103.555,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2009,,87.914,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2010,,92.261,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2011,,93.257,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2008,,75.631,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2007,,70.344,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2022,,80.508,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2023,,82.478,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2024,,85.392,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2017,,97.494,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2018,,92.153,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2019,,90.442,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2020,,107.945,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,BEL,Belgium,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2012,,121.212,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,BEL,Belgium,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2013,,118.778,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,BEL,Belgium,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2014,,130.747,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,BEL,Belgium,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2015,,127.419,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,BEL,Belgium,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2016,,128.992,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,BEL,Belgium,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2009,,110.868,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,BEL,Belgium,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2010,,109.293,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,BEL,Belgium,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2011,,111.598,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,BEL,Belgium,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2008,,102.808,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,BEL,Belgium,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2007,,95.003,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,BEL,Belgium,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2022,,102.184,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,BEL,Belgium,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2023,,104.786,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,BEL,Belgium,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2024,,103.954,,A,Normal value,0,Units,_Z,Not applicable,,
