label,match_elasticity,delta,risk_aversion,common_search_cost_multiplier,r_health_premium,leisure_R_post_multiplier,leisure_N_post_multiplier,benefit_multiplier,benefit_weight,target_pre_N,target_pre_R,target_post_N,target_post_R,mu_pre,mu_post,kappa_pre,kappa_N_post,kappa_R_post,fit_pre_N,fit_pre_R,fit_post_N,fit_post_R,post_R_target_gap_pp,did_full_pp,target_full_did_pp,did_benefit_covid_env_pp,did_benefit_normal_pp,did_covid_only_pp,elasticity_full_logdid,target_full_elasticity_logdid,elasticity_benefit_normal_logdid,elasticity_benefit_covid_env_logdid,elasticity_covid_only_logdid,target_to_structural_elasticity_ratio
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,1.0,2.0,1.6969696023751115,0.1,0.0866,0.0821,0.0312,0.06265626659922266,0.0576802640680532,0.42555627538990604,0.42555627538990604,0.42555627538990604,0.09997884051183092,0.08658127099556119,0.0821000002355404,0.033110217436521254,0.19102174365212554,-3.559221328274944,-3.75,-3.097778771252645,-4.17688510737933,-0.46144255702229864,-1.102537924600156,-1.1882751229801944,-0.9501563434062625,-0.9527778791366361,-0.15094010677428774,1.2471690926084003
equal_health,0.42,0.01,0.0,1.0,1.1875,1.0,1.0,2.0,1.6150566077343447,0.1,0.0866,0.0821,0.0312,0.06265499470226633,0.05768026419397764,0.4487241637347377,0.4487241637347377,0.5328599444350011,0.09997400836488787,0.08655404940156167,0.08210000066229346,0.031638702870837136,0.043870287083713766,-3.7041338828130135,-3.75,-2.421526354377071,-3.720500419284636,-1.2826075284359424,-1.1677400315336102,-1.1882751229801944,-0.8105791450657476,-0.8199692827634485,-0.35004612410196284,1.4491702896180294
equal_health,0.42,0.01,0.0,1.0,1.375,1.0,1.0,2.0,1.4629016206225052,0.1,0.0866,0.0821,0.0312,0.06266417068659128,0.05768026459558508,0.4906591437267558,0.4906591437267558,0.6746563226242892,0.10000887248390068,0.08666936342827472,0.08210000202332562,0.031962594676497584,0.07625946764975855,-3.6797898291202085,-3.75,-1.7625373383823528,-3.020393542378562,-1.917252490737856,-1.154463744891846,-1.1882751229801944,-0.6181542870218412,-0.6336055811339324,-0.5242607507732201,1.8754177020562186
equal_health,0.42,0.01,0.0,1.0,1.5625,1.0,1.0,2.0,1.3011535790740478,0.1,0.0866,0.0821,0.0312,0.0626551847293895,0.05771217077339043,0.5356560983836064,0.5356560983836064,0.8369626537243849,0.09997473030075708,0.08666471914437243,0.08210000016779119,0.031838862281127873,0.06388622811278749,-3.6951126730278645,-3.75,-1.2859857082266564,-2.4169216289004263,-2.409126964801209,-1.1604747544563925,-1.1882751229801944,-0.47169241975465115,-0.48944471415931257,-0.6754551846272354,2.4278025456280954
equal_health,0.42,0.01,0.0,1.0,1.75,1.0,1.0,2.0,1.1785714942688197,0.1,0.0866,0.0821,0.0312,0.06265698658162433,0.0578266059764156,0.5704033819659456,0.5704033819659456,0.9982059184404048,0.09998157590412236,0.08663333831519893,0.08210000411922018,0.030915640747372023,-0.02843592526279755,-3.783612578292473,-3.75,-1.0001630534629202,-2.0341494084216754,-2.7834495248295523,-1.2023054317159154,-1.1882751229801944,-0.38609092191733196,-0.40437303016221826,-0.8031202964282944,2.938561759431647
equal_health,0.42,0.01,0.0,1.0,1.9375,1.0,1.0,2.0,0.9976611448830011,0.1,0.0866,0.0821,0.0312,0.06265654119496719,0.058142123315542235,0.6214687141932359,0.6214687141932359,1.2040956337493947,0.0999798837642694,0.08660056624640378,0.08209999985889178,0.03107517820056067,-0.012482179943932789,-3.764550414046547,-3.75,-0.7255861426989464,-1.5594872507329756,-3.038964271347601,-1.194358163519307,-1.1882751229801944,-0.28644174343264994,-0.3027504635028516,-0.8969953921945022,3.9249324649473314
equal_health,0.42,0.01,0.0,1.0,2.125,1.0,1.0,2.0,0.8600508245042985,0.1,0.0866,0.0821,0.0312,0.06267521870671665,0.05857488559360329,0.6615559576245081,0.6615559576245081,1.4058064099520797,0.100050858751307,0.08655634805581086,0.08209999999998892,0.03083820899957963,-0.03617910004203688,-3.776728030491318,-3.75,-0.5586772930534714,-1.2541448641740174,-3.218050737437846,-1.2036412280714786,-1.1882751229801944,-0.22582391227158463,-0.24020927676103135,-0.9690814476452092,4.946832774332576
equal_health,0.42,0.01,0.0,1.0,2.3125,1.0,1.0,2.0,0.6928910126928652,0.1,0.0866,0.0821,0.0312,0.09187113177459458,0.08684509520005483,4.370208049328929,4.370208049328929,10.10610611407315,0.09995873017130169,0.0866425968468219,0.08210000331881638,0.031435048235732024,0.023504823573202577,-3.7348821758604567,-3.75,-0.4087323949967806,-0.9361405920778354,-3.3261497808636764,-1.1787522131945478,-1.1882751229801944,-0.16495915726233917,-0.17635395127666495,-1.0086056777507686,6.738012470817978
equal_health,0.42,0.01,0.0,1.0,2.5,1.0,1.0,2.0,0.56848586717712,0.1,0.0866,0.0821,0.0312,0.0831087156535019,0.07884925673345448,2.7705062448017395,2.7705062448017395,6.926265612004348,0.09870887668149868,0.08802253029360328,0.08210000541268553,0.03121599865885319,0.0015998658853190462,-4.019766036593694,-3.75,-0.3102604017076391,-0.7422156016723683,-3.7095056348860553,-1.229789711003388,-1.1882751229801944,-0.12708630592148637,-0.13670519185582558,-1.1000443627593504,8.692245750500785
