Sweep,Value,Multiplier,label,match_elasticity,vacancy_elasticity,delta,risk_aversion,common_search_cost_multiplier,leisure_R_post_multiplier,leisure_N_post_multiplier,benefit_multiplier,benefit_weight,target_pre_N,target_pre_R,target_post_N,target_post_R,mu_pre,mu_post,kappa_pre,kappa_R_post,kappa_N_post,fit_pre_N,fit_pre_R,fit_post_N,fit_post_R,did_full_pp,did_benefit_normal_pp,did_covid_only_pp,did_benefit_covid_env_pp,did_interaction_pp,elasticity_full_logdid,elasticity_benefit_normal_logdid,elasticity_covid_only_logdid,elasticity_benefit_covid_env_logdid,elasticity_ratio_full_to_marginal,observed_did_over_marginal,shock_gap_full_pp
post_N_target,0.07389000000000001,0.9,post_N_target_x0.9,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.07389000000000001,0.0312,0.06266025048197675,0.056304406010692296,0.6208498695508443,1.0264730426395152,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.0738899974798593,0.03119999999998123,-2.9308035400839416,-1.5653044277815613,-2.199362740226581,-0.7314407998573601,0.8338636279242011,-1.0345436216806196,-0.29390102546101426,-0.7366595453851714,-0.297884076295448,3.4729738982574427,4.006890975531423,-4.268999747987808
post_N_target,0.07799500000000001,0.95,post_N_target_x0.95,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.07799500000000001,0.0312,0.06266025048197675,0.05721259085648818,0.6208498695508443,1.1077433160861756,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.07799499782037149,0.031200000012390663,-3.3413035728942155,-1.5653044277815613,-2.6098627727655166,-0.7314408001286994,0.8338636276528619,-1.1133096205753346,-0.29390102546101426,-0.8154255442829198,-0.2978840762924149,3.737392191056448,4.568112104638273,-4.679499780798083
post_N_target,0.0821,1.0,post_N_target_x1.0,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767736352511,0.6208498695508443,1.1956687086133548,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999982868207,0.03120000001196137,-3.7518037737682053,-1.5653044277815613,-3.0203629736489015,-0.7314408001193029,0.8338636276622584,-1.1879395364915715,-0.29390102546101426,-0.890055460199055,-0.2978840762925166,3.9879256094408917,5.129333465068206,-5.0899999816720705
post_N_target,0.086205,1.05,post_N_target_x1.05,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.086205,0.0312,0.06266025048197675,0.05908620955268538,0.6208498695508443,1.2914562166822616,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08620499958204957,0.031200000012020876,-4.162303749099002,-1.5653044277815613,-3.4308629489783957,-0.7314408001206059,0.8338636276609557,-1.2587532223658844,-0.29390102546101426,-0.9608691460733819,-0.2978840762925025,4.225647903145624,5.69055451707464,-5.500499957002869
post_N_target,0.09031000000000002,1.1,post_N_target_x1.1,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.09031000000000002,0.0312,0.06266025048197675,0.060078308407959705,0.6208498695508443,1.3980274982930223,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.09031000008245631,0.031200000012053565,-4.572803799136408,-1.5653044277815613,-3.8413629990150744,-0.731440800121333,0.8338636276602285,-1.3260605839508968,-0.29390102546101426,-1.0281765076583975,-0.2978840762924992,4.451599429063833,6.25177567122023,-5.911000007040275
post_R_target,0.02808,0.9,post_R_target_x0.9,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.02808,0.06266025048197675,0.05813767736352511,0.6208498695508443,1.3485559473470006,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999982868207,0.028080000013006687,-4.063803773663674,-1.5653044277815613,-3.400946318648599,-0.6628574550150741,0.902446972766487,-1.3399349347338914,-0.29390102546101426,-1.0412481052137903,-0.2986868295201005,4.486086436709519,6.130735564513277,-5.401999981567538
post_R_target,0.029639999999999996,0.95,post_R_target_x0.95,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.029639999999999996,0.06266025048197675,0.05813767736352511,0.6208498695508443,1.2680546058906232,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999982868207,0.029640000012299116,-3.9078037737344298,-1.5653044277815613,-3.210561194235621,-0.6972425794988089,0.8680618482827523,-1.2619261220013474,-0.29390102546101426,-0.963650302917727,-0.2982758190836203,4.230735585198652,5.60465451858008,-5.245999981638295
post_R_target,0.0312,1.0,post_R_target_x1.0,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767736352511,0.6208498695508443,1.1956687086133548,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999982868207,0.03120000001196137,-3.7518037737682053,-1.5653044277815613,-3.0203629736489015,-0.7314408001193029,0.8338636276622584,-1.1879395364915715,-0.29390102546101426,-0.890055460199055,-0.2978840762925166,3.9879256094408917,5.129333465068206,-5.0899999816720705
post_R_target,0.03276,1.05,post_R_target_x1.05,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.03276,0.06266025048197675,0.05813767736352511,0.6208498695508443,1.1302388238569772,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999982868207,0.032760000011775654,-3.5958037737867756,-1.5653044277815613,-2.830342317254612,-0.765461456532165,0.7998429712493964,-1.1175842255488344,-0.29390102546101426,-0.820072765706646,-0.2975114598421883,3.7564409321968464,4.697563467241252,-4.933999981690642
post_R_target,0.03432,1.1,post_R_target_x1.1,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.03432,0.06266025048197675,0.05813767736352511,0.6208498695508443,1.0708163188369282,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999982868207,0.034320000011572774,-3.4398037738070633,-1.5653044277815613,-2.640490087129059,-0.7993136866780048,0.7659907411035565,-1.0505237885574124,-0.29390102546101426,-0.7533659638313512,-0.2971578247260612,3.5352385202235594,4.30344660818094,-4.77799998171093
