channel,weighted_loss,mu_pre,kappa,mu_post,common_sep_shock,nz_work_cost_diff,sep_base,sep_amp,full_main_find_did_pp,benefit_only_main_find_did_pp,data_main_find_did_pp,full_placebo_find_did_pp,data_placebo_find_did_pp,full_main_sep_did_pp,benefit_only_main_sep_did_pp,data_main_sep_did_pp,full_placebo_sep_did_pp,data_placebo_sep_did_pp,find_AB_pre,find_AB_post,find_NZ_pre,find_NZ_post,sep_AB_pre,sep_AB_post,sep_NZ_pre,sep_NZ_post
combined,1.155596082069298,0.05245031616762816,0.5520517206829253,0.04776790135858223,0.006673989454827066,-0.04226992905306097,0.04795869453087623,0.3766539502777931,-1.5758283277385938,-1.9569316961228802,-1.71,-0.3305244404099572,-0.11,3.727335891175618,3.7517124477795774,3.72,0.0012556559580545468,-0.36,0.08123287894905112,0.0488647205089602,0.09844650950989838,0.08183663434719339,0.04886707881287966,0.09248166548367695,0.04797807044389324,0.05431929820293435
search_only,3.249408460970833,0.06209636632690342,200.0,0.057164477004342636,0.006692264133356762,-0.1499999853507104,0.04800722697093314,0.3910050703195428,-0.7186764234834344,-0.7151431121104029,-1.71,-0.20195789326288155,-0.11,3.8699279783483336,3.894658713603965,3.72,0.0019509659165084514,-0.36,0.09447863570882287,0.07097594262844499,0.0990030142408087,0.08268708539526518,0.04895022215205347,0.09400084475721462,0.048027341137334756,0.054378683959012575
acceptance_only,0.6718967784432293,0.05114903452150593,0.35,0.04549888824924076,0.006678393311847217,-0.11370153612933598,0.04798078769142621,0.37562551680753353,-1.4376009948628976,-1.4471973134303484,-1.71,-0.6198191573633813,-0.11,3.7176970380819916,3.7414685975578066,3.72,0.001807533030771108,-0.36,0.0858448299536942,0.05495726020069454,0.09873901455767001,0.08222745475329932,0.04888669167872195,0.09240341642281749,0.048000110699548904,0.05433986506282453
