r_health_premium,benefit_weight,target_full_elasticity_logdid,covid_market_benefit_elasticity,normal_market_benefit_elasticity,target_to_normal_elasticity_ratio,normal_market_did_pp,target_full_did_pp,covid_market_benefit_did_pp
1.0,1.6969696023751115,-1.1882751229801944,-0.9527778791366361,-0.9501563434062625,1.250610103512321,-4.176885107379334,-3.75,-3.097778771252645
1.1875,1.6150566077343447,-1.1882751229801944,-0.8199692827634485,-0.8105791450657476,1.465958173502985,-3.7205004192846323,-3.75,-2.421526354377071
1.375,1.4629016206225052,-1.1882751229801944,-0.6336055811339324,-0.6180844197544165,1.9225126617045805,-3.0192756956880533,-3.75,-1.7625373383823528
1.5625,1.3011535790740478,-1.1882751229801944,-0.48944471415931257,-0.47169241975465115,2.5191736674468306,-2.41692162890043,-3.75,-1.2859857082266564
1.75,1.1785714942688197,-1.1882751229801944,-0.40437303016221826,-0.38609092191733196,3.077708010017968,-2.034149408421672,-3.75,-1.0001630534629202
1.9375,0.9976611448830011,-1.1882751229801944,-0.3027504635028516,-0.28644174343264994,4.148400679105591,-1.5594872507329827,-3.75,-0.7255861426989464
2.125,0.8600508245042985,-1.1882751229801944,-0.24020927676103135,-0.22582391227158463,5.261954374216706,-1.2541448641740158,-3.75,-0.5586772930534714
2.3125,0.6928910126928652,-1.1882751229801944,-0.17635395127666495,-0.16496135036210732,7.2033547274668095,-0.9361978697832091,-3.75,-0.4087323949967806
2.5,0.56848586717712,-1.1882751229801944,-0.13670519185582558,-0.12708630592148637,9.350142915589254,-0.7422156016723691,-3.75,-0.3102604017076391
