scenario,find_R,find_N,sep_R,sep_N,search_R,search_N,accept_R,accept_N,contact,theta,flow_surplus_R,flow_surplus_N,value_surplus_R,value_surplus_N
benefit_only,0.07174514313970862,0.1002113340503038,0.06528043702921395,0.04800000000000001,0.9880264339008314,0.9982968973057273,0.5264039861726774,0.7282405829074001,0.14829729014736973,3.3199217467664877,0.18700000000000003,0.4949999999999998,1.5850714129568688,3.176785867221861
common_covid_only,0.07125965672400845,0.08229999956508058,0.05539999999999996,0.05499999999999998,0.992672483581816,0.9970074798280402,0.6331407021340251,0.7282405829074001,0.12028389357389553,2.692787667697005,0.341,0.4949999999999998,2.4884711766564847,3.3469583054722447
differential_covid_only,0.06840266241404432,0.08229999956508058,0.05601363613812604,0.05499999999999998,0.9915878046238403,0.9970074798280402,0.6083822745634495,0.7282405829074001,0.12028389357389553,2.692787667697005,0.30418103808778235,0.4949999999999998,2.321054510228384,3.3469583054722447
full,0.05581084933381092,0.08229999956508058,0.09260000000317158,0.05499999999999998,0.983715853133364,0.9970074798280402,0.5001293129169614,0.7282405829074001,0.12028389357389553,2.692787667697005,0.15018103808778227,0.4949999999999998,1.3186104757062,3.3469583054722447
