Month,DiD_Full_Shock,DiD_Benefit_Only
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,-3.2306396949283362,-3.9575607715164023
13,-3.2263364042052696,-3.9564632715856556
14,-3.220931643300726,-3.955006862611982
15,-3.21414347993581,-3.9530741726506697
16,-3.2056178184527426,-3.9505094462902623
17,-3.1949099288784644,-3.947105992329236
18,-3.181461248167579,-3.9425895265404285
19,-3.164570243492146,-3.936596067115225
20,-3.1433558176998,-3.928642601382773
21,-3.1167113480340363,-3.9180881598377404
22,-3.0832469606064783,-3.9040821604312077
23,-3.041217029444315,-3.8854958601954896
24,-2.988429118196366,-3.860831389890948
25,-2.9221296145598985,-3.8281010407791696
26,-2.838860091699058,-3.784667075251419
27,-2.7342769039349597,-3.727029151652221
28,-2.602924606153999,-3.650542231877532
29,-2.4379513776533397,-3.549042237927363
30,-2.2307516058813706,-3.4143492890906653
31,-1.9705169859219427,-3.2356084856652827
32,-1.643672719413833,-2.998415112997514
33,-1.2331694029611053,-2.683653766067623
34,-0.7175936683182407,-2.2659578397150644
35,-0.07005118206123914,-1.711665234878902
36,0.7432362621167476,-0.9761055312949796
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,4.718447854656915e-14,4.718447854656915e-14
41,-4.440892098500626e-14,-4.440892098500626e-14
42,-4.440892098500626e-14,-4.440892098500626e-14
43,0.0,0.0
44,-4.440892098500626e-14,-4.440892098500626e-14
45,-8.881784197001252e-14,-8.881784197001252e-14
46,-4.440892098500626e-14,-4.440892098500626e-14
47,-4.440892098500626e-14,-4.440892098500626e-14
48,4.718447854656915e-14,4.718447854656915e-14
49,9.159339953157541e-14,9.159339953157541e-14
50,9.159339953157541e-14,9.159339953157541e-14
51,9.159339953157541e-14,9.159339953157541e-14
52,1.3877787807814457e-15,1.3877787807814457e-15
53,-9.020562075079397e-14,-9.020562075079397e-14
54,1.3877787807814457e-15,1.3877787807814457e-15
55,4.718447854656915e-14,4.718447854656915e-14
56,-4.579669976578771e-14,-4.579669976578771e-14
57,-4.579669976578771e-14,-4.579669976578771e-14
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
