HealthShareN,MatchingShareN,mu_pre,mu_post,kappa_pre,kappa_N_post,kappa_R_post,kappa_N_multiplier,kappa_R_multiplier,R_health_premium,did_full_pp,did_benefit_covid_env_pp,did_covid_only_pp,elasticity_full_logdid,elasticity_benefit_covid_env_logdid,elasticity_ratio_full_to_marginal,fit_pre_N,fit_pre_R,fit_post_N,fit_post_R
0.0,1.0,0.06266025048197675,0.05813767735625114,0.6208498695508443,0.6208498695508443,1.195668707894638,1.0,1.9258580319258956,1.9258580319258956,-3.7518037705619096,-0.7314408001224753,-3.020362970439434,-1.187939535919856,-0.29788407629249014,3.9879256075219915,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000012105343
0.1,0.9,0.06266025048197675,0.05957545021587558,0.6208498695508443,0.7091999631282159,1.343176339830607,1.1423050851911891,2.1634478892656155,1.8939317677146787,-3.751803876656156,-0.7314408001231714,-3.0203630765329845,-1.187376846318381,-0.2978840762924717,3.9860366525687603,0.09999397681810164,0.08661201473906298,0.08210000085773869,0.031200000012138473
0.2,0.8,0.06266025048197675,0.05991673251230993,0.6208498695508443,0.7287557754460343,1.3802136304500572,1.1738035412220589,2.2231036811662324,1.893931653036024,-3.7518035020973324,-0.7314408001216215,-3.0203627019757118,-1.1873767801261392,-0.29788407629249475,3.986036430360395,0.09999397681810164,0.08661201473906298,0.08209999711207892,0.031200000012066922
0.3,0.7,0.06266025048197675,0.060258375312364526,0.6208498695508443,0.7487564637087442,1.4180935002275243,1.2060185568701727,2.2841166114014784,1.8939315638137089,-3.7518032107024633,-0.7314408001237528,-3.0203624105787106,-1.1873767286263128,-0.2978840762924736,3.986036257475215,0.09999397681810164,0.08661201473906298,0.08209999419822736,0.031200000012164067
0.4,0.6,0.06266025048197675,0.06060038415069533,0.6208498695508443,0.7692102613563404,1.4568318709800354,1.2389633936990723,2.3465123251680553,1.8939319249475677,-3.7518043901570985,-0.731440800117322,-3.020363590039776,-1.1873769370750122,-0.2978840762925452,3.986036957238749,0.09999397681810164,0.08661201473906298,0.08210000599247963,0.031200000011869983
0.5,0.5,0.06266025048197675,0.060942756573270376,0.6208498695508443,0.7901255522706109,1.4964439964085292,1.2726515555881965,2.4103153915311863,1.8939319100719458,-3.7518043415931124,-0.7314408001208995,-3.0203635414722125,-1.1873769284878046,-0.29788407629250024,3.9860369284120036,0.09999397681810164,0.08661201473906298,0.08210000550700398,0.03120000001203421
0.6,0.4,0.06266025048197675,0.061285498775777575,0.6208498695508443,0.8115108793976609,1.53694635403823,1.3070968026211407,2.475552350764185,1.8939319152184617,-3.7518043584102294,-0.7314408001222994,-3.020363558287931,-1.1873769314579998,-0.2978840762924848,3.9860369383831866,0.09999397681810164,0.08661201473906298,0.08210000567523913,0.031200000012098186
0.7,0.30000000000000004,0.06266025048197675,0.06162861463278097,0.6208498695508443,0.8333749522943446,1.5783554179078916,1.3423131632406593,2.5422497375247217,1.89393191331532,-3.7518043522235325,-0.7314408001272819,-3.0203635520962515,-1.1873769303581563,-0.2978840762924331,3.986036934691693,0.09999397681810164,0.08661201473906298,0.08210000561359956,0.03120000001232558
0.8,0.19999999999999996,0.06266025048197675,0.06197210870652914,0.6208498695508443,0.8557266492538314,1.6206880082109298,1.378314937672306,2.610434644020174,1.8939319111121786,-3.751804345044346,-0.7314408001300898,-3.0203635449142565,-1.1873769290857268,-0.2978840762923974,3.986036930420611,0.09999397681810164,0.08661201473906298,0.08210000554193667,0.0312000000124545
0.9,0.09999999999999998,0.06266025048197675,0.062315985966939394,0.6208498695508443,0.878575019010104,1.6639612685530405,1.4151167006698604,2.6801346833765756,1.8939319153734147,-3.751804358900469,-0.7314408001195846,-3.0203635587808835,-1.1873769315481706,-0.29788407629251157,3.986036938685533,0.09999397681810164,0.08661201473906298,0.08210000568001778,0.031200000011974448
1.0,0.0,0.06266025048197675,0.06266025159059012,0.6208498695508443,0.9019292872531547,1.7081926493819164,1.4527333120093238,2.751377962948939,1.8939319007859856,-3.751804311282415,-0.7314408001239885,-3.0203635111584264,-1.1873769231271014,-0.29788407629247127,3.9860369104164546,0.09999397681810164,0.08661201473906298,0.08210000520403764,0.031200000012174826
