scenario,find_R,find_N,sep_R,sep_N,search_R,search_N,accept_R,accept_N,contact,theta,flow_surplus_R,flow_surplus_N,value_surplus_R,value_surplus_N
benefit_only,0.07180785298474382,0.1002113340503038,0.048886205163778874,0.04800000000000001,0.9889564911866582,0.9982968973057273,0.5264039861726774,0.7282405829074001,0.14829729014736973,3.3199217467664877,0.18700000000000003,0.4949999999999998,1.7313992801846865,3.176785867221861
common_covid_only,0.07098057258749328,0.08229999990191031,0.055431506363996554,0.055000000000083454,0.9923452333525387,0.9967922640318279,0.6238285228594846,0.7202758715976302,0.12172428912914808,2.7250337088962495,0.32704065114459363,0.4810406511445939,2.417859541296116,3.276738701459357
differential_covid_only,0.06500903890499588,0.08229999990191031,0.09230737259485675,0.055000000000083454,0.9881808905081769,0.9967922640318279,0.573611681807368,0.7202758715976302,0.12172428912914808,2.7250337088962495,0.25381076255668433,0.4810406511445939,1.7396046150335391,3.276738701459357
full,0.05224534136053066,0.08229999990191031,0.09259999997566055,0.055000000000083454,0.9808976221608541,0.9967922640318279,0.46421184946119937,0.7202758715976302,0.12172428912914808,2.7250337088962495,0.09981076255668433,0.4810406511445939,1.0977291807010647,3.276738701459357
